,punteggio-WA,prestazione,vento,disciplina,atleta,categoria,società
21,1150,906.65,,5000m,PALMERO Elisa,SF,C.S. ESERCITO
22,1145,504.8,,3000st_h91,ZOGHLAMI Osama,SM,C.S. AERONAUTICA MILITARE
23,1145,504.92,,3000st_h91,ZOGHLAMI Ala,SM,G.S. FIAMME ORO PADOVA
24,1144,20.38,,peso_7kg,PONZIO Nicholas  james,SM,ATHLETIC CLUB 96 ALPERIA
25,1143,247.91,,1500m,CAVALLI Ludovica,SF,G.S. FIAMME ORO PADOVA
26,1141,911.63,,5000m,DEL BUONO Federica,SF,C.S. CARABINIERI SEZ. ATLETICA
27,1141,121.18,,800m,COLAJANNI Maria,SF,A.S.D. C.U.S. PALERMO
28,1141,248.17,,1500m,MAJORI Micol,SF,PRO SESTO ATL. CERNUSCO
29,1140,121.25,,800m,SABBATINI Gaia,SF,G.S. FIAMME AZZURRE
30,1139,2383.24,,Marcia_10km,ORSONI Riccardo,SM,G.A. FIAMME GIALLE
31,1138,121.35,,800m,PELLICORO Laura,SF,BRACCO ATLETICA
32,1135,51.77,,400m,POLINARI Anna,SF,C.S. CARABINIERI SEZ. ATLETICA
33,1135,11.3,0.4,100m,DOSSO Zaynab,SF,G.S. FIAMME AZZURRE
34,1135,13.11,0.5,100Hs_h84-8.50,CARMASSI Giada,SF,C.S. ESERCITO
35,1132,5.51,,asta,OLIVERI Matteo,SM,C.S. CARABINIERI SEZ. ATLETICA
36,1132,49.96,,400Hs_h91,GHEDINA Vittorio,PM,ATLETICA MENEGHINA
37,1129,121.87,,800m,KABANGU Ngalula gloria,PF,C.S. ESERCITO
38,1129,7.96,-0.3,lungo,INZOLI Francesco ettore,PM,G.A. FIAMME GIALLE
39,1128,50.04,,400Hs_h91,BERTONCELLI Giacomo,SM,ATL. INSIEME VERONA
40,1128,16.66,0.2,triplo,DIAZ HERNANDEZ Andy,SM,G.A. FIAMME GIALLE
41,1128,2628.24,,Marcia_10km,CURIAZZI Federica,SF,ATL. BERGAMO 1959 ORIOCENTER
42,1126,45.79,,400m,SCOTTI Edoardo,SM,C.S. CARABINIERI SEZ. ATLETICA
43,1124,13.19,-0.4,100Hs_h84-8.50,CARMASSI Giada,SF,C.S. ESERCITO
44,1123,13.2,0.5,100Hs_h84-8.50,POLZONETTI Celeste,PF,BRACCO ATLETICA
45,1123,250.44,,1500m,DEL BUONO Federica,SF,C.S. CARABINIERI SEZ. ATLETICA
46,1122,122.29,,800m,BELLO' Elena,SF,G.S. FIAMME AZZURRE
47,1122,63.31,,disco_2kg,SACCOMANO Enrico,SM,C.S. AERONAUTICA MILITARE
48,1121,250.73,,1500m,APRILE Giulia,SF,C.S. ESERCITO
49,1120,19.97,,peso_7kg,FERRARA Riccardo,SM,C.S. CARABINIERI SEZ. ATLETICA
50,1120,4.52,,asta,MOLINAROLO Elisa,SF,G.S. FIAMME ORO PADOVA
51,1119,5.46,,asta,BERTELLI Simone,PM,G.A. FIAMME GIALLE
52,1118,20.66,1.2,200m,DESALU Eseosa fostine,SM,G.A. FIAMME GIALLE
53,1117,52.24,,400m,BONORA Alessandra,SF,G.A. FIAMME GIALLE
54,1113,2653.24,,Marcia_10km,TRAPLETTI Valentina,SF40,C.S. ESERCITO
55,1112,74.12,,martello_7kg,OLIVIERI Giorgio,SM,C.S. CARABINIERI SEZ. ATLETICA
56,1111,23.23,-0.3,200m,KADDARI Dalia,SF,G.S. FIAMME ORO PADOVA
57,1109,13.3,0.5,100Hs_h84-8.50,DI LAZZARO Elisa maria,SF,C.S. CARABINIERI SEZ. ATLETICA
58,1108,13.31,0.5,100Hs_h84-8.50,BESANA Veronica,SF,G.A. FIAMME GIALLE
59,1108,13.77,0.7,110Hs_h106-9.14,MULAS Oliver,PM,ATHLETIC CLUB 96 ALPERIA
60,1108,11.43,0.8,100m,PAVESE Alessia,SF,C.S. AERONAUTICA MILITARE
61,1107,252.48,,1500m,FRACASSINI Melissa,PF,ATL. ARCS CUS PERUGIA
62,1107,57.12,,400Hs_h76,CAVO Ludovica,PF,A.S.D. ATL. SERRAVALLESE
63,1106,11.44,1.5,100m,PAVESE Alessia,SF,C.S. AERONAUTICA MILITARE
64,1105,50.5,,400Hs_h91,BENCOSME DE LEON Jose reynaldo,SM,G.S. AVIS BARLETTA A.S.D.
65,1105,10.3,1.0,100m,DESALU Eseosa fostine,SM,G.A. FIAMME GIALLE
66,1105,50.51,,400Hs_h91,BERTOLDO Michele,SM,C.S. CARABINIERI SEZ. ATLETICA
67,1103,13.86,0.8,triplo,SARACENI Erika giorgia anoeta,JF,BRACCO ATLETICA
68,1103,13.35,-2.2,100Hs_h84-8.50,BESANA Veronica,SF,G.A. FIAMME GIALLE
69,1101,57.33,,400Hs_h76,MURARO Alice,SF,C.S. AERONAUTICA MILITARE
70,1101,70.42,,martello_4kg,FANTINI Sara,SF,C.S. CARABINIERI SEZ. ATLETICA
71,1101,514.73,,3000st_h91,GATTO Giovanni,SM,U.S. QUERCIA DAO CONAD
72,1100,23.34,-0.3,200m,FONTANA Vittoria,SF,C.S. CARABINIERI SEZ. ATLETICA
73,1100,13.37,-0.1,100Hs_h84-8.50,POLZONETTI Celeste,PF,BRACCO ATLETICA
74,1099,2439.24,,Marcia_10km,REIS Luigi,PM,TRIESTE ATLETICA
75,1099,2439.24,,Marcia_10km,ANDREI Aldo,SM,G.S. FIAMME ORO PADOVA
76,1097,52.75,,400m,TROIANI Virginia,SF,CUS PRO PATRIA MILANO
77,1097,20.8,1.2,200m,DENTATO Damiano,PM,ATL.STUD. RIETI ANDREA MILARDI
78,1096,23.38,-0.3,200m,HOOPER Gloria,SF,ATL. BRESCIA 1950
79,1095,107.61,,800m,TECUCEANU Catalin,SM,G.S. FIAMME ORO PADOVA
