,punteggio-WA,prestazione,vento,disciplina,atleta,categoria,società
283,1023,5.11,,asta,BONANNI Federico,PM,C.S. AERONAUTICA MILITARE
284,1023,5.11,,asta,PUGNO Francesco,SM,SAFATLETICA PIEMONTE ASD
285,1023,54.72,,400m,FAVALLI Sophia,SF,ATL. BRESCIA 1950
286,1023,5.11,,asta,BEFANI Riccardo,JM,#ILOVERUN ATHLETIC TERNI
287,1023,7.47,0.2,lungo,PAGAN Fabio,SM,ASD ATLETICA BIOTEKNA
288,1023,832.94,,5000m,PELLEGRINI Pietro,SM,ATLETICA VALLE DI CEMBRA
289,1022,74.35,,giavellotto_800g,FINA Michele,SM,C.S. ESERCITO
290,1022,128.1,,800m,MENEGALE Giulia,SF,ATLETICA SILCA CONEGLIANO
291,1022,533.17,,3000st_h91,MAZZA Francesco,PM,ATL. CASONE NOCETO
292,1021,24.15,-0.3,200m,CIRILLO Sara,PF,A.S.D. ACSI ITALIA ATLETICA
293,1021,54.77,,400m,CIRILLO Sara,PF,A.S.D. ACSI ITALIA ATLETICA
294,1021,11.85,1.2,100m,FANTONI Gaia,PF,N. ATL. VARESE
295,1021,21.32,-3.8,200m,LURASCHI Edoardo,SM,CUS PRO PATRIA MILANO
296,1021,65.46,,martello_4kg,MORI Rachele,PF,G.A. FIAMME GIALLE
297,1020,24.17,-0.3,200m,OBIJIAKU Ugochinyere amanda,PF,A.S. ATLETICA VIRTUS LUCCA
298,1020,24.16,-1.5,200m,OBIJIAKU Ugochinyere amanda,PF,A.S. ATLETICA VIRTUS LUCCA
299,1020,13.99,-0.4,100Hs_h84-8.50,NESSENZIA Elena,PF,GS LA PIAVE 2000
300,1020,21.33,-3.8,200m,LANGIULLI Paolo,PM,G.S. AVIS BARLETTA A.S.D.
301,1019,128.29,,800m,SOTGIU Maria paola,PF,A.S.D. ICHNOS SASSARI
302,1019,2.12,,alto,SOTTILE Stefano,SM,G.S. FIAMME AZZURRE
303,1019,47.4,,400m,GRENDENE Stefano,SM,C.S. AERONAUTICA MILITARE
304,1019,2.12,,alto,TAMBERI Gianmarco,SM,G.S. FIAMME ORO PADOVA
305,1019,2.12,,alto,PASCONE Ernesto,SM,A.S.D. C.U.S. PALERMO
306,1019,226.69,,1500m,PELLEGRINI Pietro,SM,ATLETICA VALLE DI CEMBRA
307,1019,2.12,,alto,FALOCCHI Christian,SM,G.S. FIAMME ORO PADOVA
308,1018,14.27,0.7,110Hs_h106-9.14,TRIOLO Tommaso,PM,G.S. FIAMME ORO PADOVA
309,1018,54.85,,400m,ZELI Beatrice,SF,PRO SESTO ATL. CERNUSCO
310,1018,10.57,1.1,100m,IANES Lorenzo,SM,ATHLETIC CLUB 96 ALPERIA
311,1018,10.57,0.9,100m,ULISSE Angelo,PM,G.A. FIAMME GIALLE
312,1017,21.35,-1.9,200m,GIAMBELLINI Davide,SM,ATLETICA PEDEMONTANA VENETA
313,1017,52.33,,400Hs_h91,ROBBIN Jean marie,SM,ASD ATLETICA BIOTEKNA
314,1017,60.17,,400Hs_h76,CONTINO Nadia,PF,ATLETICA CASCINA
315,1017,834.74,,5000m,ALFIERI Luca,SM,ATL. CASONE NOCETO
316,1017,110.31,,800m,ELLIASMINE Abdelhakim,SM,ATHLETIC CLUB 96 ALPERIA
317,1016,47.45,,400m,BERTOLANI Andrea,SM,CUS PRO PATRIA MILANO
318,1016,14.02,-0.1,100Hs_h84-8.50,CUCCU' Martina,PF,ATL.STUD. RIETI ANDREA MILARDI
319,1015,11.88,0.4,100m,GOFFI Chiara,PF,ATL. CHIARI 1964 LIB.
320,1015,13.0,-0.1,triplo,AL OMARI Jasmine,SF,ATL.LIBERTAS UNICUSANO LIVORNO
321,1015,128.51,,800m,DAL MOLIN Luisa gaia,SF,CUS PRO PATRIA MILANO
322,1015,14.03,-2.2,100Hs_h84-8.50,FOSSATELLI Elisa,PF,ATL.LIBERTAS UNICUSANO LIVORNO
323,1014,7.43,-0.2,lungo,MENCHINI Simone,PM,SISPORT SSD
324,1014,7.43,-0.1,lungo,CHAHBOUN Mohamed reda,SM,ATL.LIBERTAS UNICUSANO LIVORNO
325,1014,47.48,,400m,MBOUP Mass,PM,ASD ENTERPRISE SPORT & SERVICE
326,1013,14.04,-0.1,100Hs_h84-8.50,COLOMBANI Elisa,PF,FORTI E LIBERI MONZA 1878 ASD
327,1013,47.49,,400m,RAIMONDI Matteo,SM,PRO SESTO ATL. CERNUSCO
328,1012,535.55,,3000st_h91,TAISSIR Ayoub,PM,LAGARINA CRUS TEAM
329,1012,12.97,0.0,triplo,ZOCCHEDDU Sara,SF,C.U.S. CAGLIARI
330,1011,73.62,,giavellotto_800g,ORLANDO Roberto,SM,C.S. AERONAUTICA MILITARE
331,1011,110.53,,800m,GARAVAGLIA Yordi santiago,PM,PRO PATRIA A.R.C. BUSTO A.
332,1011,47.52,,400m,AKWANNOR Vanni picco,SM,ATL. CHIARI 1964 LIB.
333,1011,11.9,1.2,100m,APRILE Megane,SF,A.S.D. RUNNING MODICA
334,1011,110.52,,800m,DE CESARE Riccardo,PM,ATL.LIBERTAS UNICUSANO LIVORNO
335,1010,47.54,,400m,MELI Riccardo,SM,G.A. FIAMME GIALLE
336,1010,110.56,,800m,BRAZZALE Enrico,SM,ATL.VICENTINA
337,1009,110.59,,800m,VITALI Federico,PM,ATL. AVIS MACERATA
338,1009,11.91,1.5,100m,BERTON Aurora,SF,G.A. FIAMME GIALLE
339,1008,10.6,0.9,100m,DICATI Federico,PM,G.S. FIAMME ORO PADOVA
340,1008,24.29,-1.5,200m,CAPASSO Lavinia,JF,ATL.STUD. RIETI ANDREA MILARDI
341,1007,24.3,-1.5,200m,TORCHIO Rachele,PF,ATL. MONDOVI'-ACQUA S.BERNARDO
342,1007,637.46,,3000st_h76,SCARAFILE Alessia,PF,BATTAGLIO C.U.S. TORINO ATL
343,1006,129.03,,800m,MASOLINI Milena,PF,G.P. VALCHIAVENNA
344,1006,14.34,-0.8,110Hs_h106-9.14,TRIOLO Tommaso,PM,G.S. FIAMME ORO PADOVA
345,1006,24.31,-1.3,200m,CIRILLO Sara,PF,A.S.D. ACSI ITALIA ATLETICA
346,1005,10.61,0.9,100m,PADOVAN Filippo,PM,ATL.VICENTINA
347,1005,10.61,0.5,100m,FAGGIN Alessio,PM,G.S. FIAMME ORO PADOVA
348,1005,227.73,,1500m,MOROSINI Nicola,PM,U.S. ROGNO
349,1005,10.61,1.1,100m,PAGANELLI Filippo,PM,ATLETICA 85 FAENZA
350,1004,12.89,0.5,triplo,ZANON Veronica,SF,G.S. FIAMME ORO PADOVA
351,1004,1.78,,alto,CROCE Pamela,SF,U.S. QUERCIA DAO CONAD
352,1004,1.78,,alto,VALLORTIGARA Elena,SF,C.S. CARABINIERI SEZ. ATLETICA
353,1004,1.78,,alto,VICINI Aurora,PF,C.S. CARABINIERI SEZ. ATLETICA
354,1004,1.78,,alto,POLOTTO Gloria,SF,ATLETICA VIGEVANO
355,1003,14.12,-2.2,100Hs_h84-8.50,MINOTTI Chiara,PF,ATL. BERGAMO 1959 ORIOCENTER
356,1003,110.8,,800m,TAMASSIA Riccardo,SM,TREVISATLETICA
357,1003,838.9,,5000m,MAGGI Konjoneh,PM,ATL. CASONE NOCETO
358,1003,11.94,0.4,100m,FANALE Svetlana,SF,A.S.D. C.U.S. PALERMO
359,1002,639.33,,3000st_h76,PIZZAMANO Maddalena,SF,ATLETICA FIRENZE MARATHON S.S.
360,1002,55.3,,400m,RAMI Laura elena,SF,C.U.S. BOLOGNA A.S.D.
361,1002,14.36,-0.8,110Hs_h106-9.14,CAIANI Andrea,PM,TEAM-A LOMBARDIA
362,1001,228.09,,1500m,PASQUINUCCI Alessandro,PM,ASD LA FRATELLANZA 1874
363,1001,14.14,-0.4,100Hs_h84-8.50,MORBIN Matilde,JF,ATL.VICENTINA
364,1001,2848.24,,Marcia_10km,LA DELFA Rosetta,SF45,UNIONE GIOVANE BIELLA
365,1000,56.66,,disco_2kg,MUSCI Carmelo alessandro,SM,G.A. FIAMME GIALLE
366,999,10.63,0.5,100m,NDONGALA Mattia jason,PM,SISPORT SSD
367,999,11.96,0.4,100m,NARDIS Antonella,SF,A.S.D. ATLETICA L'AQUILA
368,999,7.36,0.6,lungo,CONTOTTO Niccolo',SM,TEAM-A LOMBARDIA
369,999,538.73,,3000st_h91,GUERRA Massimo,SM,ATL.VICENTINA
370,998,24.4,-0.3,200m,CAPASSO Lavinia,JF,ATL.STUD. RIETI ANDREA MILARDI
371,998,47.72,,400m,FALSETTI Federico,PM,ASSI GIGLIO ROSSO FIRENZE
372,998,988.11,,5000m,MORETTON Michela,SF,ASSINDUSTRIA SPORT
373,997,4.12,,asta,SCARDANZAN Virginia,SF,ATLETICA SILCA CONEGLIANO
374,997,24.41,-1.3,200m,CERA Carlotta,SF,BATTAGLIO C.U.S. TORINO ATL
375,997,4.12,,asta,VALLETTI BORGNINI Giulia,SF,CUS PRO PATRIA MILANO
376,997,21.49,-1.9,200m,SAFRAOUI Sofian,PM,SSD NISSOLINO SPORT SRL ASU
377,997,60.85,,400Hs_h76,BERINDE Malina lenuta,SF,SISPORT SSD
378,996,111.05,,800m,MONNETTI Thomas,PM,PROSPORT ATL. FIRENZE
379,996,5.99,0.6,lungo,PECORA Rebecca,SF,BRACCO ATLETICA
380,996,5.01,,asta,SCALON Leonardo,JM,BATTAGLIO C.U.S. TORINO ATL
381,995,642.47,,3000st_h76,FERRO Ludovica,PF,ASD ROMATLETICA
382,995,11.98,1.2,100m,PEDRESCHI Gaia,SF,ATL. BRESCIA 1950
383,995,11.98,0.4,100m,CONTRAN Ilaria,PF,SAFATLETICA PIEMONTE ASD
384,995,21.5,-2.7,200m,DONOLA Mattia,SM,C.S. CARABINIERI SEZ. ATLETICA
385,995,52.8,,400Hs_h91,ROTA Alessandro,SM,ATL. LECCO-COLOMBO COSTRUZ.
386,995,15.4,0.2,triplo,RAGAZZI Daniele,SM,ASD VIRTUS SEZ. ATL. EMILSIDER
387,995,24.43,-1.5,200m,CARNERO Anna marta,PF,ATL. BRESCIA 1950
388,995,52.79,,400Hs_h91,CLEMENTE Mattia,PM,GEMONATLETICA S.R.L. DIL.
389,995,11.98,1.2,100m,TURCHI Melissa,JF,ASD LA FRATELLANZA 1874
390,994,21.51,-3.8,200m,PIVOTTO Pietro,SM,ASD ATLETICA BIOTEKNA
391,994,841.77,,5000m,URSANO Luca,SM,ATL. CASONE NOCETO
392,994,52.83,,400Hs_h91,IBIDI Francesco moreno,PM,SAFATLETICA PIEMONTE ASD
393,994,228.61,,1500m,MOGETTI Federico,SM,ATHLETIC CLUB 96 ALPERIA
394,993,10.65,1.1,100m,MOLINARI NWAGWU Ruskin,SM,ATL. RICCARDI MILANO 1946
395,993,14.41,-0.7,110Hs_h106-9.14,GIACALONE Nicolo',SM,ASD ATLETICA BIOTEKNA
396,993,72.3,,giavellotto_800g,VISCA Lucio claudio,PM,FIAMME GIALLE G. SIMONI
397,993,10.65,1.1,100m,BANDAOGO Yassin,PM,G.S. FIAMME ORO PADOVA
398,992,61.01,,400Hs_h76,INGENITO Giulia,PF,SISPORT SSD
399,992,21.52,-1.9,200m,BOZZA Matteo,SM,ATL BRUGNERA PN FRIULINTAGLI
400,991,2865.24,,Marcia_10km,BARCELLA Lidia,SF,BRACCO ATLETICA
401,990,61.07,,400Hs_h76,SCARANO Maria francesca,PF,CUS PRO PATRIA MILANO
402,990,843.01,,5000m,PAGLIONE Leo,SM,ATLETICA FIRENZE MARATHON S.S.
403,989,7.31,0.2,lungo,PINI Leonardo,PM,CREMONA SPORTIVA ATL. ARVEDI
404,989,15.34,0.1,triplo,EGHIANRUWA Marvellous osarhue,SM,ASSINDUSTRIA SPORT
405,989,7.31,-0.6,lungo,MANCINI Riccardo,PM,ASD ACSI ATLETICA CAMPIDOGLIO
406,988,47.89,,400m,DI BENEDETTO Matteo,PM,PRO SESTO ATL. CERNUSCO
407,988,12.02,1.5,100m,HARRASSER Ira,SF,SSV BRUNECK VOLKSBANK ASV
408,988,52.94,,400Hs_h91,CAPOBIANCO Davide,PM,ADEN EXPRIVIA DAI OPTICAL MOLF
409,988,47.88,,400m,ROSSI Francesco domenico,SM,CUS PRO PATRIA MILANO
410,988,2600.24,,Marcia_10km,BENVENUTO Francesco,SM,GRUPPO SPORTIVO VIRTUS
411,987,21.56,-3.8,200m,ANTONIETTI Mattia,PM,ATL. O.S.A. SARONNO LIB.
412,986,843.95,,5000m,STEFFANONI Saverio,SM,CUS INSUBRIA VARESE COMO
413,986,844.01,,5000m,BRUNIER Lorenzo,SM,G.P. PARCO ALPI APUANE
414,984,844.84,,5000m,BENZONI Stefano,PM,ATL. VALLE BREMBANA
415,983,10.68,0.9,100m,MANETTI Alessandro,PM,ATLETICA FIRENZE MARATHON S.S.
416,983,542.66,,3000st_h91,FONTANA GRANOTTO Marco,SM,ATL. INSIEME VERONA
417,983,10.68,1.1,100m,AWUAH BAFFOUR Stephen,PM,BATTAGLIO C.U.S. TORINO ATL
418,982,14.29,-0.1,100Hs_h84-8.50,BURGER Marie,PF,U.S. QUERCIA DAO CONAD
419,981,845.47,,5000m,ABDIKADAR SHEIK ALI Mohad,SM,C.S. AERONAUTICA MILITARE
420,981,71.49,,giavellotto_800g,GASPARINI Marten,SM,ATHLETIC CLUB 96 ALPERIA
421,981,55.87,,400m,MELETTO Silvia,SF,ATL. BRESCIA 1950
422,980,2884.24,,Marcia_10km,BARBAROSSA Lucia,PF,AMATORI ATL. ACQUAVIVA
423,980,61.42,,400Hs_h76,BOBBO Sara,SF,ATLETICA RIVIERA DEL BRENTA
424,978,543.86,,3000st_h91,DELAINI Davide,PM,EUROATLETICA 2002
425,977,10.7,0.7,100m,FORNESI Tommaso,SM,TOSCANA ATLETICA JOLLY
426,977,5.9,0.7,lungo,SMERALDO Chiara,SF,A.S.D.  C.U.S. GENOVA
427,977,61.53,,400Hs_h76,SOLAGNA Francesca,SF,VITTORIO ATLETICA
428,976,61.56,,400Hs_h76,FAGGION Sofia,SF,ASSINDUSTRIA SPORT
429,976,2892.24,,Marcia_10km,TRAINA Giada,PF,ATLETICA LIVORNO
430,975,2.07,,alto,AVAGNINA Gabriele,PM,A.S.D.  C.U.S. GENOVA
431,975,2.07,,alto,CELEBRIN Federico,PM,TREVISATLETICA
432,975,2.07,,alto,LUIU Massimiliano,SM,G.S. FIAMME ORO PADOVA
433,974,61.65,,400Hs_h76,PETAGINE Francesca,SF,BRACCO ATLETICA
434,974,10.71,0.9,100m,MONACI Romeo,PM,ATL.LIBERTAS UNICUSANO LIVORNO
435,974,54.64,,disco_1kg,STRUMILLO Stefania,SF35,G.S. FIAMME AZZURRE
436,974,12.09,0.4,100m,MOIZZI Stella,PF,ATL. LECCO-COLOMBO COSTRUZ.
437,974,53.26,,400Hs_h91,OSTANELLO Luca,PM,ASSINDUSTRIA SPORT
438,973,65.11,,martello_7kg,LINGUA Marco,SM45,ASD ATLETICA BIOTEKNA
439,973,21.66,-1.9,200m,FAGGIN Alessio,PM,G.S. FIAMME ORO PADOVA
440,972,24.67,-3.6,200m,HERRERA ABREU Johanelis,SF,C.S. AERONAUTICA MILITARE
441,972,2625.24,,Marcia_10km,SCOLI Giulio,SM,ATLETICA LIVORNO
442,971,14.54,-0.7,110Hs_h106-9.14,TOMASI Daniele,JM,C.S.S. LEONARDO DA VINCI
443,971,848.49,,5000m,GRAVANTE Giuseppe,SM,CALCESTRUZZI CORRADINI EXCELS.
444,968,654.35,,3000st_h76,MARIANI Cristina,SF,ATLETICA CASCINA
445,967,61.89,,400Hs_h76,GENTILINI Alessia,SF,ATL.  VALLI DI NON E SOLE
446,966,14.42,-0.4,100Hs_h84-8.50,TAINI Silvia,SF,U.S. QUERCIA DAO CONAD
447,966,4.02,,asta,NNACHI Great,PF,C.S. CARABINIERI SEZ. ATLETICA
448,966,4.02,,asta,MALAVISI Sonia,SF,G.A. FIAMME GIALLE
449,966,2634.24,,Marcia_10km,SERRA Cristian,PM,ASD LA FRATELLANZA 1874
450,966,4.02,,asta,KOFLER Nathalie,SF,S.V. LANA - RAIKA ASV
451,966,4.02,,asta,DUSSIN Francesca,SF,ATL.LIBERTAS UNICUSANO LIVORNO
452,965,1.74,,alto,MORARA Marta,SF,C.S. AERONAUTICA MILITARE
453,965,24.75,-3.6,200m,RICCI Eleonora,SF,G.A. FIAMME GIALLE
454,965,1.74,,alto,STELLA Federica,PF,PRO SESTO ATL. CERNUSCO
455,965,1.74,,alto,GIANNELLI Laura,PF,ASA ASCOLI PICENO
456,964,14.58,0.7,110Hs_h106-9.14,FOFANA Hassane,SM,G.S. FIAMME ORO PADOVA
457,964,24.76,-1.3,200m,BERTON Aurora,SF,G.A. FIAMME GIALLE
458,964,850.78,,5000m,MONDAZZI Alberto,SM,ATL. CASONE NOCETO
459,964,24.76,-3.6,200m,GOFFI Chiara,PF,ATL. CHIARI 1964 LIB.
460,963,2916.24,,Marcia_10km,BESTETTI Tiziana celine,PF,ATL. BERGAMO 1959 ORIOCENTER
461,963,53.5,,400Hs_h91,FLORE Luca,PM,ASD ATL ORISTANO
462,962,12.47,1.8,triplo,CHALLANCIN Corinne,SF,ATLETICA FIRENZE MARATHON S.S.
463,961,24.79,-1.3,200m,BERTELLO Gaya,PF,POLISPORT. NOVATLETICA CHIERI
464,961,851.59,,5000m,FARRONATO Daniele,SM,TREVISATLETICA
465,961,112.31,,800m,BARONTINI Simone,SM,G.S. FIAMME AZZURRE
466,960,62.13,,400Hs_h76,MUNARI Elisabetta,PF,ATLETICA SANDRO CALVESI
467,960,851.87,,5000m,ALLIEGRO Francesco,SM,ATL.LIBERTAS UNICUSANO LIVORNO
468,959,12.44,0.1,triplo,VENTURA Francesca,SF,ASSINDUSTRIA SPORT
469,959,48.34,,400m,BIANCHINI Giacomo,SM,ATLETICA LIVORNO
470,958,62.21,,400Hs_h76,LARICCIA Letizia maria,AF,ATL. ROMA ACQUACETOSA
471,957,14.49,-2.2,100Hs_h84-8.50,BIONDA Anna,SF,TRIESTE ATLETICA
472,956,4.86,,asta,VICERE' Vincenzo,PM,A.S. ATLETICA VIRTUS LUCCA
473,956,4.86,,asta,BIANCOLI Federico,SM,ATL. RICCARDI MILANO 1946
474,954,14.64,0.7,110Hs_h106-9.14,TOMASI Daniele,JM,C.S.S. LEONARDO DA VINCI
475,951,14.54,-2.2,100Hs_h84-8.50,ONGOLO Amelie islande,PF,SSD NISSOLINO SPORT SRL ASU
476,951,48.48,,400m,FRUMENTO Francesco,PM,C.B.A. CINISELLO BALSAMO ATL.
477,948,14.67,-0.8,110Hs_h106-9.14,ALGERI Thomas,PM,ATL. REGGIO ASD
478,947,24.94,-3.6,200m,MELON Chiara,SF,G.S. FIAMME AZZURRE
479,947,48.54,,400m,MELLANO Lorenzo,PM,A.S.D. ATL. FOSSANO '75
480,947,2944.24,,Marcia_10km,BOLLANO Vittoria,SF,ATL. MONDOVI'-ACQUA S.BERNARDO
481,947,62.6,,400Hs_h76,COTTINI Chiara,PF,N. ATL. VARESE
482,947,855.95,,5000m,MAZZONI Leonardo,PM,TOSCANA ATLETICA JOLLY
483,946,2664.24,,Marcia_10km,BONOMI Matteo,SM40,ATL. BERGAMO 1959 ORIOCENTER
484,946,68.98,,giavellotto_800g,BELLINI Giovanni,SM,ATL.STUD. RIETI ANDREA MILARDI
485,946,12.31,0.1,triplo,DE MARTINO Giada,SF,TOSCANA ATL.EMPOLI NISSAN
486,946,7.11,-0.9,lungo,BALDI Samuele,PM,ATL.LIBERTAS UNICUSANO LIVORNO
487,945,21.86,1.2,200m,PETTOROSSI Diego aldo,SM,ATL.LIBERTAS UNICUSANO LIVORNO
488,945,14.92,0.1,triplo,BRUNELLO Mattia,SM,TREVISATLETICA
489,943,14.7,-0.8,110Hs_h106-9.14,LEGNANI Riccardo,PM,CUS PRO PATRIA MILANO
490,942,14.71,-0.8,110Hs_h106-9.14,ZAMPESE Giacomo,SM,ASD ATLETICA BIOTEKNA
491,941,53.98,,400Hs_h91,GAGGIOLI Wilhelm jacopo,SM,TOSCANA ATLETICA JOLLY
492,940,10.82,0.5,100m,SILVESTRELLI Mattia,PM,ATL.STUD. RIETI ANDREA MILARDI
493,940,52.81,,disco_1kg,FORTUNA Diletta,SF,C.S. CARABINIERI SEZ. ATLETICA
494,939,21.9,-2.7,200m,MASNADA Matteo,PM,ASD GIOVANI ATLETI BARI 1969
495,935,63.01,,400Hs_h76,GRESTA Anna,SF,ATL. ROMA ACQUACETOSA
496,935,68.22,,giavellotto_800g,COMINI Simone,SM,ASD ATLETICA BIOTEKNA
497,934,10.84,0.9,100m,CAPASSO Jacopo,PM,ATL.STUD. RIETI ANDREA MILARDI
498,934,48.74,,400m,BIADATI Emanuele,PM,PRO SESTO ATL. CERNUSCO
499,932,2.02,,alto,DONADONI Marcello,PM,ATLETICA BOVOLONE
500,932,2.02,,alto,LONGO Giovanni,PM,S.S. VITTORIO ALFIERI ASTI
501,932,860.74,,5000m,BELGHITI Mustafa',SM,ASD SICILIA RUNNING TEAM
502,932,2.02,,alto,RAMUS Stefano,SM,ATL.  VALLI DI NON E SOLE
503,930,15.55,,peso_4kg,OSAKUE Daisy oyemwenosa,SF,G.A. FIAMME GIALLE
504,930,233.7,,1500m,LODI Kevin,PM,GRUPPO ATLETICO BASSANO 1948
505,930,14.78,-0.7,110Hs_h106-9.14,REBESCO Luca,PM,TREVISATLETICA
506,926,1.7,,alto,SMREKAR Celine,SF,ATLETICA FIRENZE MARATHON S.S.
507,926,1.7,,alto,ZANON Sofia,AF,ATLETICA VIS ABANO
508,925,12.11,0.1,triplo,RUZZA Alessia,PF,ATL. GALLARATESE
509,925,52.01,,disco_1kg,VILLA Ilaria,SF,CUS PRO PATRIA MILANO
510,925,22.0,-3.8,200m,MARTINELLI Vincenzo,PM,ATL. MONDOVI'-ACQUA S.BERNARDO
511,923,2699.24,,Marcia_10km,ANGELINI Gregorio,SM,ATL.AM. CISTERNINO ECOLSERVIZI
512,923,54.38,,400Hs_h91,GATTO Andy,SM,A.S.D. ATLETICA ROATA CHIUSANI
513,921,15.41,,peso_4kg,VERTERAMO Sara,SF,BATTAGLIO C.U.S. TORINO ATL
514,920,3.87,,asta,SEMERARO Francesca,SF,ALTERATLETICA LOCOROTONDO
515,919,558.42,,3000st_h91,ZANTI Samuele,PM,ATL.LIBERTAS UNICUSANO LIVORNO
516,917,51.58,,disco_1kg,SPLENDORI Miriana,SF,A.S.D. ACSI ITALIA ATLETICA
517,916,54.52,,400Hs_h91,ALIPRANDI Luca,SM,U.S. ATL. VEDANO
518,916,63.72,,400Hs_h76,VATTOLO Beatrice,PF,ATLETICA MALIGNANI LIBERTAS UD
519,916,10.9,0.7,100m,QUARSHIE Stefano twumasi,SM,ATL.VICENTINA
520,915,51.16,,giavellotto_600g,ZABARINO Sara,SF,A.S.D. ACSI ITALIA ATLETICA
521,915,63.76,,400Hs_h76,CALA Teuta,SF,SSD NISSOLINO SPORT SRL ASU
522,914,61.28,,martello_7kg,CAMILLI Pietro,PM,ATLETICA FIRENZE MARATHON S.S.
523,910,14.9,-0.8,110Hs_h106-9.14,COREN Simone,PM,ATLETICA MALIGNANI LIBERTAS UD
524,909,61.01,,martello_7kg,GIORGIS Gregorio,SM,ATL. AVIS MACERATA
525,909,50.84,,giavellotto_600g,TONIUTTO Adele,SF,A.S.D. TEAM TREVISO
526,905,6.92,-0.3,lungo,ZUCCA Christian,SM,C.U.S. CAGLIARI
527,905,51.46,,disco_2kg,MARMONTI Stefano,PM,ATL.LIBERTAS UNICUSANO LIVORNO
528,905,3022.24,,Marcia_10km,BUSELLI Francesca gloria,JF,ASD LA FRATELLANZA 1874
529,903,16.33,,peso_7kg,GAROFALO Matteo,SM,TOSCANA ATLETICA JOLLY
530,903,50.78,,disco_1kg,BENEDETTI Benedetta,PF,C.S. ESERCITO
531,902,869.88,,5000m,DALLAPICCOLA Mauro,PM,ATLETICA VALLE DI CEMBRA
532,901,64.27,,400Hs_h76,STRANIERI Martina,PF,A.S.D. ATLETICA ALBA DOCILIA
533,898,65.64,,giavellotto_800g,BRUSCHI Lorenzo,SM,ATL. O.S.A. SARONNO LIB.
534,898,51.11,,disco_2kg,D'ALESSANDRO Danilo,SM,ATHLETIC CLUB 96 ALPERIA
535,897,50.18,,giavellotto_600g,PADOVAN Paola,SF,C.S. CARABINIERI SEZ. ATLETICA
536,897,57.81,,martello_4kg,MBONGO Keren,PF,ASSINDUSTRIA SPORT
537,896,65.45,,giavellotto_800g,LAZZARETTO Kristian,PM,ATL.VICENTINA
538,893,5.51,0.3,lungo,MENZ Anna,SF,ATLETICA FIRENZE MARATHON S.S.
539,893,565.13,,3000st_h91,DONE' Riccardo,SM,ASD ATLETICA MOGLIANO
540,891,49.86,,giavellotto_600g,CASADEI Emanuela,SF,ASD LA FRATELLANZA 1874
541,888,59.6,,martello_7kg,BARBONE Stefano,SM,A.S. ATLETICA VIRTUS LUCCA
542,887,49.61,,giavellotto_600g,ADANHOEGBE Adjimon pascaline,SF,CUS PRO PATRIA MILANO
543,886,6.83,0.3,lungo,GAUZE David desiba,PM,GA ARISTIDE COIN VENEZIA 1949
544,886,49.59,,giavellotto_600g,JEMAI Sara,SF,C.S. ESERCITO
545,886,50.47,,disco_2kg,MASIANI Samuele,SM,BATTAGLIO C.U.S. TORINO ATL
546,884,50.32,,disco_2kg,TENGATTINI Gioele,PM,ATL. BERGAMO 1959 ORIOCENTER
547,880,11.02,1.1,100m,SIMONELLI Lorenzo ndele,SM,C.S. ESERCITO
548,880,49.54,,disco_1kg,COPPARI Sofia,PF,ATL. BRESCIA 1950
549,877,58.89,,martello_7kg,CASAVECCHIA Mirko,SM,ASS.ATL.LIBERTAS ORVIETO
550,877,15.89,,peso_7kg,MIRENZI Mattia,SM,A.S.D. ATLETICA TEAM CARIGNANO
551,874,3.72,,asta,AGOSTINIS Sara,PF,ATL BRUGNERA PN FRIULINTAGLI
552,874,3.72,,asta,POZZATO Giada,SF,ATL. BRESCIA 1950
553,874,3.72,,asta,RADAELLI Vittoria,PF,ATL. O.S.A. SARONNO LIB.
554,870,15.77,,peso_7kg,TENGATTINI Gioele,PM,ATL. BERGAMO 1959 ORIOCENTER
555,869,56.04,,martello_4kg,GREMI Agata,SF,ATL. BRESCIA 1950
556,867,14.54,,peso_4kg,OSAGIE Vivian otoibhi,PF,G.S.SELF ATL. MONTANARI GRUZZA
557,867,14.53,,peso_4kg,CARNEVALE Martina,SF,ATL.STUD. RIETI ANDREA MILARDI
558,863,3102.24,,Marcia_10km,FORESTI Beatrice,SF,ATL. BERGAMO 1959 ORIOCENTER
559,859,62.88,,giavellotto_800g,FONTANA Norberto,SM,A.S.D. ATLETICA CINQUE CERCHI
560,855,57.47,,martello_7kg,MIGLIANO Filippo,SM,ATL. O.S.A. SARONNO LIB.
561,855,3118.24,,Marcia_10km,MATTIACE Maria serena,PF,AMATORI ATL. ACQUAVIVA
562,852,14.29,,peso_4kg,STELLA Fuyuko,SF,ATL.VICENTINA
563,852,54.96,,martello_4kg,PRINETTI ANZALAPAYA Lucia,SF,ASSINDUSTRIA SPORT
564,845,48.21,,disco_2kg,FASSINA Andrea,SM,TEAM-A LOMBARDIA
565,834,53.88,,martello_4kg,CASIRAGHI Melissa,PF,TEAM-A LOMBARDIA
566,834,14.0,,peso_4kg,COPPARI Sofia,PF,ATL. BRESCIA 1950
567,833,47.55,,disco_2kg,MASCALI Isidoro marco,SM,SSD NISSOLINO SPORT SRL ASU
568,829,46.47,,giavellotto_600g,RANDAZZO Margherita,SF,ASSINDUSTRIA SPORT
569,827,2852.24,,Marcia_10km,GRILLO Ettore,SM,ATLETICA FIRENZE MARATHON S.S.
