prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
110.46,SEMPRINI Massimo,1974,SM40,PASSO CAPPONI ASD,74 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/SEMPRINI-Massimo/eqmRkpmfaGM%3D,https://www.fidal.it/societa/PASSO-CAPPONI-ASD/BO544
106.98,CATTANEO Angelo,1977,SM40,HAPPY RUNNER CLUB,75 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/CATTANEO-Angelo/dq2RmJKjaWw%3D,https://www.fidal.it/societa/HAPPY-RUNNER-CLUB/MI638
106.98,PAOLETTI Nerino,1967,SM50,BERGAMO STARS ATLETICA,76 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/PAOLETTI-Nerino/dLKRkpqjbGY%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
106.98,GIUSTI Daniele,1965,SM50,A.S. ATL. VINCI,78 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/GIUSTI-Daniele/faiRkpuibmY%3D,https://www.fidal.it/societa/A-S--ATL--VINCI/FI177
106.57,VEDILEI Enrico,1964,SM50,G.P.A. LUGHESINA,79 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/VEDILEI-Enrico/gaiRkpKfamk%3D,https://www.fidal.it/societa/G-P-A--LUGHESINA/RA002
102.354,PISANO Romualdo,1979,SM35,F.O.RUNNING TEAM,15 su- 1,Reggio Emilia,2017-11-11,https://www.fidal.it/atleta/PISANO-Romualdo/dqqRmJOnb2s%3D,https://www.fidal.it/societa/F-O-RUNNING-TEAM/BS836
100.02,SALEM Mohamed,1940,SM75,ASSINDUSTRIA SPORT PADOVA,81 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/SALEM-Mohamed/eKqRkpKnbmU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PADOVA/PD140
96.273,BRUNI Federico,1976,SM40,TEAM OTC SSD ARL,16 su- 1,Reggio Emilia,2017-11-11,https://www.fidal.it/atleta/BRUNI-Federico/dquRk5Wmbmc%3D,https://www.fidal.it/societa/TEAM-OTC-SSD-ARL/CO828
94.19,MONTAGNER Stefano,1962,SM55,ASS. DILET. CANAVESE 2005,83 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/MONTAGNER-Stefano/dK6RlJqfams%3D,https://www.fidal.it/societa/ASS--DILET--CANAVESE-2005/TO199
88.166,GUIDUCCI Andrea,1971,SM45,ASD ATL. CESENATICO,17 su- 1,Reggio Emilia,2017-11-11,https://www.fidal.it/atleta/GUIDUCCI-Andrea/equRkpKfamY%3D,https://www.fidal.it/societa/ASD-ATL--CESENATICO/FC185
87.21,MANCUSI Guido,1965,SM50,ATL. O.S.G. GUANZATE,84 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/MANCUSI-Guido/dqiSl5WjcWQ%3D,https://www.fidal.it/societa/ATL--O-S-G--GUANZATE/CO286
70.938,BARANZINI Daniele,1970,SM45,ROAD RUNNERS CLUB MILANO,19 su- 1,Reggio Emilia,2017-11-11,https://www.fidal.it/atleta/BARANZINI-Daniele/drKRkpqfaGo%3D,https://www.fidal.it/societa/ROAD-RUNNERS-CLUB-MILANO/MI265
70.93,MUGGIANU Maurizio,1965,SM50,ATLETICA IL COLLE ASD,86 se- 1,Cesano Boscone,2017-03-11,https://www.fidal.it/atleta/MUGGIANU-Maurizio/iKiSmZKkaWU%3D,https://www.fidal.it/societa/ATLETICA-IL-COLLE-ASD/PG079
