prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
193.63,,193.622,0,DI PALMA Ciro,1969,SM40,REGGIO EVENT'S,2 su- 1,Fano,2011-10-08,https://www.fidal.it/atleta/DI-PALMA-Ciro/eqiRlZqlbWs%3D,https://www.fidal.it/societa/REGGIO-EVENT-S/RE128
113.6,,113.599,0,LIBERTI Fabio,1977,SM,ATL.CSAIN PERUGIA,1 su- 1,Fano,2011-10-08,https://www.fidal.it/atleta/LIBERTI-Fabio/fqiRkpOfb2Q%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
118.14,,118.132,0,AGOSTINI Giancarla,1981,SF,GRUPPO CITTA' DI GENOVA,1 su- 1,Fano,2011-10-08,https://www.fidal.it/atleta/AGOSTINI-Giancarla/dK6RlZKmbmo%3D,https://www.fidal.it/societa/GRUPPO-CITTA-DI-GENOVA/GE017
188.66,,188.658,0,OLIVERI Virginia,1975,SF35,ATLETICA VARAZZE,128 su- 1,Katowice,2012-09-09,https://www.fidal.it/atleta/OLIVERI-Virginia/daiUlpWjcWQ%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
209.63,,209.622,0,OLIVERI Virginia,1975,SF35,ATLETICA VARAZZE,30 su- 1,Steenbergen,2013-05-11,https://www.fidal.it/atleta/OLIVERI-Virginia/daiUlpWjcWQ%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
185.35,,185.343,0,RAVANI Laura,1976,SF35,RUNNERS BERGAMO,63 su- 1,Steenbergen,2013-05-11,https://www.fidal.it/atleta/RAVANI-Laura/dqmRmJOjbGY%3D,https://www.fidal.it/societa/RUNNERS-BERGAMO/BG472
-1,,114074,2,PANUNZI Paolo,1962,SM50,LBM SPORT TEAM,64 su- 1,Torino,2014-04-13,https://www.fidal.it/atleta/PANUNZI-Paolo/f6yRkpqjbmM%3D,https://www.fidal.it/societa/LBM-SPORT-TEAM/RM173
243.69,,243.688,0,ROVERA Paolo,1974,SM40,A.S.D.DRAGONERO,11 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/ROVERA-Paolo/dKyRk5mhcWk%3D,https://www.fidal.it/societa/A-S-D-DRAGONERO/CN004
238.02,,238.020,0,MARCHESI Tiziano,1969,SM45,BERGAMO STARS ATLETICA,20 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/MARCHESI-Tiziano/dq2RkpWibmU%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
227.04,,227.032,0,PAOLETTI Nerino,1967,SM45,BERGAMO STARS ATLETICA,33 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/PAOLETTI-Nerino/dLKRkpqjbGY%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
221.45,,221.450,0,D'AVANZO Nicolangelo,1971,SM40,A.S.D. BISCEGLIE RUNNING,77 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/D-AVANZO-Nicolangelo/hKiSmpKncGc%3D,https://www.fidal.it/societa/A-S-D--BISCEGLIE-RUNNING/BA582
211.8,,211.793,0,CUDIN Ivan,1975,SM40,G. M. UDINESI UOEI,51 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/CUDIN-Ivan/eayRk5OgbGU%3D,https://www.fidal.it/societa/G--M--UDINESI-UOEI/UD500
211.33,,211.329,0,MARCATO Andrea,1982,SM,SRI CHINMOY MARATHON TEAM,52 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/MARCATO-Andrea/dq2RlpOiaWU%3D,https://www.fidal.it/societa/SRI-CHINMOY-MARATHON-TEAM/MI600
208.5,,208.494,0,FRESIA Tarcisio,1946,SM65,G.S. ERMENEGILDO ZEGNA,76 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/FRESIA-Tarcisio/dKAAARk5uoamw%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
197.86,,197.859,0,CANTA Piercarlo,1963,SM50,CRAL SOCIETA' REALE MUTUA ASS.,75 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/CANTA-Piercarlo/dK6RlJufb2o%3D,https://www.fidal.it/societa/CRAL-SOCIETA-REALE-MUTUA-ASS-/TO202
197.46,,197.460,0,GIACOBONE Daniele,1967,SM45,ATL. PAVESE,74 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/GIACOBONE-Daniele/dqiRk5mkaWQ%3D,https://www.fidal.it/societa/ATL--PAVESE/PV599
196.49,,196.484,0,EVANGELISTI Michele,1980,SM35,TRIANGOLO SPORT LANGHE MONFERR,73 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/EVANGELISTI-Michele/faiRm5miaGg%3D,https://www.fidal.it/societa/TRIANGOLO-SPORT-LANGHE-MONFERR/CN040
193.03,,193.022,0,RACCA Giancarlo,1965,SM50,TURIN MARATHON,72 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/RACCA-Giancarlo/dK6RlJSgbmk%3D,https://www.fidal.it/societa/TURIN-MARATHON/TO118
183.8,,183.798,0,BORLENGHI Federico,1977,SM35,MARATHON CREMONA,79 su- 1,Torino,2015-04-11,https://www.fidal.it/atleta/BORLENGHI-Federico/dqyRlpmkaWQ%3D,https://www.fidal.it/societa/MARATHON-CREMONA/CR554
