prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
10.47,10.47,e,VERDECCHIA Luca,1978,SM,G.S. FIAMME ORO PADOVA,2 su- 1,Tampere,2007-02-04,https://www.fidal.it/atleta/VERDECCHIA-Luca/e6iRkpeiamM%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
11.64,11.64,e,GRAGLIA Daniela,1976,SF,C.S. ESERCITO,2 su- 1,Tampere,2007-02-04,https://www.fidal.it/atleta/GRAGLIA-Daniela/dK6RlJKjbWk%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
10.94,10.94,e,DONATI Roberto,1983,SM,ATL. STUDENTESCA CA.RI.RI,5 se- 2,Tampere,2008-02-27,https://www.fidal.it/atleta/DONATI-Roberto/f6iRlZKobWw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
11.76,11.76,e,BENATTI Andrea,1972,SM40,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Magglingen,2014-01-25,https://www.fidal.it/atleta/BENATTI-Andrea/dqiRkpWfamw%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
19.25,19.25,e,OTTAVIANI Giuseppe,2016,,ASD.G.S.ATL.EFFEBI FOSSOMBRONE,1 su- 1,Ancona,2017-02-25,https://www.fidal.it/atleta/OTTAVIANI-Giuseppe/e6iRkpWfaGM%3D,https://www.fidal.it/societa/ASD-G-S-ATL-EFFEBI-FOSSOMBRONE/PU005
13.95,13.7,m,SANTI Mila,2009,CF,A.S.D. ATLETICA CINQUE CERCHI,1 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/SANTI-Mila/eq2RkpahaGg%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-CINQUE-CERCHI/PC461
14.95,14.7,m,BARGAZZI Francesca,2009,CF,A.S.D. ATLETICA CINQUE CERCHI,3 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/BARGAZZI-Francesca/eq2Rkpajamg%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-CINQUE-CERCHI/PC461
15.25,15.0,m,UKU Erisa,2009,CF,ATL. PIACENZA,4 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/UKU-Erisa/eq2RkpalbWM%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
15.45,15.2,m,GRIZIOTTI Sara,2009,CF,A.S.D. ATLETICA CINQUE CERCHI,6 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/GRIZIOTTI-Sara/eq2RkpagcWo%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-CINQUE-CERCHI/PC461
12.65,12.4,m,CHIESA Francesco,2008,AM,A.S.D. ATLETICA CINQUE CERCHI,1 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/CHIESA-Francesco/eq2RkpWkamk%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-CINQUE-CERCHI/PC461
12.65,12.4,m,ARFINI Tommaso,2005,JM,A.S.D. ATLETICA CINQUE CERCHI,1 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/ARFINI-Tommaso/eq2RkpOia2c%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-CINQUE-CERCHI/PC461
12.75,12.5,m,ACCORSI Tommaso,2008,AM,A.S.D. ATLETICA CINQUE CERCHI,2 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/ACCORSI-Tommaso/eq2RkpahaGY%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-CINQUE-CERCHI/PC461
14.35,14.1,m,CROSIGNANI Riccardo,2007,AM,ATL. PIACENZA,3 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/CROSIGNANI-Riccardo/eq2RkpagcGY%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
13.15,12.9,m,SVERZELLATI Chiara,2006,JF,ATL. PIACENZA,1 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/SVERZELLATI-Chiara/eq2RkpOicGw%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
14.05,13.8,m,CINO Veronica,2007,AF,ATL. PIACENZA,2 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/CINO-Veronica/eq2RkpWocWg%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
15.35,15.1,m,DEL MAURO Benedetta,2008,AF,ATL. PIACENZA,5 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/DEL-MAURO-Benedetta/eq2RkpagaGs%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
15.65,15.4,m,ZANELLI Francesca,2005,JF,ATL. PIACENZA,2 se- 1,Piacenza,2024-04-18,https://www.fidal.it/atleta/ZANELLI-Francesca/eq2RkpWkb2c%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
