prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
10.47,10.47,0.0,VERDECCHIA Luca,1978,SM,G.S. FIAMME ORO PADOVA,2 su- 1,Tampere,2007-02-04,https://www.fidal.it/atleta/VERDECCHIA-Luca/e6iRkpeiamM%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
11.64,11.64,0.0,GRAGLIA Daniela,1976,SF,C.S. ESERCITO,2 su- 1,Tampere,2007-02-04,https://www.fidal.it/atleta/GRAGLIA-Daniela/dK6RlJKjbWk%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
10.94,10.94,0.0,DONATI Roberto,1983,SM,ATL. STUDENTESCA CA.RI.RI,5 se- 2,Tampere,2008-02-27,https://www.fidal.it/atleta/DONATI-Roberto/f6iRlZKobWw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
11.76,11.76,0.0,BENATTI Andrea,1972,SM40,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Magglingen,2014-01-25,https://www.fidal.it/atleta/BENATTI-Andrea/dqiRkpWfamw%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
19.25,19.25,0.0,OTTAVIANI Giuseppe,2016,,ASD.G.S.ATL.EFFEBI FOSSOMBRONE,1 su- 1,Ancona,2017-02-25,https://www.fidal.it/atleta/OTTAVIANI-Giuseppe/e6iRkpWfaGM%3D,https://www.fidal.it/societa/ASD-G-S-ATL-EFFEBI-FOSSOMBRONE/PU005
