punteggio,prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,4561.0,,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,5 su- 1,Lana,2022-09-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,4116.0,,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,7 su- 1,Lana,2022-04-24,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,4250.0,,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,9 su- 1,Bovolone,2023-04-29,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,4154.0,,DALLA CORTE Matteo,2001,SM,ANA ATL.FELTRE,7 su- 1,Bovolone,2024-05-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
