prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
371.24,6:11.24,e,REATO Alessio,2007,AM,ASD ATLETICA BIOTEKNA,1 su- 1,Venezia,2023-09-09,https://www.fidal.it/atleta/REATO-Alessio/eK2Rk5Wgb2s%3D,https://www.fidal.it/societa/ASD-ATLETICA-BIOTEKNA/VE471
371.27,6:11.27,e,CAFAGNA Thomas,2006,AM,SPORTIAMO,1 su- 1,Trieste,2023-06-04,https://www.fidal.it/atleta/CAFAGNA-Thomas/eauRk5OgaWQ%3D,https://www.fidal.it/societa/SPORTIAMO/TS544
371.56,6:11.56,e,GALATI Pietro,2006,AM,ASSINDUSTRIA SPORT,2 su- 1,Venezia,2023-09-09,https://www.fidal.it/atleta/GALATI-Pietro/eKqRkpqlbmU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140
371.71,6:11.71,e,DESIDERA Nicodemo,2006,AM,ATLETICA RIVIERA DEL BRENTA,1 su- 1,Venezia,2023-04-30,https://www.fidal.it/atleta/DESIDERA-Nicodemo/eK2RkpunaGw%3D,https://www.fidal.it/societa/ATLETICA-RIVIERA-DEL-BRENTA/VE473
372.17,6:12.17,e,DOLCI Leonardo,2006,AM,TIRRENO ATLETICA CIVITAVECCHIA,1 su- 1,Roma,2023-06-10,https://www.fidal.it/atleta/DOLCI-Leonardo/f6yRk5SoamU%3D,https://www.fidal.it/societa/TIRRENO-ATLETICA-CIVITAVECCHIA/RM068
372.22,6:12.22,e,D'INZILLO CARRANZA Diego,2007,AM,#ILOVERUN ATHLETIC TERNI,2 su- 1,Roma,2023-06-10,https://www.fidal.it/atleta/D-INZILLO-CARRANZA-Diego/fqqRkpSla2s%3D,https://www.fidal.it/societa/_ILOVERUN-ATHLETIC-TERNI/TR040
372.54,6:12.54,e,RICCI Enrico,2006,AM,ATLETICA RAVENNA,1 su- 1,Imola,2023-05-06,https://www.fidal.it/atleta/RICCI-Enrico/eqAAARkpOla2o%3D,https://www.fidal.it/societa/ATLETICA-RAVENNA/RA095
372.57,6:12.57,e,AMBROSIO Riccardo,2007,AM,ATL. GAVIRATE,1 se- 2,Bergamo,2023-05-06,https://www.fidal.it/atleta/AMBROSIO-Riccardo/drKRk5KocGk%3D,https://www.fidal.it/societa/ATL--GAVIRATE/VA550
373.14,6:13.14,e,COPPOLA Luca,2007,AM,A.S.D. POL. REAL PACECO,1 su- 1,Siracusa,2023-06-17,https://www.fidal.it/atleta/COPPOLA-Luca/h7KRkpOhb2Y%3D,https://www.fidal.it/societa/A-S-D--POL--REAL-PACECO/TP459
374.74,6:14.74,e,GALATI Pietro,2006,AM,ASSINDUSTRIA SPORT,2 su- 1,Venezia,2023-04-30,https://www.fidal.it/atleta/GALATI-Pietro/eKqRkpqlbmU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140
376.31,6:16.31,e,FORNI Lorenzo,2006,AM,ATL. LECCO-COLOMBO COSTRUZ.,8 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/FORNI-Lorenzo/dquRlJKhbGQ%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
376.81,6:16.81,e,DOLCI Leonardo,2006,AM,TIRRENO ATLETICA CIVITAVECCHIA,1 su- 1,Roma,2023-05-06,https://www.fidal.it/atleta/DOLCI-Leonardo/f6yRk5SoamU%3D,https://www.fidal.it/societa/TIRRENO-ATLETICA-CIVITAVECCHIA/RM068
376.94,6:16.94,e,GALATI Pietro,2006,AM,ASSINDUSTRIA SPORT,2 su- 1,Venezia,2023-06-13,https://www.fidal.it/atleta/GALATI-Pietro/eKqRkpqlbmU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140
377.32,6:17.32,e,CAFAGNA Thomas,2006,AM,SPORTIAMO,1 su- 1,Pordenone,2023-05-13,https://www.fidal.it/atleta/CAFAGNA-Thomas/eauRk5OgaWQ%3D,https://www.fidal.it/societa/SPORTIAMO/TS544
377.6,6:17.60,e,MORA Mathias,2006,AM,U.S. MALONNO,1 su- 1,Bergamo,2023-07-15,https://www.fidal.it/atleta/MORA-Mathias/dqqRmZOlaGQ%3D,https://www.fidal.it/societa/U-S--MALONNO/BS368
377.6,6:17.60,e,ARDIZZONE Lorenzo,2007,AM,FIAMME GIALLE G. SIMONI,1 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/ARDIZZONE-Lorenzo/f6yRlZqhbWg%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
378.53,6:18.53,e,D'INZILLO CARRANZA Diego,2007,AM,#ILOVERUN ATHLETIC TERNI,9 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/D-INZILLO-CARRANZA-Diego/fqqRkpSla2s%3D,https://www.fidal.it/societa/_ILOVERUN-ATHLETIC-TERNI/TR040
378.89,6:18.89,e,VALOTTI Giacomo,2006,AM,ATL. VIRTUS CASTENEDOLO,2 su- 1,Bergamo,2023-07-15,https://www.fidal.it/atleta/VALOTTI-Giacomo/dqqRmJKmaGU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
379.31,6:19.31,e,FORNI Lorenzo,2006,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Rodengo Saiano,2023-05-28,https://www.fidal.it/atleta/FORNI-Lorenzo/dquRlJKhbGQ%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
379.42,6:19.42,e,MORA Mathias,2006,AM,U.S. MALONNO,1 su- 1,Clusone,2023-09-09,https://www.fidal.it/atleta/MORA-Mathias/dqqRmZOlaGQ%3D,https://www.fidal.it/societa/U-S--MALONNO/BS368
379.8,6:19.80,e,AMBROSIO Riccardo,2007,AM,ATL. GAVIRATE,2 su- 1,Perugia,2023-09-23,https://www.fidal.it/atleta/AMBROSIO-Riccardo/drKRk5KocGk%3D,https://www.fidal.it/societa/ATL--GAVIRATE/VA550
381.38,6:21.38,e,DESIDERA Nicodemo,2006,AM,ATLETICA RIVIERA DEL BRENTA,1 su- 1,Borgo Valbelluna,2023-05-06,https://www.fidal.it/atleta/DESIDERA-Nicodemo/eK2RkpunaGw%3D,https://www.fidal.it/societa/ATLETICA-RIVIERA-DEL-BRENTA/VE473
381.53,6:21.53,e,GHILARDUCCI Andreas,2007,AM,ASD MAURINA OLIO CARLI,10 se- 2,Caorle,2023-06-23,https://www.fidal.it/atleta/GHILARDUCCI-Andreas/daqRkpWncGc%3D,https://www.fidal.it/societa/ASD-MAURINA-OLIO-CARLI/IM029
381.65,6:21.65,e,MORA Mathias,2006,AM,U.S. MALONNO,2 su- 1,Rodengo Saiano,2023-05-28,https://www.fidal.it/atleta/MORA-Mathias/dqqRmZOlaGQ%3D,https://www.fidal.it/societa/U-S--MALONNO/BS368
381.83,6:21.83,e,SAVAIA Salvatore felipe,2006,AM,ASD LIB. MANTOVA MASCH-FEMM.,2 su- 1,Clusone,2023-09-09,https://www.fidal.it/atleta/SAVAIA-Salvatore-felipe/dq6RkpSja2g%3D,https://www.fidal.it/societa/ASD-LIB--MANTOVA-MASCH-FEMM-/MN043
