punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
741,13.6,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,4 su- 1,Marostica,2012-09-23,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
736,13.53,ORZES Alex,1994,CM,ANA ATL.FELTRE,2 su- 1,Vicenza,2009-06-06,https://www.fidal.it/atleta/ORZES-Alex/eKmRlJSlaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
731,13.43,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 su- 1,Feltre,2012-06-21,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
728,13.39,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 se- 1,Feltre,2012-08-23,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
726,13.35,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 se- 1,Belluno,2012-05-19,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
710,12.01,CESCATO Beatrice,1993,AF,ANA ATL.FELTRE,2 su- 1,Bressanone,2010-05-23,https://www.fidal.it/atleta/CESCATO-Beatrice/eKmRlJOgb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
710,13.08,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,3 su- 1,Rossano Veneto,2012-09-02,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
683,12.62,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,4 su- 1,Verona,2012-06-02,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
659,12.22,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,8 su- 1,Majano,2012-09-08,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
657,12.19,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 se- 1,Vallesella Di Cadore,2012-05-05,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
