punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,23.11,CANOVA Sara,1992,CF,ANA ATL.FELTRE,11 su- 1,Verona,2007-06-02,https://www.fidal.it/atleta/CANOVA-Sara/eKmRlJOhbWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,19.66,FACCHIN Alessia,1993,CF,ANA ATL.FELTRE,1 su- 1,Longarone,2007-05-19,https://www.fidal.it/atleta/FACCHIN-Alessia/eKmRlJKna2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,28.81,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,2 su- 1,Rossano Veneto,2008-09-07,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,27.01,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,4 su- 1,Marostica,2008-09-14,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,26.03,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,10 su- 1,Mogliano Veneto,2008-09-27,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,24.72,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2008-10-04,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,24.38,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,10 su- 1,Verona,2008-06-01,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,24.34,FACCHIN Alessia,1993,CF,ANA ATL.FELTRE,2 se- 1,Belluno,2008-05-10,https://www.fidal.it/atleta/FACCHIN-Alessia/eKmRlJKna2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,23.86,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,2 se- 1,Longarone,2008-05-24,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,22.29,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2008-06-21,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,29.46,SAIONI Chiara,1994,CF,ANA ATL.FELTRE,3 se- 1,Feltre,2009-08-26,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
