punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
578,32.85,TAMBURLIN Anna,2000,JF,ANA ATL.FELTRE,8 su- 1,Bussolengo,2018-05-27,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
534,30.47,TAMBURLIN Anna,2000,JF,ANA ATL.FELTRE,13 su- 1,Arzignano,2018-07-08,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
533,39.77,SCOPEL Nicola,2008,CM,ANA ATL.FELTRE,3 su- 1,Feltre,2023-10-21,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
530,39.56,SCOPEL Nicola,2008,CM,ANA ATL.FELTRE,4 su- 1,Majano,2023-09-09,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
522,39.0,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 se- 1,Feltre,2012-05-20,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
521,29.74,SAIONI Chiara,1994,AF,ANA ATL.FELTRE,3 su- 1,Bastia Umbra,2011-06-12,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
519,38.77,SCOPEL Nicola,2008,CM,ANA ATL.FELTRE,1 su- 1,Borgo Valbelluna,2023-09-02,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,29.53,TAMBURLIN Anna,2000,JF,ANA ATL.FELTRE,9 su- 1,Caorle,2018-05-06,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
510,38.14,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 se- 1,Belluno,2011-10-15,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
503,37.65,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,11 su- 1,Marostica,2012-09-22,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
502,37.58,CICCOMASCOLO Lorenzo,1997,CM,ANA ATL.FELTRE,1 se- 1,Feltre,2012-08-23,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
493,28.19,SAIONI Chiara,1994,AF,ANA ATL.FELTRE,6 su- 1,Bassano Del Grappa,2011-09-18,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
493,28.2,SAIONI Chiara,1994,AF,ANA ATL.FELTRE,9 su- 1,Verona,2010-05-30,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
492,36.88,ACAMPORA Giuseppe,1993,CM,ANA ATL.FELTRE,4 su- 1,Verona,2007-06-02,https://www.fidal.it/atleta/ACAMPORA-Giuseppe/eKmRlJOnb2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
491,36.8,SCOPEL Nicola,2008,CM,ANA ATL.FELTRE,7 su- 1,Vittorio Veneto,2023-09-23,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
490,28.05,SAIONI Chiara,1994,AF,ANA ATL.FELTRE,3 su- 1,Trento,2010-09-14,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
488,27.96,SAIONI Chiara,1994,AF,ANA ATL.FELTRE,7 su- 1,Rovigo,2011-05-08,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
485,27.76,SAIONI Chiara,1994,AF,ANA ATL.FELTRE,8 su- 1,Mogliano Veneto,2010-09-19,https://www.fidal.it/atleta/SAIONI-Chiara/eKmRlJOoamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
