punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,9.32,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 se- 1,Feltre,2009-06-20,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.65,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,5 su- 1,Verona,2010-05-30,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.41,ORZES Alex,1994,AM,ANA ATL.FELTRE,6 su- 1,Verona,2010-05-30,https://www.fidal.it/atleta/ORZES-Alex/eKmRlJSlaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.01,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,8 su- 1,Saronno,2010-06-27,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,11.84,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,6 su- 1,Mestre,2010-05-09,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,11.28,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,1 su- 1,Feltre,2010-06-19,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.02,TREVISAN David,1994,AM,ANA ATL.FELTRE,2 su- 1,Feltre,2010-06-19,https://www.fidal.it/atleta/TREVISAN-David/eKmRlJSlaGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.04,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,1 su- 1,Feltre,2011-06-18,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.76,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,5 su- 1,Saronno,2011-06-12,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.65,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,3 su- 1,Vicenza,2011-05-22,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.64,ORZES Alex,1994,AM,ANA ATL.FELTRE,2 se- 1,Padova,2011-05-18,https://www.fidal.it/atleta/ORZES-Alex/eKmRlJSlaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.31,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,4 su- 1,Rovigo,2011-05-08,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.19,ZAETTA Gabriele,1994,AM,ANA ATL.FELTRE,6 se- 1,Padova,2011-05-18,https://www.fidal.it/atleta/ZAETTA-Gabriele/eKmRlJKobmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.8,MARRONE Sebastiano,1996,AM,ANA ATL.FELTRE,4 su- 1,Abano Terme,2012-05-13,https://www.fidal.it/atleta/MARRONE-Sebastiano/eK2RkpWiamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.23,MARRONE Sebastiano,1996,AM,ANA ATL.FELTRE,4 su- 1,Bastia Umbra,2012-06-24,https://www.fidal.it/atleta/MARRONE-Sebastiano/eK2RkpWiamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.61,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,5 se- 1,Belluno,2012-10-20,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
