punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,31.26,TAMBURLIN Anna,2000,AF,ANA ATL.FELTRE,9 su- 1,Rosa,2016-09-18,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,27.81,TAMBURLIN Anna,2000,AF,ANA ATL.FELTRE,4 se- 1,Vicenza,2016-05-01,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,32.75,TAMBURLIN Anna,2000,AF,ANA ATL.FELTRE,2 su- 1,Jesolo,2017-09-17,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,21.52,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,9 su- 1,Udine,2020-08-08,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,20.75,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,3 su- 1,Abano Terme,2020-07-31,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,18.8,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,9 su- 1,Mestre,2020-09-06,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,21.52,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,12 su- 1,Treviso,2021-04-18,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,18.31,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,14 su- 1,Verona,2021-09-12,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,18.27,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,7 su- 1,San Biagio Di Callalta,2021-05-01,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.42,DE RIZ Chiara,2005,AF,ANA ATL.FELTRE,12 su- 1,Cles,2021-09-26,https://www.fidal.it/atleta/DE-RIZ-Chiara/eKmRlJioaWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,23.97,PIOLO Carlotta,2006,AF,ANA ATL.FELTRE,9 su- 1,Caorle,2022-05-22,https://www.fidal.it/atleta/PIOLO-Carlotta/eKmRlJiiaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,23.7,PIOLO Carlotta,2006,AF,ANA ATL.FELTRE,17 su- 1,Verona,2022-05-08,https://www.fidal.it/atleta/PIOLO-Carlotta/eKmRlJiiaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,32.35,PIOLO Carlotta,2006,AF,ANA ATL.FELTRE,4 su- 1,Verona,2023-06-02,https://www.fidal.it/atleta/PIOLO-Carlotta/eKmRlJiiaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,29.94,PIOLO Carlotta,2006,AF,ANA ATL.FELTRE,6 se- 2,Borgo Valbelluna,2023-05-07,https://www.fidal.it/atleta/PIOLO-Carlotta/eKmRlJiiaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,23.23,MENEGAZZO Silvia,2007,AF,ANA ATL.FELTRE,12 su- 1,Verona,2023-06-02,https://www.fidal.it/atleta/MENEGAZZO-Silvia/eKmRlJeocGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,27.57,MENEGAZZO Silvia,2007,AF,ANA ATL.FELTRE,8 se- 2,Vittorio Veneto,2024-05-12,https://www.fidal.it/atleta/MENEGAZZO-Silvia/eKmRlJeocGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,25.15,MENEGAZZO Silvia,2007,AF,ANA ATL.FELTRE,12 su- 1,Mestre,2024-06-09,https://www.fidal.it/atleta/MENEGAZZO-Silvia/eKmRlJeocGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
