punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,21.31,RIVA Andrea,1992,CM,ANA ATL.FELTRE,1 se- 1,Longarone,2007-05-12,https://www.fidal.it/atleta/RIVA-Andrea/eKmRlJOgb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,17.44,RIVA Andrea,1992,CM,ANA ATL.FELTRE,21 su- 1,Verona,2007-06-03,https://www.fidal.it/atleta/RIVA-Andrea/eKmRlJOgb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,33.0,CANOVA Luca,1991,AM,ANA ATL.FELTRE,1 se- 1,Belluno,2007-08-29,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,32.92,CANOVA Luca,1991,AM,ANA ATL.FELTRE,8 su- 1,Vicenza,2007-05-12,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,30.27,CANOVA Luca,1991,AM,ANA ATL.FELTRE,12 su- 1,Vicenza,2007-09-16,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,17.78,PERCO Emilio,1994,CM,ANA ATL.FELTRE,15 su- 1,Majano,2008-09-06,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,14.9,PERCO Emilio,1994,CM,ANA ATL.FELTRE,21 su- 1,Verona,2008-06-02,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,42.11,CANOVA Luca,1991,AM,ANA ATL.FELTRE,1 su- 1,Rosa,2008-06-14,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,41.87,CANOVA Luca,1991,AM,ANA ATL.FELTRE,1 su- 1,Vittorio Veneto,2008-05-03,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,40.63,CANOVA Luca,1991,AM,ANA ATL.FELTRE,1 su- 1,Bovolone,2008-09-21,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,40.02,CANOVA Luca,1991,AM,ANA ATL.FELTRE,2 se- 1,Piombino Dese,2008-06-05,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
