COD,Società
"CO208","ATL. LECCO-COLOMBO COSTRUZ."
"CO294","G.S. VIRTUS CALCO"
"CO487","ASD ATLETICA 87"
"CO546","UNIONE SPORTIVA ALBATESE ASD"
"CO744","A.G. COMENSE S.S.D. A R.L."
"CO920","LIETO COLLE ASD"
"CO976","A.S.D. ATLETICA ANDROMEDA"
"CR041","CREMONA SPORTIVA ATL. ARVEDI"
"CR150","ASD INTERFLUMINA E' PIU' POMI'"
"CR810","ASD NUOVA VIRTUS CREMA"
"CS361","COSENZA K42"
"CT361","A.S.D. SCUOLA DI A.L. CATANIA"
"CT734","ASD ALTIS ATHLETICS"
"FC038","EDERA ATL. FORLI"
"FC049","ATL. ENDAS  CESENA"
"FC542","LIBERTAS ATLETICA FORLI'"
"FE025","ATL. BONDENO"
"FE026","C.U.S. FERRARA A.S.D."
"FE378","ATLETICA ESTENSE"
"FE596","A.S.D. ATLETICA COPPARO"
"FG202","U.S. FOGGIA ATL. LEGGERA"
"FG210","ASD US FOGGIA SCUOLA NAZ. ASTA"
"FI001","ASSI GIGLIO ROSSO FIRENZE"
"FI002","ATLETICA FIRENZE MARATHON S.S."
"FI005","ATL.SESTESE"
"FI007","TOSCANA ATL.EMPOLI NISSAN"
"FI009","PROSPORT ATL. FIRENZE"
"FI018","TOSCANA ATLETICA"
"FI023","ATL. FUCECCHIO"
"FI025","ATLETICA CALENZANO"
"FI029","ATLETICA CAMPI BISENZIO"
"FM003","SPORT ATL. FERMO"
"FM050","TEAM ATLETICA MARCHE"
"GE002","A.S.D.  C.U.S. GENOVA"
"GE012","ATLETICA LEVANTE"
"GE016","ATL. UNIVERSALE  DON BOSCO"
"GO047","ATLETICA MONFALCONE"
"GO050","ATLETICA GORIZIA"
"GR065","ATLETICA GROSSETO BANCA TEMA"
"IM029","ASD MAURINA OLIO CARLI"
"IM038","A.S. ATLETICA 2000 BORDIGHERA"
"IS010","ATLETICA ISERNIA"
"LE658","A.P.S. DUE MONDI"
"LI035","ATL.LIBERTAS UNICUSANO LIVORNO"
"LI036","ATLETICA LIVORNO"
"LI038","CENTRO ATLETICA PIOMBINO"
"LI332","C.G. ATLETICA COSTA ETRUSCA"
"LT275","NISSOLINO INTESATLETICA LATINA"
"LT302","SSD FORMIA ATL. LEGGERA A R.L."
"LU100","A.S. ATLETICA VIRTUS LUCCA"
"LU104","ATL.PIETRASANTA VERSILIA"
"MC004","ATL. AVIS MACERATA"
"MC007","GROTTINI TEAM RECANATI ASD"
"MC008","S.E.F. MACERATA"
"MC011","ATLETICA CIVITANOVA"
"MC042","A.S.D. ATLETICA AMA CIVITANOVA"
"ME112","ASD DUILIA BARCELLONA P.G."
"ME740","ATLETICA SAVOCA SSD A RL"
"MI008","ACCADEMIA MELEGNANO ATL ASD"
"MI065","ATL. CONCOREZZO"
"MI066","SCUOLA SPORTIVA ATL. PUNTO IT"
"MI068","ATHLETIC CLUB VILLASANTA"
"MI077","CUS PROPATRIA MILANO"
"MI080","ATL. RICCARDI MILANO 1946"
"MI087","5 CERCHI SEREGNO"
"MI089","PRO SESTO ATL. CERNUSCO"
"MI093","SEZ. ATL. ORATORIO CORNAREDO"
"MI158","ATL. GESSATE"
"MI160","S.O.I. INVERUNO"
"MI161","ATLETICA P.A.R. CANEGRATE"
"MI214","ATL. VIS NOVA GIUSSANO"
"MI218","N.ATL. FANFULLA LODIGIANA"
"MI221","BRACCO ATLETICA"
"MI242","ALA ATL. ABBIATEGRASSO"
"MI244","U.S. SANGIORGESE"
"MI265","ROAD RUNNERS CLUB MILANO"
"MI330","ASPES SSD RL"
"MI352","EUROATLETICA 2002"
"MI710","ASD ATLETICA MONZA"
"MI770","ATLETICA MENEGHINA"
"MI774","TEAM-A LOMBARDIA"
"MI798","MILANO ATLETICA"
"MI820","RICCARDI ACADEMY ASD"
"MI844","ATHLETIC ELITE TRACK AND FIELD"
"MI922","ATLETICA DESIO ASD"
"MN043","ASD LIB. MANTOVA MASCH-FEMM."
"MN406","ATL. RIGOLETTO"
"MO052","ASD LA FRATELLANZA 1874"
"MO057","S.G.LA PATRIA 1879 CARPI"
"MO060","POL. CASTELFRANCO EMILIA"
"MO497","MODENA ATLETICA  ASD"
"NA064","A.P.D. AMATORI ATLETICA NAPOLI"
"NA965","RUNNING CLUB NAPOLI"
"NO001","SOCIETA' ATLETICA BELLINZAGO"
"NO004","A.S.D. G.A.O. OLEGGIO"
"NO020","TEAM ATLETICO-MERCURIO NOVARA"
"PA001","A.S.D. C.U.S. PALERMO"
"PA749","ASD SICILIA RUNNING TEAM"
"PC084","ATL. PIACENZA"
"PC461","A.S.D. ATLETICA CINQUE CERCHI"
"PD131","G.S. FIAMME ORO PADOVA"
"PD137","C.A.S.A. ATLETICA"
"PD140","ASSINDUSTRIA SPORT"
"PD141","ATLETICA VIS ABANO"
"PD143","C.U.S. PADOVA"
"PD146","ATLETICA LIB. S.A.N.P."
"PD161","ATLETICA GALLIERA VENETA"
"PD197","CORPO LIBERO SSD ARL"
"PE001","ASD U.S. ATERNO PESCARA"
"PE175","PASSOLOGICO"
"PG018","ATL. ARCS CUS PERUGIA"
"PG070","ATLETICA WINNER FOLIGNO"
