punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,8.85,8.85,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,5 ba- 2,Padova,2013-02-09,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.89,8.89,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,3 fi- 1,Padova,2013-01-12,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.03,9.03,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,2 ba- 2,Padova,2013-01-12,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.63,8.63,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,1 fi- 1,Padova,2014-01-18,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.67,8.67,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,1 ba- 1,Padova,2014-01-18,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.73,8.73,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,6 ba- 4,Ancona,2014-02-09,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.55,8.55,e,DE PAOLI Federico,2002,JM,ANA ATL.FELTRE,5 ba- 2,Ancona,2021-02-07,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.64,8.64,e,DE PAOLI Federico,2002,JM,ANA ATL.FELTRE,1 se- 2,Padova,2021-01-31,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.41,8.41,e,ROLDO Demis,1985,SM35,ANA ATL.FELTRE,1 su- 1,Ancona,2024-02-24,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.51,8.51,e,ROLDO Demis,1985,SM35,ANA ATL.FELTRE,2 se- 1,Padova,2024-03-09,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.71,8.71,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,2 ba- 3,Padova,2024-01-14,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.72,8.72,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,5 fi- 1,Padova,2024-01-27,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.73,8.73,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,2 ba- 2,Padova,2024-01-27,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.74,8.74,e,ROLDO Demis,1985,SM35,ANA ATL.FELTRE,1 su- 1,Padova,2024-01-21,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.76,8.76,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,3 ba- 1,Udine,2024-01-20,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.78,8.78,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,7 fi- 1,Padova,2024-01-14,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.88,8.88,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,3 fi- 1,Udine,2024-01-20,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
