prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7370.0,,DESTER Dario,2000,JM,CREMONA SPORTIVA ATL. ARVEDI,1 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/DESTER-Dario/dqiSl5akbGs%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
7123.0,,MODUGNO Lorenzo,2000,JM,POLISPORTIVA TRIVENETO TRIESTE,1 su- 1,Friedberg,2019-06-30,https://www.fidal.it/atleta/MODUGNO-Lorenzo/eauRkpuha2g%3D,https://www.fidal.it/societa/POLISPORTIVA-TRIVENETO-TRIESTE/TS099
7029.0,,MODUGNO Lorenzo,2000,JM,POLISPORTIVA TRIVENETO TRIESTE,19 su- 1,Boras,2019-07-20,https://www.fidal.it/atleta/MODUGNO-Lorenzo/eauRkpuha2g%3D,https://www.fidal.it/societa/POLISPORTIVA-TRIVENETO-TRIESTE/TS099
7004.0,,MODUGNO Lorenzo,2000,JM,POLISPORTIVA TRIVENETO TRIESTE,2 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/MODUGNO-Lorenzo/eauRkpuha2g%3D,https://www.fidal.it/societa/POLISPORTIVA-TRIVENETO-TRIESTE/TS099
6804.0,,MODUGNO Lorenzo,2000,JM,POLISPORTIVA TRIVENETO TRIESTE,1 su- 1,Bovolone,2019-04-27,https://www.fidal.it/atleta/MODUGNO-Lorenzo/eauRkpuha2g%3D,https://www.fidal.it/societa/POLISPORTIVA-TRIVENETO-TRIESTE/TS099
6351.0,,ARRIUS Alessandro,2001,JM,ATL. O.S.A. SARONNO LIB.,2 su- 1,Saronno,2019-04-28,https://www.fidal.it/atleta/ARRIUS-Alessandro/drKRkpiib2M%3D,https://www.fidal.it/societa/ATL--O-S-A--SARONNO-LIB-/VA119
6261.0,,ARRIUS Alessandro,2001,JM,ATL. O.S.A. SARONNO LIB.,3 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/ARRIUS-Alessandro/drKRkpiib2M%3D,https://www.fidal.it/societa/ATL--O-S-A--SARONNO-LIB-/VA119
6167.0,,CANDIOTTO Lorenzo,2000,JM,G.S. FIAMME ORO PADOVA,4 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/CANDIOTTO-Lorenzo/eKqRkpafbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
6149.0,,RONZONI Simone,2000,JM,U.S. OLIMPIA BERGAMO,5 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/RONZONI-Simone/dqmRl5mla2w%3D,https://www.fidal.it/societa/U-S--OLIMPIA-BERGAMO/BG138
6025.0,,CONTOTTO Niccolo',2001,JM,TEAM-A LOMBARDIA,6 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/CONTOTTO-Niccolo-/dq2RlJaobGY%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5916.0,,VAGO Andrea,2001,JM,TEAM-A LOMBARDIA,3 su- 1,Saronno,2019-04-28,https://www.fidal.it/atleta/VAGO-Andrea/dq2RlZeicGw%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5867.0,,GENNAI Leonardo tobias,2001,JM,CUS PISA,7 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/GENNAI-Leonardo-tobias/famRkpKoaGk%3D,https://www.fidal.it/societa/CUS-PISA/PI071
5858.0,,LAVINO Riccardo,2000,JM,ATLETICA BARBAS,1 su- 1,Sulmona,2019-10-19,https://www.fidal.it/atleta/LAVINO-Riccardo/hquRkpKibWM%3D,https://www.fidal.it/societa/ATLETICA-BARBAS/RC366
5845.0,,SANTAMBROGIO Mirko,2001,JM,TEAM-A LOMBARDIA,1 su- 1,Alessandria,2019-07-07,https://www.fidal.it/atleta/SANTAMBROGIO-Mirko/dq2RlJmlaWc%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5765.0,,AMICI Francesco,2001,JM,LIBERTAS ATLETICA FORLI',1 su- 1,Modena,2019-04-28,https://www.fidal.it/atleta/AMICI-Francesco/eqiRlpika2U%3D,https://www.fidal.it/societa/LIBERTAS-ATLETICA-FORLI-/FC542
5721.0,,SANTAMBROGIO Mirko,2001,JM,TEAM-A LOMBARDIA,8 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/SANTAMBROGIO-Mirko/dq2RlJmlaWc%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5686.0,,VAGO Andrea,2001,JM,TEAM-A LOMBARDIA,9 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/VAGO-Andrea/dq2RlZeicGw%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5606.0,,VAGO Andrea,2001,JM,TEAM-A LOMBARDIA,2 su- 1,Alessandria,2019-07-07,https://www.fidal.it/atleta/VAGO-Andrea/dq2RlZeicGw%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5605.0,,CORTINOVIS Daniele,2001,JM,ATL. BERGAMO 1959 ORIOCENTER,1 su- 1,Lana,2019-09-22,https://www.fidal.it/atleta/CORTINOVIS-Daniele/dqmRl5uoamg%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003
5579.0,,GROPPI Giovanni,2000,JM,FONDAZIONE M. BENTEGODI,10 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/GROPPI-Giovanni/eKAAARkpqnb2o%3D,https://www.fidal.it/societa/FONDAZIONE-M--BENTEGODI/VR784
5479.0,,CONTE Francesco,2001,JM,ATL.AM. CISTERNINO ECOLSERVIZI,1 su- 1,Matera,2019-05-18,https://www.fidal.it/atleta/CONTE-Francesco/hK2RkpOlbmw%3D,https://www.fidal.it/societa/ATL-AM--CISTERNINO-ECOLSERVIZI/BR104
5455.0,,CORTINOVIS Daniele,2001,JM,ATL. BERGAMO 1959 ORIOCENTER,4 su- 1,Saronno,2019-04-28,https://www.fidal.it/atleta/CORTINOVIS-Daniele/dqmRl5uoamg%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003
5440.0,,NICOLA Gabriele,2000,JM,G.S. ERMENEGILDO ZEGNA,11 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/NICOLA-Gabriele/dKAAARk5qnaGw%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
5409.0,,LAVINO Riccardo,2000,JM,ATLETICA BARBAS,12 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/LAVINO-Riccardo/hquRkpKibWM%3D,https://www.fidal.it/societa/ATLETICA-BARBAS/RC366
5407.0,,MASSIDDA Alberto,2001,JM,DINAMICA SARDEGNA,13 se- 1,Mantova,2019-05-26,https://www.fidal.it/atleta/MASSIDDA-Alberto/iKiSmZulbGQ%3D,https://www.fidal.it/societa/DINAMICA-SARDEGNA/OR225
5403.0,,SIGNORINI Marzio,2000,JM,ATLETICA LIVORNO,1 se- 1,Firenze,2019-04-28,https://www.fidal.it/atleta/SIGNORINI-Marzio/fayRkpSoaGQ%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
5399.0,,GIOMMARINI Edoardo,2001,JM,TEAM ATLETICA MARCHE,1 su- 1,San Benedetto Del Tronto,2019-04-28,https://www.fidal.it/atleta/GIOMMARINI-Edoardo/e6qRkpSgamM%3D,https://www.fidal.it/societa/TEAM-ATLETICA-MARCHE/FM050
5393.0,,ROCCO Mattia,2001,JM,ATLETICA CASTELL'ALFERO T.F.R.,1 se- 1,Asti,2019-04-28,https://www.fidal.it/atleta/ROCCO-Mattia/dKuRk5inaGU%3D,https://www.fidal.it/societa/ATLETICA-CASTELL-ALFERO-T-F-R-/AT012
5381.0,,SANTAMBROGIO Mirko,2001,JM,TEAM-A LOMBARDIA,5 su- 1,Saronno,2019-04-28,https://www.fidal.it/atleta/SANTAMBROGIO-Mirko/dq2RlJmlaWc%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5374.0,,DOLCI Stefano,2000,JM,FONDAZIONE M. BENTEGODI,2 su- 1,Bovolone,2019-04-27,https://www.fidal.it/atleta/DOLCI-Stefano/eKAAARk5agbmc%3D,https://www.fidal.it/societa/FONDAZIONE-M--BENTEGODI/VR784
