prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4556.0,,BRUZZONE Alberto,1971,SM,G.A. TERME G. CASTELLO,8 fi- 1,Rieti,2005-04-30,https://www.fidal.it/atleta/BRUZZONE-Alberto/f6iRlpmfamM%3D,https://www.fidal.it/societa/G-A--TERME-G--CASTELLO/RM019
4556.0,,DE TOFFOL Alessandro,1983,PM,GINN.MONZESE FORTI E LIBERI,12 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/DE-TOFFOL-Alessandro/dq2Rkpifa2o%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
4528.0,,BERTONI Gianluca,1975,SM,S.G. GALLARATESE,13 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/BERTONI-Gianluca/dqiRlpKha2w%3D,https://www.fidal.it/societa/S-G--GALLARATESE/VA126
4517.0,,BENNATI Danny,1970,SM35,G.A. TERME G. CASTELLO,19 su- 1,Formia,2005-06-19,https://www.fidal.it/atleta/BENNATI-Danny/f6iRkpKjbms%3D,https://www.fidal.it/societa/G-A--TERME-G--CASTELLO/RM019
4473.0,,BILLO Riccardo,1973,SM,CENTRO ATLETICA COPPARO,6 su- 1,Forli,2005-05-01,https://www.fidal.it/atleta/BILLO-Riccardo/eqiRlZihcWk%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-COPPARO/FE028
4472.0,,DE LUCA Riccardo,1980,SM,CENTRO ATLETICA COPPARO,7 su- 1,Forli,2005-05-01,https://www.fidal.it/atleta/DE-LUCA-Riccardo/eqiRk5ukbGc%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-COPPARO/FE028
4450.0,,BENAGLIA Alessandro,1986,JM,C.U.S. PAVIA,14 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/BENAGLIA-Alessandro/dqAAARlpikcGU%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
4418.0,,APICELLA Salvatore,1986,JM,ARCA ATL. AVERSA AGRO AVERSANO,5 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/APICELLA-Salvatore/gKiRlZOkbGc%3D,https://www.fidal.it/societa/ARCA-ATL--AVERSA-AGRO-AVERSANO/CE033
4379.0,,BRUZZONE Alberto,1971,SM,G.A. TERME G. CASTELLO,41 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/BRUZZONE-Alberto/f6iRlpmfamM%3D,https://www.fidal.it/societa/G-A--TERME-G--CASTELLO/RM019
4373.0,,GIORGIONE Aldo,1986,JM,LIB. POL. AMAT. ATL. BN,6 fi- 1,Salerno,2005-04-25,https://www.fidal.it/atleta/GIORGIONE-Aldo/gKiRlJanbmQ%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
4370.0,,FIORENTINI Piero,1974,SM,EDERA ATL. FORLI,8 su- 1,Forli,2005-05-01,https://www.fidal.it/atleta/FIORENTINI-Piero/eqiRlZiob2U%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
4352.0,,CECCHINI Filippo,1973,SM,ATL. AVIS FANO,2 su- 1,Macerata,2005-05-01,https://www.fidal.it/atleta/CECCHINI-Filippo/e6iRkpahbWg%3D,https://www.fidal.it/societa/ATL--AVIS-FANO/PU001
4309.0,,DE CANDIA Daniele,1986,JM,ATL. ADEN  ABACO MOLFETTA,3 su- 1,Matera,2005-04-17,https://www.fidal.it/atleta/DE-CANDIA-Daniele/hKiSmZajbWo%3D,https://www.fidal.it/societa/ATL--ADEN-ABACO-MOLFETTA/BA091
4308.0,,COGHI Edoardo,1977,SM,ATLETICA CANAVESANA,7 su- 1,Torino,2005-05-01,https://www.fidal.it/atleta/COGHI-Edoardo/dKiRkpWga2o%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
4306.0,,BERETTA Federico,1974,SM,PRO PATRIA MILANO,28 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/BERETTA-Federico/dqiRkpilaGY%3D,https://www.fidal.it/societa/PRO-PATRIA-MILANO/MI077
4295.0,,DI FILIPPO Ruben,1986,JM,ATLETICA UDINESE MALIGNANI,3 su- 1,Udine,2005-10-15,https://www.fidal.it/atleta/DI-FILIPPO-Ruben/eayRk5KfaGk%3D,https://www.fidal.it/societa/ATLETICA-UDINESE-MALIGNANI/UD030
4284.0,,LAURETI Paolo,1984,PM,ATLETICA VERCELLI 78,5 su- 1,Vercelli,2005-10-23,https://www.fidal.it/atleta/LAURETI-Paolo/dKAAARk5ela2g%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
4266.0,,BERTOTTI Tommaso,1985,PM,ATLETICA CANAVESANA,6 su- 1,Vercelli,2005-10-23,https://www.fidal.it/atleta/BERTOTTI-Tommaso/dK6RkpqobWw%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
4263.0,,BERTOTTI Tommaso,1985,PM,ATLETICA CANAVESANA,8 su- 1,Torino,2005-05-01,https://www.fidal.it/atleta/BERTOTTI-Tommaso/dK6RkpqobWw%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
4247.0,,BERETTA Federico,1974,SM,PRO PATRIA MILANO,15 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/BERETTA-Federico/dqiRkpilaGY%3D,https://www.fidal.it/societa/PRO-PATRIA-MILANO/MI077
4235.0,,GRASSELLINO Francesco,1986,JM,A.S.D. UNIONE S. ACLI MARSALA,6 su- 1,Trapani,2005-08-11,https://www.fidal.it/atleta/GRASSELLINO-Francesco/h6iRlJmmaWY%3D,https://www.fidal.it/societa/A-S-D--UNIONE-S--ACLI-MARSALA/TP143
4231.0,,MONTI Valerio,1986,JM,EDERA ATL. FORLI,9 su- 1,Forli,2005-05-01,https://www.fidal.it/atleta/MONTI-Valerio/eqiRlJuobGo%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
4197.0,,LAURETI Paolo,1984,PM,ATLETICA VERCELLI 78,42 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/LAURETI-Paolo/dKAAARk5ela2g%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
4178.0,,SCHWARZ Luca,1984,PM,PROSPORT ATL. FIRENZE,43 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/SCHWARZ-Luca/faiRk5amaGU%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4123.0,,BARONI Andrea,1986,JM,PRO SESTO ATL.,16 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/BARONI-Andrea/dq2RkpqlamU%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
4117.0,,MECATTI Alessandro,1983,PM,PROSPORT ATL. FIRENZE,44 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/MECATTI-Alessandro/faiRk5uha2Q%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4097.0,,SCARANTINO Luca,1973,SM,UNIVERSALE ALBA DOCILIA,8 su- 1,Torino,2005-07-02,https://www.fidal.it/atleta/SCARANTINO-Luca/daiRkpKjaGg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
4078.0,,GUERRA Carlo,1986,JM,ATLETICA CANAVESANA,9 su- 1,Torino,2005-05-01,https://www.fidal.it/atleta/GUERRA-Carlo/dK6RlJeocWc%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
4076.0,,MADDALENA Emiliano,1987,JM,ATL. STUDENTESCA CA.RI.RI,9 fi- 1,Rieti,2005-04-30,https://www.fidal.it/atleta/MADDALENA-Emiliano/f6iRl5imcWs%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
3995.0,,LAURETI Paolo,1984,PM,ATLETICA VERCELLI 78,10 su- 1,Torino,2005-05-01,https://www.fidal.it/atleta/LAURETI-Paolo/dKAAARk5ela2g%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
3953.0,,ZAMBIANCHI Giacomo,1985,PM,C.U.S. PAVIA,17 su- 1,Milano,2005-05-01,https://www.fidal.it/atleta/ZAMBIANCHI-Giacomo/dqiRlZKfaWw%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
3944.0,,DENTE Domenico,1986,JM,POL. ROCCO SCOTELLARO MT,4 su- 1,Matera,2005-04-17,https://www.fidal.it/atleta/DENTE-Domenico/haiRkpuoaWQ%3D,https://www.fidal.it/societa/POL--ROCCO-SCOTELLARO-MT/MT023
3925.0,,LAURETI Paolo,1984,PM,ATLETICA VERCELLI 78,29 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/LAURETI-Paolo/dKAAARk5ela2g%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
