prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1809.0,,NICOLINI Maria,1998,AF,BRACCO ATLETICA,22 su- 1,Busto Arsizio,2015-04-26,https://www.fidal.it/atleta/NICOLINI-Maria/dq2RlpOja2U%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
1797.0,,PALITTA Francesca,1999,AF,SHARDANA ASSOCIAZIONE SPORTIVA,3 su- 1,Sassari,2015-04-26,https://www.fidal.it/atleta/PALITTA-Francesca/iKyRkpOhaGk%3D,https://www.fidal.it/societa/SHARDANA-ASSOCIAZIONE-SPORTIVA/SS228
1731.0,,PECORA Alice,1999,AF,A.D. POL ODYSSEUS MESSINA,3 su- 1,Palermo,2015-04-24,https://www.fidal.it/atleta/PECORA-Alice/h62RkpKfamQ%3D,https://www.fidal.it/societa/A-D--POL-ODYSSEUS-MESSINA/ME540
1687.0,,FIORILLO Federica,1998,AF,A.P.D. PARTENOPE ATL. LEGG.,12 fi- 1,Napoli,2015-04-25,https://www.fidal.it/atleta/FIORILLO-Federica/gKiRlZekaWM%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
1632.0,,SULLUTRONE Svieta,1998,AF,IDEATLETICA AURORA,6 fi- 1,Salerno,2015-07-19,https://www.fidal.it/atleta/SULLUTRONE-Svieta/gK2RkpWfb2s%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
1292.0,,VICEDOMINI Stefania,1999,AF,IDEATLETICA AURORA,13 fi- 1,Napoli,2015-04-25,https://www.fidal.it/atleta/VICEDOMINI-Stefania/gK2RkpSka2k%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
4929.0,,GOLLIN Gloria,1999,AF,ATL.VICENTINA,1 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/GOLLIN-Gloria/eK6RkpSjaGM%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4878.0,,GOLLIN Gloria,1999,AF,ATL.VICENTINA,1 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/GOLLIN-Gloria/eK6RkpSjaGM%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4857.0,,BOASSO Alice,1999,AF,A.S.D. ATL. FOSSANO '75,2 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/BOASSO-Alice/dKyRk5uicWU%3D,https://www.fidal.it/societa/A-S-D--ATL--FOSSANO-75/CN001
4808.0,,MONTAGNA Sofia,1999,AF,ATLETICA VIGEVANO,1 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/MONTAGNA-Sofia/dqAAARl5KhbGY%3D,https://www.fidal.it/societa/ATLETICA-VIGEVANO/PV410
4721.0,,BRANDSTETTER Angela,1999,AF,ATL.VICENTINA,2 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/BRANDSTETTER-Angela/eK6RkpWkcWY%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4708.0,,BRANDSTETTER Angela,1999,AF,ATL.VICENTINA,3 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/BRANDSTETTER-Angela/eK6RkpWkcWY%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4666.0,,GENNARI Rebecca,1999,AF,N. ATL. VARESE,4 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/GENNARI-Rebecca/drKRkpema2Y%3D,https://www.fidal.it/societa/N--ATL--VARESE/VA130
4640.0,,BOASSO Alice,1999,AF,A.S.D. ATL. FOSSANO '75,1 su- 1,Santhia,2016-04-24,https://www.fidal.it/atleta/BOASSO-Alice/dKyRk5uicWU%3D,https://www.fidal.it/societa/A-S-D--ATL--FOSSANO-75/CN001
4614.0,,GOLLIN Gloria,1999,AF,ATL.VICENTINA,1 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/GOLLIN-Gloria/eK6RkpSjaGM%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4577.0,,MAZZOLA Martina,1999,AF,ATL.CSAIN PERUGIA,5 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/MAZZOLA-Martina/fqiRk5qlbWQ%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
4531.0,,STERNI Meta,2000,AF,SPORTNO ZDRUZENJE BOR ASSOCI,6 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/STERNI-Meta/eauRk5Oia2Q%3D,https://www.fidal.it/societa/SPORTNO-ZDRUZENJE-BOR-ASSOCI/TS006
4450.0,,MAZZOLA Martina,1999,AF,ATL.CSAIN PERUGIA,1 su- 1,Osimo,2016-04-24,https://www.fidal.it/atleta/MAZZOLA-Martina/fqiRk5qlbWQ%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
4402.0,,AVOLEDO Fabiola,2000,AF,LIBERTAS CASARSA,1 se- 1,Asti,2016-07-17,https://www.fidal.it/atleta/AVOLEDO-Fabiola/eaqRkpuhcWc%3D,https://www.fidal.it/societa/LIBERTAS-CASARSA/PN025
4397.0,,BRANDSTETTER Angela,1999,AF,ATL.VICENTINA,2 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/BRANDSTETTER-Angela/eK6RkpWkcWY%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4397.0,,GOLLIN Gloria,1999,AF,ATL.VICENTINA,28 su- 1,Tbilisi,2016-07-15,https://www.fidal.it/atleta/GOLLIN-Gloria/eK6RkpSjaGM%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4281.0,,AVOLEDO Fabiola,2000,AF,LIBERTAS CASARSA,7 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/AVOLEDO-Fabiola/eaqRkpuhcWc%3D,https://www.fidal.it/societa/LIBERTAS-CASARSA/PN025
4250.0,,CROCE Pamela,1999,AF,U.S. QUERCIA TRENTINGRANA,8 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/CROCE-Pamela/d6iRk5ioaWg%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
4215.0,,GALLOTTI Anna,2000,AF,N.ATL. FANFULLA LODIGIANA,9 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/GALLOTTI-Anna/dq2RlpWkbWc%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
4197.0,,DE MARCO Carlotta,2000,AF,CENTRO ATLETICA PIOMBINO,1 su- 1,Piacenza,2016-04-17,https://www.fidal.it/atleta/DE-MARCO-Carlotta/fayRkpKfaGg%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-PIOMBINO/LI038
4159.0,,STERNI Meta,2000,AF,SPORTNO ZDRUZENJE BOR ASSOCI,3 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/STERNI-Meta/eauRk5Oia2Q%3D,https://www.fidal.it/societa/SPORTNO-ZDRUZENJE-BOR-ASSOCI/TS006
4159.0,,CASAROTTI Beatrice,2000,AF,FONDAZIONE M. BENTEGODI,10 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/CASAROTTI-Beatrice/eKAAARk5SfaGc%3D,https://www.fidal.it/societa/FONDAZIONE-M--BENTEGODI/VR784
4152.0,,GALLOTTI Anna,2000,AF,N.ATL. FANFULLA LODIGIANA,2 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/GALLOTTI-Anna/dq2RlpWkbWc%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
4120.0,,LAZZERI Arianna,1999,AF,ATL LIBERTAS RUNNERS LIVORNO,11 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/LAZZERI-Arianna/faiSkpWjbWs%3D,https://www.fidal.it/societa/ATL-LIBERTAS-RUNNERS-LIVORNO/LI035
4116.0,,FRANCO Aminata',2000,AF,A.S.D. TEAM TREVISO,12 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/FRANCO-Aminata-/eKyRkpqjcGw%3D,https://www.fidal.it/societa/A-S-D--TEAM-TREVISO/TV398
4102.0,,CALA Teuta,2000,AF,ATL.STUD. RIETI ANDREA MILARDI,13 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/CALA-Teuta/f6uRkpKmb2Y%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223
4097.0,,TONIUTTO Anna,1999,AF,A.S.D. TEAM TREVISO,14 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/TONIUTTO-Anna/eKyRkpioaGM%3D,https://www.fidal.it/societa/A-S-D--TEAM-TREVISO/TV398
4019.0,,GALLOTTI Anna,2000,AF,N.ATL. FANFULLA LODIGIANA,3 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/GALLOTTI-Anna/dq2RlpWkbWc%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
3999.0,,GENNARI Rebecca,1999,AF,N. ATL. VARESE,3 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/GENNARI-Rebecca/drKRkpema2Y%3D,https://www.fidal.it/societa/N--ATL--VARESE/VA130
3992.0,,CASTELLANI Francesca,1999,AF,ATL.CSAIN PERUGIA,2 su- 1,Osimo,2016-04-24,https://www.fidal.it/atleta/CASTELLANI-Francesca/fqmRkpOfbmg%3D,https://www.fidal.it/societa/ATL-CSAIN-PERUGIA/PG020
3970.0,,MENGHI Caterina,1999,AF,ATL. LUGO,4 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/MENGHI-Caterina/erORkpKncWw%3D,https://www.fidal.it/societa/ATL--LUGO/RA093
3956.0,,BOSCARO Linda,2000,AF,ATLETICA RIVIERA DEL BRENTA,15 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/BOSCARO-Linda/eK2RkpWnaGo%3D,https://www.fidal.it/societa/ATLETICA-RIVIERA-DEL-BRENTA/VE473
3933.0,,MORARA Marta,1999,AF,ATL. LUGO,5 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/MORARA-Marta/eqmRkpOgamw%3D,https://www.fidal.it/societa/ATL--LUGO/RA093
3923.0,,CASAROTTI Beatrice,2000,AF,FONDAZIONE M. BENTEGODI,2 su- 1,Piacenza,2016-04-17,https://www.fidal.it/atleta/CASAROTTI-Beatrice/eKAAARk5SfaGc%3D,https://www.fidal.it/societa/FONDAZIONE-M--BENTEGODI/VR784
3922.0,,DE MARCO Carlotta,2000,AF,CENTRO ATLETICA PIOMBINO,16 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/DE-MARCO-Carlotta/fayRkpKfaGg%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-PIOMBINO/LI038
3913.0,,MENZ Anna,2000,AF,SPORTCLUB MERANO,17 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/MENZ-Anna/iaiRk5KobGU%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
3902.0,,CERVARO Anna,1999,AF,CORPOLIBERO ATHLETICS TEAM,18 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/CERVARO-Anna/eKqRkpajaGk%3D,https://www.fidal.it/societa/CORPOLIBERO-ATHLETICS-TEAM/PD197
3896.0,,SPINELLI Gerardina,2000,AF,A.S.D. ASTRO 2000 BN-AGROPOLI,1 fi- 1,Salerno,2016-04-24,https://www.fidal.it/atleta/SPINELLI-Gerardina/gK2RkpKhaWk%3D,https://www.fidal.it/societa/A-S-D--ASTRO-2000-BN-AGROPOLI/BN286
3888.0,,ACQUADRO PACERA Giulia,1999,AF,UNIONE GIOVANE BIELLA,19 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/ACQUADRO-PACERA-Giulia/dKAAARlJOmaWo%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
3884.0,,FRANCO Aminata',2000,AF,A.S.D. TEAM TREVISO,4 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/FRANCO-Aminata-/eKyRkpqjcGw%3D,https://www.fidal.it/societa/A-S-D--TEAM-TREVISO/TV398
3884.0,,MORARA Marta,1999,AF,ATL. LUGO,20 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/MORARA-Marta/eqmRkpOgamw%3D,https://www.fidal.it/societa/ATL--LUGO/RA093
3883.0,,GARAVAGLIA Donatella,1999,AF,CUS PRO PATRIA MILANO,21 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/GARAVAGLIA-Donatella/dq2RlpSobGY%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077
3876.0,,DELL'ORTO Martina,2000,AF,TEAM-A LOMBARDIA,22 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/DELL-ORTO-Martina/dq2RlJWmb2g%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
3869.0,,BIONDI Margherita,1999,AF,BRIXIA ATLETICA 2014 A.S.D.,4 su- 1,Busto Arsizio,2016-04-24,https://www.fidal.it/atleta/BIONDI-Margherita/dqqRl5akamQ%3D,https://www.fidal.it/societa/BRIXIA-ATLETICA-2014-A-S-D-/BS786
3865.0,,TONIUTTO Anna,1999,AF,A.S.D. TEAM TREVISO,5 su- 1,Gorizia,2016-04-24,https://www.fidal.it/atleta/TONIUTTO-Anna/eKyRkpioaGM%3D,https://www.fidal.it/societa/A-S-D--TEAM-TREVISO/TV398
3846.0,,PIAZZI Giulia,2000,AF,N.ATL. FANFULLA LODIGIANA,23 su- 1,Lana,2016-05-29,https://www.fidal.it/atleta/PIAZZI-Giulia/dq2RlZuncWY%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
3842.0,,BOSCARO Linda,2000,AF,ATLETICA RIVIERA DEL BRENTA,6 su- 1,Vicenza,2016-09-10,https://www.fidal.it/atleta/BOSCARO-Linda/eK2RkpWnaGo%3D,https://www.fidal.it/societa/ATLETICA-RIVIERA-DEL-BRENTA/VE473
