prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
9:02.01,CIALLELLA Stefano,1974,SM,G.S. FIAMME AZZURRE,2 su- 1,Roma,2006-06-17,https://www.fidal.it/atleta/CIALLELLA-Stefano/g6iRkpKgaWM%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
9:01.80,LANZINER Peter,1982,SM,U.S. QUERCIA ROVERETO,4 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/LANZINER-Peter/iaiRkpSgb2c%3D,https://www.fidal.it/societa/U-S--QUERCIA-ROVERETO/TN109
9:01.62,CORSINI Emanuele,1984,PM,C.S. ESERCITO,3 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/CORSINI-Emanuele/dqiRlZuka2c%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
9:01.33,LICCIARDI Devis,1986,PM,ATL.  G.S. MIOTTI ARCISATE,2 su- 1,Rietii,2006-09-06,https://www.fidal.it/atleta/LICCIARDI-Devis/drKRkpKkb2M%3D,https://www.fidal.it/societa/ATL--G-S--MIOTTI-ARCISATE/VA394
9:00.74,NATALI Paolo,1980,SM,ATL.ASICS FIRENZE MARATHON,3 su- 1,Ponzano Veneto,2006-06-30,https://www.fidal.it/atleta/NATALI-Paolo/eqiRk5Wmb2g%3D,https://www.fidal.it/societa/ATL-ASICS-FIRENZE-MARATHON/FI002
8:59.03,DI PARDO Luciano,1975,SM,G.A. FIAMME GIALLE,2 su- 1,Ponzano Veneto,2006-06-30,https://www.fidal.it/atleta/DI-PARDO-Luciano/g6iRkpKhaWM%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
8:58.23,CORSINI Emanuele,1984,PM,C.S. ESERCITO,1 su- 1,Roma,2006-06-17,https://www.fidal.it/atleta/CORSINI-Emanuele/dqiRlZuka2c%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
8:57.78,CORSINI Emanuele,1984,PM,GINN.MONZESE FORTI E LIBERI,4 su- 1,Firenze,2006-06-04,https://www.fidal.it/atleta/CORSINI-Emanuele/dqiRlZuka2c%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
8:57.72,CIALLELLA Stefano,1974,SM,G.S. FIAMME AZZURRE,2 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/CIALLELLA-Stefano/g6iRkpKgaWM%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
8:57.7,ROTONDO Nicolo',1978,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Chiavenna,2006-09-07,https://www.fidal.it/atleta/ROTONDO-Nicolo-/hKiRkpOlb2U%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
8:54.85,FLORIANI Yuri,1981,SM,G.A. FIAMME GIALLE,9 su- 1,Malaga,2006-06-29,https://www.fidal.it/atleta/FLORIANI-Yuri/d6iRkpSjbmU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
8:51.69,IANNELLI Angelo,1976,SM,G.S. FIAMME AZZURRE,2 su- 1,Pergine,2006-09-23,https://www.fidal.it/atleta/IANNELLI-Angelo/gKiRkpSnb2s%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
8:51.53,VILLANI Matteo,1982,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Modena,2006-05-20,https://www.fidal.it/atleta/VILLANI-Matteo/eqiRk5ijcWQ%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
8:50.67,CORSINI Emanuele,1984,PM,GINN.MONZESE FORTI E LIBERI,3 se- 1,Saronno,2006-05-20,https://www.fidal.it/atleta/CORSINI-Emanuele/dqiRlZuka2c%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
8:50.11,SALAMI Najibe marco,1985,PM,LIB.MANTOVA M.LE,2 se- 1,Saronno,2006-05-20,https://www.fidal.it/atleta/SALAMI-Najibe-marco/dqiRlpikcGs%3D,https://www.fidal.it/societa/LIB-MANTOVA-M-LE/MN043
8:48.75,IANNELLI Angelo,1976,SM,G.S. FIAMME AZZURRE,1 su- 1,Torino,2006-07-08,https://www.fidal.it/atleta/IANNELLI-Angelo/gKiRkpSnb2s%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
8:47.92,CANNATA Lorenzo,1980,SM,C.S. AERONAUTICA MILITARE,6 su- 1,Busto Arsizio,2006-09-23,https://www.fidal.it/atleta/CANNATA-Lorenzo/h6iRk5uibmo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
8:47.58,IANNELLI Angelo,1976,SM,G.S. FIAMME AZZURRE,1 su- 1,Rietii,2006-09-06,https://www.fidal.it/atleta/IANNELLI-Angelo/gKiRkpSnb2s%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
