prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
5385.0,,PALUMBO Federica,1995,PF,U.S. SANGIORGESE,1 su- 1,Torino,2015-07-25,https://www.fidal.it/atleta/PALUMBO-Federica/dq2Rk5SfcWk%3D,https://www.fidal.it/societa/U-S--SANGIORGESE/MI244
5348.0,,OBERTO Laura,1993,PF,BRACCO ATLETICA,1 su- 1,Lana,2015-05-31,https://www.fidal.it/atleta/OBERTO-Laura/dK6RlJqjaWk%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
5279.0,,PALUMBO Federica,1995,PF,U.S. SANGIORGESE,11 su- 1,Inowroclaw,2015-07-05,https://www.fidal.it/atleta/PALUMBO-Federica/dq2Rk5SfcWk%3D,https://www.fidal.it/societa/U-S--SANGIORGESE/MI244
5192.0,,PALUMBO Federica,1995,PF,U.S. SANGIORGESE,2 su- 1,Lana,2015-05-31,https://www.fidal.it/atleta/PALUMBO-Federica/dq2Rk5SfcWk%3D,https://www.fidal.it/societa/U-S--SANGIORGESE/MI244
5189.0,,QUAGLIERI Lucia,1996,JF,MODENA ATLETICA,16 su- 1,Eskilstuna,2015-07-17,https://www.fidal.it/atleta/QUAGLIERI-Lucia/eqiRlpKfbmg%3D,https://www.fidal.it/societa/MODENA-ATLETICA/MO497
5188.0,,QUAGLIERI Lucia,1996,JF,MODENA ATLETICA,1 su- 1,Lana,2015-05-31,https://www.fidal.it/atleta/QUAGLIERI-Lucia/eqiRlpKfbmg%3D,https://www.fidal.it/societa/MODENA-ATLETICA/MO497
5178.0,,OBERTO Laura,1993,PF,BRACCO ATLETICA,13 su- 1,Inowroclaw,2015-07-05,https://www.fidal.it/atleta/OBERTO-Laura/dK6RlJqjaWk%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
5144.0,,BIANCHI BAZZI Sara,1991,SF,ATL. LECCO-COLOMBO COSTRUZ.,15 su- 1,Inowroclaw,2015-07-05,https://www.fidal.it/atleta/BIANCHI-BAZZI-Sara/dquRkpWkbGY%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
5109.0,,PALUMBO Federica,1995,PF,U.S. SANGIORGESE,1 su- 1,Busto Arsizio,2015-04-26,https://www.fidal.it/atleta/PALUMBO-Federica/dq2Rk5SfcWk%3D,https://www.fidal.it/societa/U-S--SANGIORGESE/MI244
4985.0,,BIANCHI BAZZI Sara,1991,SF,ATL. LECCO-COLOMBO COSTRUZ.,2 su- 1,Torino,2015-07-25,https://www.fidal.it/atleta/BIANCHI-BAZZI-Sara/dquRkpWkbGY%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
4962.0,,AGOSTINI Mariaelena,1997,JF,ATLETICA LIBERTAS S.A.N.P.,2 su- 1,Lana,2015-05-31,https://www.fidal.it/atleta/AGOSTINI-Mariaelena/eKqRkpOlbWo%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-S-A-N-P-/PD146
