punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
800,589.36,9:49.36,e,POLESANA Federico,1994,SM,ANA ATL.FELTRE,5 su- 1,Arzignano,2017-09-24,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
789,592.37,9:52.37,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,12 su- 1,Milano,2014-05-23,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
782,594.15,9:54.15,e,POLESANA Federico,1994,JM,ANA ATL.FELTRE,3 su- 1,Bassano Del Grappa,2012-09-15,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
778,595.43,9:55.43,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,6 su- 1,Vicenza,2014-05-10,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
775,596.17,9:56.17,e,POLESANA Federico,1994,JM,ANA ATL.FELTRE,6 su- 1,Marcon,2013-05-11,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
774,596.32,9:56.32,e,POLESANA Federico,1994,JM,ANA ATL.FELTRE,13 su- 1,Caprino Veronese,2013-06-08,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
764,599.17,9:59.17,e,POLESANA Federico,1994,JM,ANA ATL.FELTRE,15 su- 1,Rieti,2013-06-14,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
616,642.0,10:42.00,e,RUBIN Mauro,1973,SM35,ANA ATL.FELTRE,15 su- 1,Vicenza,2012-05-19,https://www.fidal.it/atleta/RUBIN-Mauro/eKmRlJKlcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
584,652.14,10:52.14,e,RUBIN Mauro,1973,SM35,ANA ATL.FELTRE,18 su- 1,Marcon,2011-05-14,https://www.fidal.it/atleta/RUBIN-Mauro/eKmRlJKlcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
538,666.81,11:06.81,e,ROSSI Mattia,1993,JM,ANA ATL.FELTRE,19 su- 1,Marcon,2011-05-14,https://www.fidal.it/atleta/ROSSI-Mattia/eKmRlJSlaWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
