disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
400m (P),51.07,,MANGIONE Alice,1997,C.S. ESERCITO,3 ex- 3,Parigi,2024-08-06,https://www.fidal.it/atleta/MANGIONE-Alice/h7GRkpKlb2g%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SF,51.07,e
400m (P),51.69,,POLINARI Anna,1999,C.S. CARABINIERI SEZ. ATLETICA,1 se- 4,Bruxelles,2024-05-25,https://www.fidal.it/atleta/POLINARI-Anna/eKAAARkpehbmU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SF,51.69,e
400m (P),51.92,,TREVISAN Giancarla dimich,1993,BRACCO ATLETICA,1 ba- 2,La Spezia,2024-06-29,https://www.fidal.it/atleta/TREVISAN-Giancarla-dimich/dq2RmJOfamQ%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221,SF,51.92,e
400m (P),51.98,,ACCAME Ilaria elvira,2001,ATL.LIBERTAS UNICUSANO LIVORNO,1 se- 3,Nembro,2024-06-19,https://www.fidal.it/atleta/ACCAME-Ilaria-elvira/dayRkpSjaWY%3D,https://www.fidal.it/societa/ATL-LIBERTAS-UNICUSANO-LIVORNO/LI035,SF,51.98,e
400m (P),52.15,,FOLORUNSO Ayomide temilade,1996,G.S. FIAMME ORO PADOVA,2 se- 3,Nembro,2024-06-19,https://www.fidal.it/atleta/FOLORUNSO-Ayomide-temilade/eq6RkpOla2k%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SF,52.15,e
400m (P),52.23,,VALENSIN Elisa,2007,ATL. BERGAMO 1959 ORIOCENTER,2 sf- 1,Lima,2024-08-28,https://www.fidal.it/atleta/VALENSIN-Elisa/dq2Rl5qhbGc%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003,AF,52.23,e
400m (P),52.24,,KABO Fatoumata,2001,ATL. CARPENEDOLO,2 ba- 2,La Spezia,2024-06-29,https://www.fidal.it/atleta/KABO-Fatoumata/dqqRmJSfa2s%3D,https://www.fidal.it/societa/ATL--CARPENEDOLO/BS278,SF,52.24,e
400m (P),52.25,,BORGA Rebecca,1998,G.A. FIAMME GIALLE,1 se- 1,Firenze,2024-04-13,https://www.fidal.it/atleta/BORGA-Rebecca/eK2RkpSjbGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SF,52.25,e
400m (P),52.43,,BONORA Alessandra,2000,G.A. FIAMME GIALLE,2 ba- 1,La Spezia,2024-06-29,https://www.fidal.it/atleta/BONORA-Alessandra/dqqRl5mhaWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SF,52.43,e
400m (P),52.53,,TROIANI Virginia,1996,CUS PRO PATRIA MILANO,1 se- 1,Bergamo,2024-05-11,https://www.fidal.it/atleta/TROIANI-Virginia/drKRkpenbGg%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,SF,52.53,e
