disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
800m (P),1:58.89,,BELLO' Elena,1997,G.S. FIAMME AZZURRE,10 su- 1,Londra,2024-07-20,https://www.fidal.it/atleta/BELLO-Elena/eK6Rkpajb2c%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,118.89,e
800m (P),1:59.07,,COIRO Eloisa,2000,G.S. FIAMME AZZURRE,4 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/COIRO-Eloisa/f6yRk5mjaGk%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,119.07,e
800m (P),2:01.06,,PELLICORO Laura,2000,BRACCO ATLETICA,3 se- 2,Nembro,2024-06-19,https://www.fidal.it/atleta/PELLICORO-Laura/dq2RlJenbGU%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221,SF,121.06,e
800m (P),2:02.69,,KABANGU Ngalula gloria,2005,A.S.D. ACSI ITALIA ATLETICA,6 su- 1,Asti,2024-05-23,https://www.fidal.it/atleta/KABANGU-Ngalula-gloria/f62RkpikbGk%3D,https://www.fidal.it/societa/A-S-D--ACSI-ITALIA-ATLETICA/RM131,JF,122.69,e
800m (P),2:02.69,,VANDI Eleonora,1996,ATL. AVIS MACERATA,5 se- 2,Nembro,2024-06-19,https://www.fidal.it/atleta/VANDI-Eleonora/e6iRk5eoaGc%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004,SF,122.69,e
800m (P),2:03.20,,DE NONI Lorenza,2006,ATLETICA SILCA CONEGLIANO,5 fi- 1,Lima,2024-08-30,https://www.fidal.it/atleta/DE-NONI-Lorenza/eKyRk5qjcGM%3D,https://www.fidal.it/societa/ATLETICA-SILCA-CONEGLIANO/TV341,JF,123.2,e
800m (P),2:03.23,,PANSINI Federica,2003,ATL.STUD. RIETI ANDREA MILARDI,7 se- 2,Nembro,2024-06-19,https://www.fidal.it/atleta/PANSINI-Federica/f6yRlJSgams%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,PF,123.23,e
800m (P),2:03.44,,TROIANI Serena,1996,CUS PRO PATRIA MILANO,2 se- 1,Busto Arsizio,2024-07-10,https://www.fidal.it/atleta/TROIANI-Serena/drKRkpenbGk%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,SF,123.44,e
800m (P),2:03.57,,BIANCHI Francesca,2002,ATL.LIBERTAS UNICUSANO LIVORNO,8 su- 1,Asti,2024-05-23,https://www.fidal.it/atleta/BIANCHI-Francesca/dKyRlJafamk%3D,https://www.fidal.it/societa/ATL-LIBERTAS-UNICUSANO-LIVORNO/LI035,PF,123.57,e
800m (P),2:03.81,,COLAJANNI Maria,1999,A.S.D. C.U.S. PALERMO,2 se- 1,Mondovì,2024-06-02,https://www.fidal.it/atleta/COLAJANNI-Maria/h6iRlpilams%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001,SF,123.81,e
800m (P),2:03.90,,SABBATINI Gaia,1999,G.S. FIAMME AZZURRE,6 se- 1,Décines-charpieu,2024-05-04,https://www.fidal.it/atleta/SABBATINI-Gaia/gayRkpKjaGU%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,123.9,e
