tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1:03.71,,STRASER Alessandro,1990,JM,C.U.S. PARMA,4 se- 3,Saronno,2008-09-28,https://www.fidal.it/atleta/STRASER-Alessandro/eqiRlZanbmo%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
1:03.73,,BIANCHI Romeo,1989,JM,ATL. VIRTUS CASTENEDOLO,4 se- 5,Saronno,2008-05-18,https://www.fidal.it/atleta/BIANCHI-Romeo/dqqRkpOfa2w%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
1:03.77,,BAGNATO Emidio francesco,1990,JM,AS ATLETICA SAGITTARIUS,3 su- 1,Reggio Calabria,2008-07-06,https://www.fidal.it/atleta/BAGNATO-Emidio-francesco/hqiRk5eocGU%3D,https://www.fidal.it/societa/AS-ATLETICA-SAGITTARIUS/RC325
1:03.93,,MARZORATI Pietro,1990,JM,CANTU`ATLETICA,5 su- 1,Mariano Comense,2008-06-04,https://www.fidal.it/atleta/MARZORATI-Pietro/dquRkpWfaGc%3D,https://www.fidal.it/societa/CANTU`ATLETICA/CO169
1:03.8,,BAGNATO Emidio francesco,1990,JM,AS ATLETICA SAGITTARIUS,1 su- 1,Reggio Calabria,2008-10-21,https://www.fidal.it/atleta/BAGNATO-Emidio-francesco/hqiRk5eocGU%3D,https://www.fidal.it/societa/AS-ATLETICA-SAGITTARIUS/RC325
1:03.95,,CAPRIOTTI Enrico,1990,JM,A.S.PONTEDERA ATLETICA,5 se- 2,Livorno,2008-07-26,https://www.fidal.it/atleta/CAPRIOTTI-Enrico/faiRlJmmaGQ%3D,https://www.fidal.it/societa/A-S-PONTEDERA-ATLETICA/PI144
1:03.98,,MAZZONI Nicola,1992,AM,CRUS OTTICA GUERRA PEDERSANO,4 se- 1,Trento,2008-07-06,https://www.fidal.it/atleta/MAZZONI-Nicola/d6iRkpumbmw%3D,https://www.fidal.it/societa/CRUS-OTTICA-GUERRA-PEDERSANO/TN131
1:03.99,,GIUNTINI Lorenzo,1990,JM,ATL. VIRTUS  CR LUCCA,5 se- 1,Modena,2008-10-12,https://www.fidal.it/atleta/GIUNTINI-Lorenzo/faiRlJmja2g%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
1:04.03,,MANGIONE Marcello,1984,SM,ASD AES IT. ATHLETIC CERCOLA,5 su- 1,Salerno,2008-07-06,https://www.fidal.it/atleta/MANGIONE-Marcello/gKiRk5Wfbmk%3D,https://www.fidal.it/societa/ASD-AES-IT--ATHLETIC-CERCOLA/AV208
1:04.08,,MANZONI Luca,1991,AM,U.S. A.CASATI ATL.,6 se- 1,Milano,2008-04-26,https://www.fidal.it/atleta/MANZONI-Luca/dq2Rk5iiaWY%3D,https://www.fidal.it/societa/U-S--A-CASATI-ATL-/MI374
1:04.13,,PIETRONERO Alessandro,1987,PM,ACSI CAMPIDOGLIO PALATINO,1 su- 1,Roma,2008-06-15,https://www.fidal.it/atleta/PIETRONERO-Alessandro/f6iRlZmnbmQ%3D,https://www.fidal.it/societa/ACSI-CAMPIDOGLIO-PALATINO/RM046
