prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
16.7,-1.0,16.70,e,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Santhia,2015-05-16,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
16.89,-2.1,16.89,e,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,2 su- 1,Santhia,2015-07-19,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
17.45,,17.2,m,FERRETTI Antonello,1960,SM55,ASD. ATL. L'AMICO-CRAS TARANTO,1 se- 1,Grottaglie,2015-06-20,https://www.fidal.it/atleta/FERRETTI-Antonello/hKiSmpimbmU%3D,https://www.fidal.it/societa/ASD--ATL--L-AMICO-CRAS-TARANTO/TA413
17.63,-1.7,17.63,e,LOMBARDI Paolo,1965,SM50,ATL. VIRTUS CASTENEDOLO,2 su- 1,Cassino,2015-07-03,https://www.fidal.it/atleta/LOMBARDI-Paolo/dqqRl5amaWU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
17.82,-1.0,17.82,e,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,3 su- 1,Santhia,2015-05-16,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
17.91,-1.7,17.91,e,DA PONTE Davide,1965,SM50,A.ATL.DOLOMITI BELLUNO,3 su- 1,Cassino,2015-07-03,https://www.fidal.it/atleta/DA-PONTE-Davide/eKmRlJKicWc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
17.95,,17.7,m,FERRETTI Antonello,1960,SM55,ASD. ATL. L'AMICO-CRAS TARANTO,1 se- 1,Lecce,2015-07-11,https://www.fidal.it/atleta/FERRETTI-Antonello/hKiSmpimbmU%3D,https://www.fidal.it/societa/ASD--ATL--L-AMICO-CRAS-TARANTO/TA413
18.14,-2.5,18.14,e,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,3 su- 1,Cassino,2015-07-03,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
18.23,-0.4,18.23,e,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,5 ba- 4,Lyon,2015-08-14,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
18.25,+0.5,18.25,e,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,1 su- 1,Boissano,2015-07-29,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
18.27,+0.3,18.27,e,VANZO Luigi,1964,SM50,MASTERATLETICA,1 se- 1,Ancona,2015-05-24,https://www.fidal.it/atleta/VANZO-Luigi/eK6RkpSnaGQ%3D,https://www.fidal.it/societa/MASTERATLETICA/VI650
18.34,-0.4,18.34,e,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,2 su- 1,Bellinzona,2015-09-12,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
18.59,-1.7,18.59,e,BOGGI Fabrizio,1964,SM50,ATL. VIRTUS  CR LUCCA,4 su- 1,Cassino,2015-07-03,https://www.fidal.it/atleta/BOGGI-Fabrizio/faiSk5Knamk%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
18.61,+0.2,18.61,e,FASCE Luciano,1960,SM55,A.S.D.  C.U.S. GENOVA,1 se- 1,Boissano,2015-09-05,https://www.fidal.it/atleta/FASCE-Luciano/dayRkpKncGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
18.97,-1.0,18.97,e,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,3 su- 1,Cinisello Balsamo,2015-07-11,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
19.03,+0.3,19.03,e,SEMPRINI CESARI Matteo,1965,SM50,ATL. RIMINI NORD SANTARCANGELO,2 se- 1,Ancona,2015-05-24,https://www.fidal.it/atleta/SEMPRINI-CESARI-Matteo/eqiRlZuia2c%3D,https://www.fidal.it/societa/ATL--RIMINI-NORD-SANTARCANGELO/RN273
19.33,+0.3,19.33,e,ALESI Cesare,1961,SM50,COLLECTION ATLETICA SAMBENEDET,3 se- 1,Ancona,2015-05-24,https://www.fidal.it/atleta/ALESI-Cesare/e6qRkpShaGU%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
20.05,+0.2,20.05,e,SALVI Massimiliano,1957,SM55,ATL. RIMINI NORD SANTARCANGELO,1 se- 2,Ancona,2015-05-24,https://www.fidal.it/atleta/SALVI-Massimiliano/eqiRkpukcWw%3D,https://www.fidal.it/societa/ATL--RIMINI-NORD-SANTARCANGELO/RN273
20.15,,19.9,m,FERRIGNO Giovanni,1958,SM55,A.S.D.  ATL. VIS NOVA,1 su- 1,Salerno,2015-07-12,https://www.fidal.it/atleta/FERRIGNO-Giovanni/gKiRk5SibWo%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
20.41,-2.5,20.41,e,FERRIGNO Giovanni,1958,SM55,A.S.D.  ATL. VIS NOVA,4 su- 1,Cassino,2015-07-03,https://www.fidal.it/atleta/FERRIGNO-Giovanni/gKiRk5SibWo%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
20.6,+1.4,20.60,e,SILVESTRI Rodolfo,1960,SM55,ROMATLETICA FOOTWORKS,1 su- 1,Latina,2015-07-11,https://www.fidal.it/atleta/SILVESTRI-Rodolfo/f6iRk5Oob2w%3D,https://www.fidal.it/societa/ROMATLETICA-FOOTWORKS/RM232
21.61,+2.6,21.61,e,CASUCCI Antonio,1964,SM50,CUS PISA ATLETICA CASCINA,1 su- 1,Piombino,2015-07-18,https://www.fidal.it/atleta/CASUCCI-Antonio/faAAARkpOgcGs%3D,https://www.fidal.it/societa/CUS-PISA-ATLETICA-CASCINA/PI071
21.75,+0.2,21.75,e,FLORIS Alessandro,1957,SM55,ASD SULCIS ATLETICA CARBONIA,2 se- 2,Ancona,2015-05-24,https://www.fidal.it/atleta/FLORIS-Alessandro/iKiRkpmkaWw%3D,https://www.fidal.it/societa/ASD-SULCIS-ATLETICA-CARBONIA/CA129
21.8,-2.5,21.80,e,GHINASSI Mauro,1956,SM55,ATL.SANGIOVANNESE 1967,5 su- 1,Cassino,2015-07-03,https://www.fidal.it/atleta/GHINASSI-Mauro/faiRm5WnbGc%3D,https://www.fidal.it/societa/ATL-SANGIOVANNESE-1967/AR054
22.15,,21.9,m,VOLPE Arturo lisa,1964,SM50,A.S.D. C.U.S. SALERNO,2 su- 1,Salerno,2015-07-12,https://www.fidal.it/atleta/VOLPE-Arturo-lisa/gK2RkpKmaWo%3D,https://www.fidal.it/societa/A-S-D--C-U-S--SALERNO/SA265
22.35,,22.1,m,IANNONE Michele,1965,SM50,A.S.D. C.U.S. SALERNO,3 su- 1,Salerno,2015-07-12,https://www.fidal.it/atleta/IANNONE-Michele/gKiRlpKlbGY%3D,https://www.fidal.it/societa/A-S-D--C-U-S--SALERNO/SA265
28.35,,28.1,m,SANSEVERINO Emilio,1957,SM55,A.S.D.  ATL. VIS NOVA,4 su- 1,Salerno,2015-07-12,https://www.fidal.it/atleta/SANSEVERINO-Emilio/gKiRlJaoa2M%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
14.74,+0.9,14.74,e,D'ERRICO Antonio,1964,SM50,A.S.D.  ATL. VIS NOVA,1 su- 1,Arezzo,2016-07-08,https://www.fidal.it/atleta/D-ERRICO-Antonio/gKiRkpeobmk%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
14.92,-0.1,14.92,e,D'ERRICO Antonio,1964,SM50,A.S.D.  ATL. VIS NOVA,1 se- 2,L'aquila,2016-05-29,https://www.fidal.it/atleta/D-ERRICO-Antonio/gKiRkpeobmk%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
15.15,+0.0,14.9,m,D'ERRICO Antonio,1964,SM50,A.S.D.  ATL. VIS NOVA,1 se- 1,Napoli,2016-10-15,https://www.fidal.it/atleta/D-ERRICO-Antonio/gKiRkpeobmk%3D,https://www.fidal.it/societa/A-S-D--ATL--VIS-NOVA/SA126
15.41,+0.9,15.41,e,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,2 su- 1,Arezzo,2016-07-08,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
15.62,+0.9,15.62,e,LOMBARDI Paolo,1965,SM50,ATL. VIRTUS CASTENEDOLO,3 su- 1,Arezzo,2016-07-08,https://www.fidal.it/atleta/LOMBARDI-Paolo/dqqRl5amaWU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
15.72,+0.7,15.72,e,INDRA Hubert,1957,SM55,A.S.D. SUEDTIROL TEAM CLUB,1 su- 1,Arezzo,2016-07-08,https://www.fidal.it/atleta/INDRA-Hubert/iaiRkpKgcGM%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
15.72,+0.5,15.72,e,AMERIO Roberto,1965,SM50,S.S. VITTORIO ALFIERI ASTI,3 fi- 1,Perth,2016-11-05,https://www.fidal.it/atleta/AMERIO-Roberto/dKiRkpKgcGs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
15.73,+0.7,15.73,e,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,2 su- 1,Arezzo,2016-07-08,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
15.83,+0.7,15.83,e,SCAVUZZO Pietro paolo,2000,AM,A.S. DIL. MILONE,1 su- 1,Enna,2016-09-25,https://www.fidal.it/atleta/SCAVUZZO-Pietro-paolo/h6yRkpKga2g%3D,https://www.fidal.it/societa/A-S--DIL--MILONE/SR128
15.94,-0.1,15.94,e,NICOLA Fabio,1966,SM50,G.S. ERMENEGILDO ZEGNA,2 se- 2,L'aquila,2016-05-29,https://www.fidal.it/atleta/NICOLA-Fabio/dKiRkpKia2M%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
16.0,+0.5,16.00,e,LOMBARDI Paolo,1965,SM50,ATL. VIRTUS CASTENEDOLO,1 su- 1,Milano,2016-05-14,https://www.fidal.it/atleta/LOMBARDI-Paolo/dqqRl5amaWU%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
16.04,+1.6,16.04,e,BIROLINI Massimo,1960,SM55,BERGAMO STARS ATLETICA,1 se- 1,Bellinzona,2016-09-17,https://www.fidal.it/atleta/BIROLINI-Massimo/dqmRl5mnbGo%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
