prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
19.1,,19.10,0,SPAGGIARI Gianluca,1992,CM,SINTOFARM ATLETICA,5 se- 1,Comacchio,2007-05-15,https://www.fidal.it/atleta/SPAGGIARI-Gianluca/eqiRlZqgcGQ%3D,https://www.fidal.it/societa/SINTOFARM-ATLETICA/RE107
19.2,+0.4,19.20,0,ORRU' Francesco,1992,CM,SS SULCIS MAB SERVICE,2 su- 1,Oristano,2007-04-15,https://www.fidal.it/atleta/ORRU-Francesco/iKiSmZWicWo%3D,https://www.fidal.it/societa/SS-SULCIS-MAB-SERVICE/CA129
19.41,,19.41,0,PICA Gian marco,1992,CM,ATL. STUDENTESCA CA.RI.RI,5 se- 1,Ostia,2007-05-16,https://www.fidal.it/atleta/PICA-Gian-marco/f6iRmJaibmM%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
19.65,,19.4,1,MRABET Amine,1992,CM,ATLETICA LIVORNO,2 se- 2,Piombino,2007-04-20,https://www.fidal.it/atleta/MRABET-Amine/faiSkpSjbmQ%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
19.74,,19.74,0,MITI Filippo,1992,CM,EDERA ATL. FORLI,7 se- 1,Comacchio,2007-05-15,https://www.fidal.it/atleta/MITI-Filippo/eqiRlZanbGU%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
19.95,,19.7,1,IDDA Pier francesco,1992,CM,SS GYMNASIUM ATL ALGHERO,3 se- 1,Sanluri,2007-05-08,https://www.fidal.it/atleta/IDDA-Pier-francesco/iKiSmZmgb2s%3D,https://www.fidal.it/societa/SS-GYMNASIUM-ATL-ALGHERO/SS067
20.05,,19.8,1,SONNIFERO Luigi,1992,CM,A.S. 'FOCE' SANREMO,1 se- 1,Camporosso,2007-04-18,https://www.fidal.it/atleta/SONNIFERO-Luigi/daiUlpOjcWs%3D,https://www.fidal.it/societa/A-S--FOCE-SANREMO/IM030
20.25,,20.0,1,SONNIFERO Luigi,1992,CM,A.S. 'FOCE' SANREMO,4 se- 1,Genova,2007-05-17,https://www.fidal.it/atleta/SONNIFERO-Luigi/daiUlpOjcWs%3D,https://www.fidal.it/societa/A-S--FOCE-SANREMO/IM030
20.28,-1.4,20.28,0,ANNOVAZZI Davide,1992,CM,ATLETICA PONT DONNAS,6 ba- 1,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/ANNOVAZZI-Davide/jKiRlJSoa2w%3D,https://www.fidal.it/societa/ATLETICA-PONT-DONNAS/AO002
20.35,,20.1,1,BORTOLATO Elia,1992,CM,POLISPORTIVA DEL TARVISIANO,6 su- 1,Udine,2007-05-15,https://www.fidal.it/atleta/BORTOLATO-Elia/eayRk5OkcGQ%3D,https://www.fidal.it/societa/POLISPORTIVA-DEL-TARVISIANO/UD112
20.91,,20.91,0,CELLAROSI Carlomaria,1992,CM,ATL. LIB. RIMINI,8 se- 1,Comacchio,2007-05-15,https://www.fidal.it/atleta/CELLAROSI-Carlomaria/eqiRlpSgbmM%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
20.95,,20.7,1,PIQUEREDDU Antonio,1992,CM,AS DELOGU NUORO,3 se- 3,Sanluri,2007-05-08,https://www.fidal.it/atleta/PIQUEREDDU-Antonio/iKiRlJSobmM%3D,https://www.fidal.it/societa/AS-DELOGU-NUORO/NU040
21.05,,20.8,1,VADALA' Roberto,1992,CM,AICS ATLETICA STADIO,4 se- 1,Reggio Calabria,2007-05-04,https://www.fidal.it/atleta/VADALA-Roberto/hqiRk5ioams%3D,https://www.fidal.it/societa/AICS-ATLETICA-STADIO/RC030
21.55,,21.3,1,REBOLI Giorgio,1992,CM,POL. ARENZANO SEZ. ATLETICA,5 se- 1,Genova,2007-05-17,https://www.fidal.it/atleta/REBOLI-Giorgio/daiUlpSkbGc%3D,https://www.fidal.it/societa/POL--ARENZANO-SEZ--ATLETICA/GE007
21.7,,21.70,0,LEMBO Enrico,1992,CM,ASD MONTEMILETTO TEAM RUNNERS,12 su- 1,San Marcellino,2007-05-18,https://www.fidal.it/atleta/LEMBO-Enrico/gKiRlZqicWU%3D,https://www.fidal.it/societa/ASD-MONTEMILETTO-TEAM-RUNNERS/AV011
21.85,,21.6,1,VADALA' Roberto,1992,CM,AICS ATLETICA STADIO,3 se- 1,Reggio Calabria,2007-04-20,https://www.fidal.it/atleta/VADALA-Roberto/hqiRk5ioams%3D,https://www.fidal.it/societa/AICS-ATLETICA-STADIO/RC030
23.05,,22.8,1,PELLONI Enrico,1992,CM,S.G. PERSICETANA,4 se- 1,Bologna,2007-05-03,https://www.fidal.it/atleta/PELLONI-Enrico/eqiRlpOlbGU%3D,https://www.fidal.it/societa/S-G--PERSICETANA/BO437
13.82,+0.5,13.82,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 su- 1,Rieti,2007-06-06,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
