tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1:16.28,,CASACCA Serena,1992,CF,AS ATLETICA MACOMER,1 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/CASACCA-Serena/iKiRlJOlams%3D,https://www.fidal.it/societa/AS-ATLETICA-MACOMER/NU171
1:18.21,,CASACCA Serena,1992,CF,AS ATLETICA MACOMER,3 su- 1,Oristano,2007-04-15,https://www.fidal.it/atleta/CASACCA-Serena/iKiRlJOlams%3D,https://www.fidal.it/societa/AS-ATLETICA-MACOMER/NU171
1:20.01,,VACCA Laura,1992,CF,C.U.S. SASSARI,2 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/VACCA-Laura/iKiSmZSkcWs%3D,https://www.fidal.it/societa/C-U-S--SASSARI/SS019
57.45,,SPANO Nicolo',1981,SM,C.U.S. SASSARI,1 su- 1,Sassari,2007-06-01,https://www.fidal.it/atleta/SPANO-Nicolo-/iKiRkpShcWU%3D,https://www.fidal.it/societa/C-U-S--SASSARI/SS019
56.26,,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Varsavia,2007-06-17,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.46,,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,5 se- 1,Atene,2007-07-02,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.50,,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Milano,2007-06-23,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.53,,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Trento,2007-06-02,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.54,,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Albufeira,2007-05-26,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.56,,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Roma,2007-07-13,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
