prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
10.22,VISCIDO Giuseppe,1970,SM40,ATL. INSIEME NEW FOODS VR,3 su- 1,Schio,2011-01-29,https://www.fidal.it/atleta/VISCIDO-Giuseppe/gKiRkpKnb2Y%3D,https://www.fidal.it/societa/ATL--INSIEME-NEW-FOODS-VR/VR761
10.19,CABIATI Carlo,1991,PM,G.S. ERMENEGILDO ZEGNA,4 su- 1,Aosta,2011-02-06,https://www.fidal.it/atleta/CABIATI-Carlo/dKAAARk5mmbmw%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
10.17,LANTHALER Lukas,1984,SM,ASV S.V. LANA - RAIKA,13 su- 1,Ancona,2011-01-29,https://www.fidal.it/atleta/LANTHALER-Lukas/iaiRkpWmamo%3D,https://www.fidal.it/societa/ASV-S-V--LANA-RAIKA/BZ011
10.11,VISCIDO Giuseppe,1970,SM40,ATL. INSIEME NEW FOODS VR,6 su- 1,Schio,2011-02-05,https://www.fidal.it/atleta/VISCIDO-Giuseppe/gKiRkpKnb2Y%3D,https://www.fidal.it/societa/ATL--INSIEME-NEW-FOODS-VR/VR761
10.1,NETTUNO Federico,1975,SM35,N.ATL. FANFULLA LODIGIANA,11 su- 1,Gent,2011-03-16,https://www.fidal.it/atleta/NETTUNO-Federico/dqiRkpahamo%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
10.05,VOLPI Giacomo,1985,SM,PROSPORT ATL. FIRENZE,5 su- 1,Firenze,2011-02-04,https://www.fidal.it/atleta/VOLPI-Giacomo/faqRkpOlaGk%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
10.04,OTTAVIANI Leonardo,1991,PM,ATL. AVIS MACERATA,14 su- 1,Ancona,2011-01-29,https://www.fidal.it/atleta/OTTAVIANI-Leonardo/e6iRk5KlaGw%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
10.04,TOGNACCINI Alessandro,1991,PM,ATL.SANGIOVANNESE 1967,6 su- 1,Firenze,2011-02-04,https://www.fidal.it/atleta/TOGNACCINI-Alessandro/faiSkpelbmM%3D,https://www.fidal.it/societa/ATL-SANGIOVANNESE-1967/AR054
10.0,PIAZZA Matteo,1990,PM,PROSPORT ATL. FIRENZE,15 su- 1,Ancona,2011-01-29,https://www.fidal.it/atleta/PIAZZA-Matteo/faiRm5aha2Y%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
9.93,MANGIAFERRO Lorenzo,1984,SM,PROSPORT ATL. FIRENZE,7 su- 1,Firenze,2011-02-04,https://www.fidal.it/atleta/MANGIAFERRO-Lorenzo/faqRkpWkbGc%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
9.93,NETTUNO Federico,1975,SM35,N.ATL. FANFULLA LODIGIANA,99 su- 1,Aosta,2011-02-19,https://www.fidal.it/atleta/NETTUNO-Federico/dqiRkpahamo%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
9.89,BRUNORI Marco,1989,PM,ATLETICA SANDRO CALVESI,3 su- 1,Aosta,2011-01-16,https://www.fidal.it/atleta/BRUNORI-Marco/jKiRkpWhbWU%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
9.88,BOGA Andrea,1974,SM35,OLIMPUS SAN MARINO ATLETICA,6 su- 1,Ancona,2011-01-22,https://www.fidal.it/atleta/BOGA-Andrea/eqiRkpKjamU%3D,https://www.fidal.it/societa/OLIMPUS-SAN-MARINO-ATLETICA/SM278
9.82,TOZZI Stefano,1970,SM40,ACSI CAMPIDOGLIO PALATINO,3 fi- 1,Napoli Palavesuvio,2011-02-06,https://www.fidal.it/atleta/TOZZI-Stefano/f6iRl5SmbWU%3D,https://www.fidal.it/societa/ACSI-CAMPIDOGLIO-PALATINO/RM046
9.8,ALBIERI Andrea,1975,SM35,ATL LIBERTAS RUNNERS LIVORNO,6 su- 1,Ancona,2011-03-05,https://www.fidal.it/atleta/ALBIERI-Andrea/iaiRkpamcWc%3D,https://www.fidal.it/societa/ATL-LIBERTAS-RUNNERS-LIVORNO/LI035
9.74,KHALIFI Elamjad,1991,PM,A.S. LA FRATELLANZA 1874,16 su- 1,Ancona,2011-01-29,https://www.fidal.it/atleta/KHALIFI-Elamjad/eqiRlZelb2M%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
9.73,TOZZI Stefano,1970,SM40,ACSI CAMPIDOGLIO PALATINO,3 fi- 1,Napoli,2011-01-08,https://www.fidal.it/atleta/TOZZI-Stefano/f6iRl5SmbWU%3D,https://www.fidal.it/societa/ACSI-CAMPIDOGLIO-PALATINO/RM046
