prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
15.67,IAROPOLI Salvatore,1992,CM,ATL. VIRTUS  CR LUCCA,1 su- 1,Firenze,2007-02-03,https://www.fidal.it/atleta/IAROPOLI-Salvatore/faiSkpaocWc%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
14.87,MINI Giacomo,1992,CM,ATL. LIB. RIMINI,1 se- 1,Ancona,2007-02-11,https://www.fidal.it/atleta/MINI-Giacomo/eqiRlZSgbGU%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
14.43,MINI Giacomo,1992,CM,ATL. LIB. RIMINI,1 su- 1,Ancona,2007-02-04,https://www.fidal.it/atleta/MINI-Giacomo/eqiRlZSgbGU%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
14.08,TALAMI Matteo,1992,CM,G.S.SELF ATL. MONTANARI GRUZZA,1 su- 1,Padova,2007-03-18,https://www.fidal.it/atleta/TALAMI-Matteo/eqiRlpOhbWs%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
13.54,CARLASSARA Mattia,1992,CM,NOVATLETICA CITTA' DI SCHIO,1 su- 1,Padova,2007-02-18,https://www.fidal.it/atleta/CARLASSARA-Mattia/eK6RkpOgcGg%3D,https://www.fidal.it/societa/NOVATLETICA-CITTA-DI-SCHIO/VI617
13.48,SALVINI Alessio,1992,CM,UISP ATLETICA SIENA A.S.D.,2 su- 1,Firenze,2007-02-03,https://www.fidal.it/atleta/SALVINI-Alessio/faiSkpela2o%3D,https://www.fidal.it/societa/UISP-ATLETICA-SIENA-A-S-D-/SI043
13.38,DI BLASIO Patrizio,1993,CM,FIAMME GIALLE G. SIMONI,1 su- 1,Napoli,2007-03-18,https://www.fidal.it/atleta/DI-BLASIO-Patrizio/f6iRmJuoa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
13.33,CARLASSARA Mattia,1992,CM,NOVATLETICA CITTA' DI SCHIO,1 su- 1,Padova,2007-03-04,https://www.fidal.it/atleta/CARLASSARA-Mattia/eK6RkpOgcGg%3D,https://www.fidal.it/societa/NOVATLETICA-CITTA-DI-SCHIO/VI617
13.32,MUZIC Federico,1992,CM,ATL. UNIVERSALE D.B. DON BOSCO,2 su- 1,Padova,2007-03-18,https://www.fidal.it/atleta/MUZIC-Federico/daiUlpOgamk%3D,https://www.fidal.it/societa/ATL--UNIVERSALE-D-B--DON-BOSCO/GE016
13.27,DE PIERI Stefano,1992,CM,G.S.ATL.DIL.LIB. PIOMBINO DESE,2 su- 1,Padova,2007-02-18,https://www.fidal.it/atleta/DE-PIERI-Stefano/eKqRkpKfbGQ%3D,https://www.fidal.it/societa/G-S-ATL-DIL-LIB--PIOMBINO-DESE/PD163
13.26,MINI Giacomo,1992,CM,ATL. LIB. RIMINI,3 su- 1,Padova,2007-03-18,https://www.fidal.it/atleta/MINI-Giacomo/eqiRlZSgbGU%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
13.23,DI FEDERICO Anthony,1992,CM,A.S.D.FALCO AZZURRO-CARICHIETI,2 su- 1,Napoli,2007-03-18,https://www.fidal.it/atleta/DI-FEDERICO-Anthony/gaiRk5ejbmY%3D,https://www.fidal.it/societa/A-S-D-FALCO-AZZURRO-CARICHIETI/CH136
13.11,CANESTRO Ignazio,1992,CM,ATL. CAIRATESE,4 su- 1,Padova,2007-03-18,https://www.fidal.it/atleta/CANESTRO-Ignazio/drKRkpWibWs%3D,https://www.fidal.it/societa/ATL--CAIRATESE/VA050
13.0,DE PIERI Stefano,1992,CM,G.S.ATL.DIL.LIB. PIOMBINO DESE,2 su- 1,Padova,2007-03-04,https://www.fidal.it/atleta/DE-PIERI-Stefano/eKqRkpKfbGQ%3D,https://www.fidal.it/societa/G-S-ATL-DIL-LIB--PIOMBINO-DESE/PD163
12.81,MUNARETTO Mattia,1992,CM,U.S. SUMMANO,1 su- 1,Padova,2007-12-16,https://www.fidal.it/atleta/MUNARETTO-Mattia/eK6RkpSgbGk%3D,https://www.fidal.it/societa/U-S--SUMMANO/VI615
12.8,DE PIERI Stefano,1992,CM,G.S.ATL.DIL.LIB. PIOMBINO DESE,5 su- 1,Padova,2007-03-18,https://www.fidal.it/atleta/DE-PIERI-Stefano/eKqRkpKfbGQ%3D,https://www.fidal.it/societa/G-S-ATL-DIL-LIB--PIOMBINO-DESE/PD163
