prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
17.19,SORTINO Alberto,1989,JM,ATLETICA SCHIO,1 su- 1,Genova,2007-02-25,https://www.fidal.it/atleta/SORTINO-Alberto/eK6RkpKgbGQ%3D,https://www.fidal.it/societa/ATLETICA-SCHIO/VI613
16.97,PAGANI Jonathan,1989,JM,ATL. SPORTLIFE LA SPEZIA,3 su- 1,Vittel,2007-03-04,https://www.fidal.it/atleta/PAGANI-Jonathan/daiUlpajcWo%3D,https://www.fidal.it/societa/ATL--SPORTLIFE-LA-SPEZIA/SP573
16.9,PAGANI Jonathan,1989,JM,ATL. SPORTLIFE LA SPEZIA,1 se- 1,Genova Palasport,2007-02-17,https://www.fidal.it/atleta/PAGANI-Jonathan/daiUlpajcWo%3D,https://www.fidal.it/societa/ATL--SPORTLIFE-LA-SPEZIA/SP573
16.65,PAGANI Jonathan,1989,JM,ATL. SPORTLIFE LA SPEZIA,2 su- 1,Genova,2007-02-25,https://www.fidal.it/atleta/PAGANI-Jonathan/daiUlpajcWo%3D,https://www.fidal.it/societa/ATL--SPORTLIFE-LA-SPEZIA/SP573
16.48,PAGANI Jonathan,1989,JM,ATL. SPORTLIFE LA SPEZIA,1 su- 1,Firenze,2007-01-30,https://www.fidal.it/atleta/PAGANI-Jonathan/daiUlpajcWo%3D,https://www.fidal.it/societa/ATL--SPORTLIFE-LA-SPEZIA/SP573
16.36,SORTINO Alberto,1989,JM,ATLETICA SCHIO,4 su- 1,Vittel,2007-03-04,https://www.fidal.it/atleta/SORTINO-Alberto/eK6RkpKgbGQ%3D,https://www.fidal.it/societa/ATLETICA-SCHIO/VI613
15.85,DOLCIAMI Alessio,1988,JM,ATL. AVIS MACERATA,1 se- 1,Ancona,2007-02-04,https://www.fidal.it/atleta/DOLCIAMI-Alessio/fqiRk5ajcGY%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
15.79,DRUSIANI Giacomo,1989,JM,A.S. LA FRATELLANZA 1874,3 su- 1,Genova,2007-02-25,https://www.fidal.it/atleta/DRUSIANI-Giacomo/eqiRlZembmc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
15.3,DRUSIANI Giacomo,1989,JM,A.S. LA FRATELLANZA 1874,1 su- 1,Firenze,2007-02-08,https://www.fidal.it/atleta/DRUSIANI-Giacomo/eqiRlZembmc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
14.91,DOLCIAMI Alessio,1988,JM,ATL. AVIS MACERATA,1 se- 1,Ancona,2007-01-20,https://www.fidal.it/atleta/DOLCIAMI-Alessio/fqiRk5ajcGY%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
