,punti TOT,lungo,lungo p,200m,200m p,100Hs_h84-8.50,100Hs_h84-8.50 p,asta,asta p,giavellotto_600g,giavellotto_600g p,atleta,link_atleta
132,2343.0,4.9,532.0,27.68,656.0,18.86,403.0,2.8,488.0,18.65,264.0,GUIDOTTI Paola,https://www.fidal.it/atleta/GUIDOTTI-Paola/e6qRkpSfbWY%3D
133,2312.0,4.15,343.0,30.96,417.0,17.72,518.0,3.5,761.0,19.13,273.0,RIVA Gloria,https://www.fidal.it/atleta/RIVA-Gloria/dq2RlJmmbGo%3D
134,2310.0,4.74,490.0,28.56,587.0,17.3,563.0,2.2,282.0,25.29,388.0,THA Cristina,https://www.fidal.it/atleta/THA-Cristina/dK6RlZSla2w%3D
135,2296.0,4.88,527.0,27.85,643.0,15.66,756.0,2.0,221.0,12.41,149.0,CONTINO Laura,https://www.fidal.it/atleta/CONTINO-Laura/gKyRkpugaGo%3D
136,2295.0,4.69,477.0,28.96,557.0,18.69,420.0,3.0,563.0,19.43,278.0,DONAT CATTIN Natalie,https://www.fidal.it/atleta/DONAT-CATTIN-Natalie/dK6RlZOnamQ%3D
137,2288.0,4.58,448.0,29.26,535.0,19.36,357.0,2.3,315.0,38.23,633.0,MORINI Erica,https://www.fidal.it/atleta/MORINI-Erica/dK6RlZqmbmM%3D
138,2279.0,4.27,371.0,30.94,418.0,18.74,415.0,3.0,563.0,31.85,512.0,MABELLINI Marta,https://www.fidal.it/atleta/MABELLINI-Marta/dqqRl5qna2Y%3D
139,2273.0,5.05,573.0,28.45,596.0,19.33,360.0,1.9,191.0,34.0,553.0,LORA MORETTO Lucrezia,https://www.fidal.it/atleta/LORA-MORETTO-Lucrezia/dKAAARk5uibWo%3D
140,2268.0,5.23,623.0,27.72,653.0,18.01,487.0,2.3,315.0,14.63,190.0,PARIGI Federica,https://www.fidal.it/atleta/PARIGI-Federica/dKuRk5mfcGo%3D
141,2243.0,4.31,381.0,27.61,662.0,16.02,712.0,2.25,298.0,14.66,190.0,FRIGERIO Giulia,https://www.fidal.it/atleta/FRIGERIO-Giulia/dquRkpikaGg%3D
142,2211.0,4.8,506.0,28.3,607.0,15.13,825.0,1.6,110.0,13.15,163.0,ROSSI Emanuela,https://www.fidal.it/atleta/ROSSI-Emanuela/daiUlpKkcWc%3D
143,2208.0,4.2,355.0,27.59,664.0,16.29,679.0,2.35,331.0,14.05,179.0,MEI Martina,https://www.fidal.it/atleta/MEI-Martina/f6iRmJOhbWs%3D
144,2208.0,4.44,413.0,30.59,442.0,18.53,435.0,3.5,761.0,12.8,157.0,GALLI Ilaria,https://www.fidal.it/atleta/GALLI-Ilaria/faqRkpWfcGc%3D
145,2205.0,4.81,508.0,27.48,672.0,18.14,474.0,2.25,298.0,18.06,253.0,AGLIAUDI Adelaide,https://www.fidal.it/atleta/AGLIAUDI-Adelaide/dKAAARlJWncWc%3D
146,2190.0,5.22,620.0,27.71,654.0,18.98,392.0,1.7,136.0,25.3,388.0,MIGHELI Elisa,https://www.fidal.it/atleta/MIGHELI-Elisa/dKAAARlJKkaWw%3D
147,2185.0,5.01,562.0,28.71,576.0,16.72,628.0,2.0,221.0,15.08,198.0,ROSA Giulia,https://www.fidal.it/atleta/ROSA-Giulia/dKAAARk5qgbmo%3D
148,2173.0,5.0,559.0,30.18,470.0,19.55,341.0,2.3,315.0,30.6,488.0,LEZZI Elisa,https://www.fidal.it/atleta/LEZZI-Elisa/dK6RlZqjbGs%3D
149,2169.0,5.23,623.0,26.13,786.0,19.86,314.0,2.2,282.0,13.19,164.0,LUGARO Camilla,https://www.fidal.it/atleta/LUGARO-Camilla/dayRkpKhbmo%3D
150,2143.0,5.17,606.0,26.39,763.0,19.31,362.0,2.0,221.0,14.69,191.0,BRINGHEN Helene,https://www.fidal.it/atleta/BRINGHEN-Helene/dKqRkpKjamU%3D
151,2105.0,5.05,573.0,28.64,581.0,17.43,549.0,1.9,191.0,15.81,211.0,MONACO Martina,https://www.fidal.it/atleta/MONACO-Martina/drKRkpWgb2U%3D
152,2101.0,4.72,485.0,28.73,574.0,17.95,494.0,2.0,221.0,22.05,327.0,BORELLO Sara,https://www.fidal.it/atleta/BORELLO-Sara/dK6RlJimbmw%3D
153,2095.0,4.34,388.0,30.75,431.0,19.51,344.0,3.2,641.0,20.13,291.0,FAVETO Laura,https://www.fidal.it/atleta/FAVETO-Laura/daiRk5Wkamc%3D
154,2093.0,5.35,657.0,27.89,640.0,18.08,480.0,2.1,251.0,7.7,65.0,PESTICCIO Carmen,https://www.fidal.it/atleta/PESTICCIO-Carmen/gK2RkpKfcGw%3D
155,2065.0,4.44,413.0,29.37,527.0,18.14,474.0,1.9,191.0,29.13,460.0,CAPPAI Chiara,https://www.fidal.it/atleta/CAPPAI-Chiara/iKyRkpWlaGo%3D
156,2057.0,5.05,573.0,27.9,639.0,20.35,274.0,2.4,348.0,16.44,223.0,VACCARO Simona,https://www.fidal.it/atleta/VACCARO-Simona/dK6RkpKnbms%3D
157,2050.0,4.64,464.0,30.39,455.0,20.49,263.0,3.2,641.0,16.64,227.0,PESTICCIO Annarita,https://www.fidal.it/atleta/PESTICCIO-Annarita/gK2RkpKfcWM%3D
158,2044.0,4.42,408.0,30.08,477.0,19.07,384.0,2.9,526.0,17.86,249.0,SANNA Laura,https://www.fidal.it/atleta/SANNA-Laura/iKiRk5WmbGw%3D
159,2031.0,4.96,548.0,27.07,706.0,19.98,304.0,2.1,251.0,16.39,222.0,BOBBO Sara,https://www.fidal.it/atleta/BOBBO-Sara/eK2Rk5OfbWY%3D
160,2026.0,4.93,540.0,29.15,543.0,19.54,341.0,1.8,163.0,28.0,439.0,PETZA Chiara,https://www.fidal.it/atleta/PETZA-Chiara/iKiSmZWha2Y%3D
161,2004.0,4.53,436.0,29.22,538.0,19.47,348.0,2.55,399.0,19.67,283.0,PONT Solange,https://www.fidal.it/atleta/PONT-Solange/dK6RlJehaWY%3D
162,1982.0,4.43,411.0,27.42,677.0,17.5,541.0,2.2,282.0,8.04,71.0,PERONA Linda,https://www.fidal.it/atleta/PERONA-Linda/dKAAARlJOfcWY%3D
163,1976.0,5.12,592.0,30.37,457.0,19.71,327.0,2.3,315.0,19.79,285.0,ZENI Maddalena,https://www.fidal.it/atleta/ZENI-Maddalena/d6iRk5mjcWM%3D
164,1958.0,4.61,456.0,29.69,504.0,19.25,367.0,2.05,236.0,25.68,395.0,BOERO Silvia,https://www.fidal.it/atleta/BOERO-Silvia/dKuRk5ijcGU%3D
165,1938.0,4.36,393.0,30.48,449.0,20.03,300.0,2.65,434.0,23.93,362.0,SGARIGLIA Alessandra,https://www.fidal.it/atleta/SGARIGLIA-Alessandra/f6yRkpuicWY%3D
166,1931.0,4.46,418.0,29.27,534.0,21.15,214.0,3.0,563.0,15.3,202.0,GIORGETTI Chiara,https://www.fidal.it/atleta/GIORGETTI-Chiara/equRkpSobWY%3D
167,1908.0,4.67,472.0,29.08,548.0,21.47,192.0,2.35,331.0,24.09,365.0,CHITI Valeria,https://www.fidal.it/atleta/CHITI-Valeria/eqyRkpamcWc%3D
168,1897.0,4.32,384.0,30.62,440.0,17.81,508.0,2.1,251.0,21.36,314.0,CANEVA Marina,https://www.fidal.it/atleta/CANEVA-Marina/eKiRk5ugaGo%3D
169,1850.0,3.95,296.0,31.05,411.0,20.53,260.0,2.7,452.0,27.61,431.0,CARNEVALI Carla,https://www.fidal.it/atleta/CARNEVALI-Carla/eqiRk5mibGQ%3D
170,1846.0,4.55,441.0,27.97,633.0,18.08,480.0,1.8,163.0,11.26,129.0,DI PIETRO Federica,https://www.fidal.it/atleta/DI-PIETRO-Federica/f6iRmJqhbWY%3D
171,1717.0,4.43,411.0,31.78,365.0,20.91,231.0,3.0,563.0,12.26,147.0,FABIANI Elisa,https://www.fidal.it/atleta/FABIANI-Elisa/fqiRk5mmbGg%3D
172,1701.0,4.34,388.0,29.75,500.0,20.72,245.0,2.1,251.0,21.5,317.0,CAPPELLA Debora,https://www.fidal.it/atleta/CAPPELLA-Debora/e6mRkpWfamQ%3D
173,1684.0,4.72,485.0,29.3,532.0,20.28,279.0,1.7,136.0,17.99,252.0,VERDELLI Chiara,https://www.fidal.it/atleta/VERDELLI-Chiara/hquRkpOfcWc%3D
174,1582.0,4.59,451.0,30.87,423.0,19.12,379.0,1.5,86.0,17.5,243.0,ZENOBI Noemi,https://www.fidal.it/atleta/ZENOBI-Noemi/eqiRlZalcGk%3D
175,1525.0,4.25,367.0,30.16,471.0,20.78,241.0,1.9,191.0,18.15,255.0,MINNELLA Martina,https://www.fidal.it/atleta/MINNELLA-Martina/dKuRk5iibmM%3D
176,1298.0,4.15,343.0,32.44,325.0,21.69,177.0,2.0,221.0,16.9,232.0,DADA' Federica,https://www.fidal.it/atleta/DADA-Federica/eqiRlpehamM%3D
177,1185.0,3.48,196.0,31.56,379.0,22.55,125.0,1.9,191.0,20.25,294.0,SULLUTRONE Svieta,https://www.fidal.it/atleta/SULLUTRONE-Svieta/gK2RkpWfb2s%3D
178,1102.0,4.14,340.0,30.9,421.0,23.26,89.0,1.55,98.0,12.68,154.0,CRIFO' Sara,https://www.fidal.it/atleta/CRIFO-Sara/dK2RlJKha2U%3D
