,punti TOT,lungo,lungo p,200m,200m p,100Hs_h84-8.50,100Hs_h84-8.50 p,asta,asta p,giavellotto_600g,giavellotto_600g p,atleta,link_atleta
19,3361.0,5.18,609.0,27.06,707.0,14.52,906.0,3.6,803.0,22.55,336.0,ZOTTI Lucia,https://www.fidal.it/atleta/ZOTTI-Lucia/eaqRkpmkb2Q%3D
20,3360.0,6.1,880.0,26.19,781.0,14.11,963.0,2.0,221.0,32.05,515.0,SALA Chiara,https://www.fidal.it/atleta/SALA-Chiara/dKAAARlJOgb2Y%3D
21,3354.0,5.72,765.0,26.82,727.0,14.76,874.0,2.3,315.0,40.29,673.0,GENERALI Anna,https://www.fidal.it/atleta/GENERALI-Anna/gKiRlZOoa2g%3D
22,3352.0,5.69,756.0,26.69,738.0,14.77,872.0,2.8,488.0,31.15,498.0,RUSTIGNOLI Barbara,https://www.fidal.it/atleta/RUSTIGNOLI-Barbara/eqiRk5SiaGg%3D
23,3346.0,5.86,807.0,25.44,847.0,14.92,852.0,2.4,348.0,30.82,492.0,FERRIGHETTO Anna,https://www.fidal.it/atleta/FERRIGHETTO-Anna/eKmRlJOgamk%3D
24,3333.0,5.27,634.0,28.46,595.0,16.0,714.0,3.5,761.0,38.02,629.0,OLGIATI Laura,https://www.fidal.it/atleta/OLGIATI-Laura/dq2Rk5SnaGo%3D
25,3333.0,5.82,795.0,25.55,837.0,15.18,818.0,2.3,315.0,34.79,568.0,NICOLA Silvia,https://www.fidal.it/atleta/NICOLA-Silvia/dKAAARk5qjbWc%3D
26,3305.0,4.93,540.0,25.35,855.0,16.64,638.0,2.8,488.0,46.04,784.0,CERIBELLI Giulia,https://www.fidal.it/atleta/CERIBELLI-Giulia/f6iRlpmjbWc%3D
27,3298.0,6.33,953.0,26.48,756.0,14.77,872.0,2.4,348.0,24.28,369.0,ALIVENTI Martina,https://www.fidal.it/atleta/ALIVENTI-Martina/e6qRkpSgaGc%3D
28,3292.0,5.42,677.0,26.94,717.0,15.33,799.0,3.55,782.0,21.51,317.0,DALLAPORTA Lara,https://www.fidal.it/atleta/DALLAPORTA-Lara/d6iRk5OnbGM%3D
29,3290.0,5.05,573.0,28.74,574.0,17.88,501.0,4.35,1131.0,31.82,511.0,SEMERARO Francesca,https://www.fidal.it/atleta/SEMERARO-Francesca/hK2RkpKkcWg%3D
30,3286.0,5.33,651.0,29.58,512.0,16.33,674.0,4.1,1018.0,27.6,431.0,MARZENTA Letizia,https://www.fidal.it/atleta/MARZENTA-Letizia/faiSk5OhcGY%3D
31,3279.0,5.58,723.0,27.22,694.0,14.8,868.0,3.0,563.0,27.6,431.0,MAZZILLI Silvia,https://www.fidal.it/atleta/MAZZILLI-Silvia/dqiRk5uocGs%3D
32,3266.0,5.73,768.0,25.54,838.0,14.16,956.0,1.9,191.0,31.91,513.0,CALGARINI Chiara,https://www.fidal.it/atleta/CALGARINI-Chiara/eqAAARkpKjcWM%3D
33,3260.0,5.9,819.0,26.09,789.0,14.38,925.0,2.3,315.0,26.58,412.0,ECCLI Isabel,https://www.fidal.it/atleta/ECCLI-Isabel/iaiRk5Snb2U%3D
34,3232.0,5.28,637.0,27.07,706.0,16.01,713.0,3.2,641.0,33.05,535.0,AGNOLETTO Arianna,https://www.fidal.it/atleta/AGNOLETTO-Arianna/eauRkpmlbmg%3D
35,3214.0,6.1,880.0,26.27,774.0,15.23,811.0,2.0,221.0,32.71,528.0,MORESCO Sarah,https://www.fidal.it/atleta/MORESCO-Sarah/dKAAARlJOjcWk%3D
