,punti TOT,100m,100m p,800m,800m p,atleta,link_atleta
270,1660.0,14.78,871.0,142.53,789.0,SALGARELLA Ada,https://www.fidal.it/atleta/SALGARELLA-Ada/eayRkpilbWg%3D
271,1659.0,25.43,848.0,140.92,811.0,COSTAMAGNA Sara,https://www.fidal.it/atleta/COSTAMAGNA-Sara/dKyRlJWibGw%3D
272,1659.0,25.4,850.0,141.05,809.0,MARSIGLIO Silvia,https://www.fidal.it/atleta/MARSIGLIO-Silvia/eKiRlJWgbGo%3D
273,1659.0,25.81,814.0,138.42,845.0,GADALETA Dalila teresa,https://www.fidal.it/atleta/GADALETA-Dalila-teresa/hamRkpOhbWM%3D
274,1658.0,26.59,746.0,133.64,912.0,RICCI Marina,https://www.fidal.it/atleta/RICCI-Marina/dKAAARk5mkamk%3D
275,1658.0,13.09,754.0,134.18,904.0,ANDRIGO Angela,https://www.fidal.it/atleta/ANDRIGO-Angela/eKqRk5Kkamg%3D
276,1658.0,14.2,950.0,148.78,708.0,PORFIRI Sara,https://www.fidal.it/atleta/PORFIRI-Sara/e6iRk5Woa2M%3D
277,1657.0,14.8,868.0,142.55,789.0,MAZZILLI Silvia,https://www.fidal.it/atleta/MAZZILLI-Silvia/dqiRk5uocGs%3D
278,1657.0,14.44,917.0,146.29,740.0,STERPETTI Angela,https://www.fidal.it/atleta/STERPETTI-Angela/f6iRlpahaGk%3D
279,1657.0,25.59,833.0,139.97,824.0,LUCENTINI Valeria,https://www.fidal.it/atleta/LUCENTINI-Valeria/eKiRlJWgbWs%3D
280,1657.0,12.76,812.0,138.45,845.0,SCORCELLETTI Sofia,https://www.fidal.it/atleta/SCORCELLETTI-Sofia/e6mRkpKhcWo%3D
281,1656.0,12.6,840.0,140.54,816.0,CITTERIO Beatrice,https://www.fidal.it/atleta/CITTERIO-Beatrice/dq2RlJijaWg%3D
282,1655.0,25.92,804.0,137.98,851.0,CAPACCI Lisa,https://www.fidal.it/atleta/CAPACCI-Lisa/famRkpOhcWY%3D
283,1654.0,14.59,897.0,144.99,757.0,DANI Giulia,https://www.fidal.it/atleta/DANI-Giulia/eKyRk5ShcGo%3D
284,1653.0,26.23,777.0,136.17,876.0,MARANGONI Silvia,https://www.fidal.it/atleta/MARANGONI-Silvia/drKRk5KkbGk%3D
285,1653.0,12.82,801.0,137.95,852.0,POMPEI Martina,https://www.fidal.it/atleta/POMPEI-Martina/f6yRkpKibGM%3D
286,1651.0,15.05,835.0,140.57,816.0,PERETTO Francesca,https://www.fidal.it/atleta/PERETTO-Francesca/dKAAARlJOfbGc%3D
287,1649.0,26.42,761.0,135.37,888.0,LEGGERINI Alice,https://www.fidal.it/atleta/LEGGERINI-Alice/dqqRkpKgbWQ%3D
288,1649.0,26.72,735.0,133.53,914.0,BUSATTO Anna,https://www.fidal.it/atleta/BUSATTO-Anna/eKyRkpioa2Q%3D
289,1649.0,25.88,808.0,138.7,841.0,BERTANI Letizia,https://www.fidal.it/atleta/BERTANI-Letizia/erGRkpaiamk%3D
290,1648.0,27.69,655.0,128.05,993.0,STANISSA Giada,https://www.fidal.it/atleta/STANISSA-Giada/eauRk5KocWg%3D
291,1648.0,12.42,873.0,143.63,775.0,COLLU Marta,https://www.fidal.it/atleta/COLLU-Marta/iKyRkpKlbmc%3D
292,1648.0,26.27,774.0,136.36,874.0,DIALLO Mamadou binta,https://www.fidal.it/atleta/DIALLO-Mamadou-binta/e6uRkpKnb2s%3D
293,1648.0,14.71,880.0,144.18,768.0,MONFARDINI Erica,https://www.fidal.it/atleta/MONFARDINI-Erica/dq2Rk5ufbGs%3D
294,1647.0,13.29,720.0,132.6,927.0,GIUSTI Greta,https://www.fidal.it/atleta/GIUSTI-Greta/fayRkpamamg%3D
295,1647.0,24.52,931.0,148.17000000000002,716.0,MANFREDINI Rita,https://www.fidal.it/atleta/MANFREDINI-Rita/eqyRkpeob2s%3D
296,1645.0,23.96,985.0,152.62,660.0,FIORESE Beatrice,https://www.fidal.it/atleta/FIORESE-Beatrice/eK6RkpSocGU%3D
297,1645.0,13.32,715.0,132.41,930.0,CASTELLANI Cecilia,https://www.fidal.it/atleta/CASTELLANI-Cecilia/fqmRkpWibGY%3D
298,1644.0,27.51,670.0,129.37,974.0,MUCIACCIA Alessia,https://www.fidal.it/atleta/MUCIACCIA-Alessia/hamRkpOhb2s%3D
299,1644.0,14.65,888.0,145.08,756.0,HOLZER Astrid,https://www.fidal.it/atleta/HOLZER-Astrid/iaiRkpSjcWY%3D
300,1644.0,25.93,803.0,138.75,841.0,ROTA Giulia cristina,https://www.fidal.it/atleta/ROTA-Giulia-cristina/dq2RlZuoa2g%3D
301,1643.0,12.33,890.0,145.32,753.0,SCHIAVI Simona,https://www.fidal.it/atleta/SCHIAVI-Simona/daiRk5Woa2c%3D
302,1643.0,14.94,850.0,142.26,793.0,ACETI Anisia,https://www.fidal.it/atleta/ACETI-Anisia/dqiRlJugbGc%3D
303,1643.0,27.45,675.0,129.76,968.0,PRAZZA Giorgia,https://www.fidal.it/atleta/PRAZZA-Giorgia/h7GRkpOfb2s%3D
304,1642.0,26.18,781.0,137.24,861.0,DAMBRUOSO Ludovica,https://www.fidal.it/atleta/DAMBRUOSO-Ludovica/eK6Rk5igbWs%3D
305,1642.0,11.42,1066.0,159.75,576.0,AMIDEI Martina,https://www.fidal.it/atleta/AMIDEI-Martina/dK6RlJijcGM%3D
306,1641.0,12.34,888.0,145.3,753.0,BAGOSSI Nicoletta,https://www.fidal.it/atleta/BAGOSSI-Nicoletta/dqAAARlpuia2Y%3D
307,1641.0,13.45,693.0,131.14,948.0,GUISO Paolina,https://www.fidal.it/atleta/GUISO-Paolina/f6iRlpufamQ%3D
308,1640.0,11.91,970.0,151.85,670.0,BURATTIN Ilaria,https://www.fidal.it/atleta/BURATTIN-Ilaria/dq2Rk5OncWU%3D
309,1640.0,27.14,700.0,131.72,940.0,BUCAIDA Maria,https://www.fidal.it/atleta/BUCAIDA-Maria/h6iRlZOgcWg%3D
310,1640.0,12.46,866.0,143.66,774.0,SALERNO Claudia,https://www.fidal.it/atleta/SALERNO-Claudia/dKyRk5qmaWg%3D
311,1640.0,14.54,903.0,146.51,737.0,DI NASSO Veronica,https://www.fidal.it/atleta/DI-NASSO-Veronica/dK6RlJWja2Y%3D
312,1640.0,13.34,711.0,132.49,929.0,MINIUTTI Alessia,https://www.fidal.it/atleta/MINIUTTI-Alessia/eK2Rk5KoamQ%3D
313,1639.0,26.61,745.0,134.92,894.0,FARINETTI Adele,https://www.fidal.it/atleta/FARINETTI-Adele/dK6Rl5Wna2c%3D
314,1639.0,25.62,831.0,141.14,808.0,CONDEMI Denise maria,https://www.fidal.it/atleta/CONDEMI-Denise-maria/dqmRl5WmaWg%3D
315,1638.0,24.81,904.0,146.75,734.0,FALDA Helen,https://www.fidal.it/atleta/FALDA-Helen/dK6RlZaoamc%3D
316,1638.0,14.76,874.0,144.46,764.0,ACETI Erica,https://www.fidal.it/atleta/ACETI-Erica/dqiRlZqkbGU%3D
317,1637.0,23.81,999.0,154.5,638.0,LUKUDO Raphaela boaheng,https://www.fidal.it/atleta/LUKUDO-Raphaela-boaheng/eqiRlpmkaGc%3D
318,1637.0,12.62,837.0,141.74,800.0,GOLLIN Gloria,https://www.fidal.it/atleta/GOLLIN-Gloria/eK6RkpSjaGM%3D
319,1637.0,14.02,976.0,152.58,661.0,GENERO Chiara,https://www.fidal.it/atleta/GENERO-Chiara/dKyRk5qgbWs%3D
320,1636.0,14.76,874.0,144.58,762.0,SCARDOVI Rebecca,https://www.fidal.it/atleta/SCARDOVI-Rebecca/eqAAARkpOmamc%3D
321,1636.0,14.39,924.0,148.45,712.0,TOSETTO Elisa,https://www.fidal.it/atleta/TOSETTO-Elisa/dK6RlZugaGM%3D
322,1636.0,24.3,952.0,150.71,684.0,BERTI Alessia,https://www.fidal.it/atleta/BERTI-Alessia/faiRk5encGU%3D
323,1635.0,25.02,885.0,145.51,750.0,GALLOTTI Anna,https://www.fidal.it/atleta/GALLOTTI-Anna/dq2RlpWkbWc%3D
324,1635.0,24.98,889.0,145.85,746.0,VENETO Francesca,https://www.fidal.it/atleta/VENETO-Francesca/hKmRkpWjaWg%3D
325,1634.0,26.71,736.0,134.62,898.0,MARTIGNANI Emma,https://www.fidal.it/atleta/MARTIGNANI-Emma/eqyRkpekamM%3D
326,1634.0,14.64,890.0,145.96,744.0,GUIDOLIN Lisa,https://www.fidal.it/atleta/GUIDOLIN-Lisa/eK6RkpOibWQ%3D
327,1634.0,26.64,742.0,135.08,892.0,RUGGIERO Silvia,https://www.fidal.it/atleta/RUGGIERO-Silvia/f6yRlJKlaGc%3D
328,1633.0,12.4,877.0,145.07,756.0,DI LORETO Teresa,https://www.fidal.it/atleta/DI-LORETO-Teresa/gKiRlZajaGo%3D
329,1632.0,25.59,833.0,141.85,799.0,MLADENIC Martina,https://www.fidal.it/atleta/MLADENIC-Martina/dKqRkpKncGk%3D
330,1632.0,14.88,858.0,143.68,774.0,PIRCHER Linda maria,https://www.fidal.it/atleta/PIRCHER-Linda-maria/iaiRk5ShcGQ%3D
331,1632.0,15.14,823.0,141.07,809.0,GRANDI Vittoria,https://www.fidal.it/atleta/GRANDI-Vittoria/eqmRkpmhbGo%3D
332,1631.0,15.02,839.0,142.36,792.0,MOLINERIS Irene,https://www.fidal.it/atleta/MOLINERIS-Irene/dKyRlJambGQ%3D
333,1631.0,12.74,815.0,140.53,816.0,LOMBARDI Silvia,https://www.fidal.it/atleta/LOMBARDI-Silvia/eqiRk5mia2g%3D
334,1630.0,27.24,692.0,131.81,938.0,TROTTA Elisa,https://www.fidal.it/atleta/TROTTA-Elisa/gK2RkpWjbmQ%3D
335,1630.0,26.81,728.0,134.36,902.0,BERARDI Alice,https://www.fidal.it/atleta/BERARDI-Alice/dqqRlpqlamk%3D
336,1630.0,14.93,851.0,143.32,779.0,MARAN Elena,https://www.fidal.it/atleta/MARAN-Elena/eqiRlJeka2o%3D
337,1630.0,13.54,1044.0,158.88,586.0,TAINI Silvia,https://www.fidal.it/atleta/TAINI-Silvia/dqqRl5Sfa2k%3D
338,1630.0,12.74,815.0,140.62,815.0,CAMPINI Silvia,https://www.fidal.it/atleta/CAMPINI-Silvia/damRkpenaWw%3D
339,1630.0,14.75,875.0,145.17,755.0,PAGANELLI Cristina,https://www.fidal.it/atleta/PAGANELLI-Cristina/f6iRkpikcWo%3D
340,1629.0,25.47,844.0,142.85,785.0,LAZZARIN Iris,https://www.fidal.it/atleta/LAZZARIN-Iris/dq2Rl5OncWo%3D
341,1628.0,26.29,772.0,137.6,856.0,DATTENA Fatima,https://www.fidal.it/atleta/DATTENA-Fatima/iKmRkpuibGc%3D
342,1627.0,25.68,825.0,141.57,802.0,TIBONI Tea,https://www.fidal.it/atleta/TIBONI-Tea/dqiRlpOhcGk%3D
343,1627.0,12.23,909.0,148.03,718.0,CALVARUSO Alice,https://www.fidal.it/atleta/CALVARUSO-Alice/f62RkpakbmY%3D
344,1627.0,13.36,1071.0,161.45,556.0,POLZONETTI Celeste,https://www.fidal.it/atleta/POLZONETTI-Celeste/dq2RmZSlaWk%3D
345,1626.0,25.42,849.0,143.45,777.0,PASTORE Isabella,https://www.fidal.it/atleta/PASTORE-Isabella/dKAAARlJSfcGg%3D
346,1626.0,24.87,899.0,147.32,727.0,TESSAROLO Zoe,https://www.fidal.it/atleta/TESSAROLO-Zoe/eK6RkpikbmM%3D
347,1626.0,26.88,722.0,134.23,904.0,LONGA Maria vittoria,https://www.fidal.it/atleta/LONGA-Maria-vittoria/f6yRkpukbmU%3D
348,1626.0,26.05,793.0,139.33,833.0,VENERUCCI Barbara,https://www.fidal.it/atleta/VENERUCCI-Barbara/dq2Rk5SlcWU%3D
349,1625.0,11.95,962.0,152.4,663.0,MAMELI Giorgia,https://www.fidal.it/atleta/MAMELI-Giorgia/dquRk5WocWs%3D
350,1625.0,12.58,844.0,143.19,781.0,BALORDI Sara,https://www.fidal.it/atleta/BALORDI-Sara/eq2RkpOna2w%3D
351,1625.0,14.73,878.0,145.79,747.0,CARPINELLO Beatrice,https://www.fidal.it/atleta/CARPINELLO-Beatrice/dKyRlJSiaGc%3D
352,1624.0,15.89,728.0,134.78,896.0,MORELLI Chiara,https://www.fidal.it/atleta/MORELLI-Chiara/drKRkpmibGc%3D
353,1624.0,26.06,792.0,139.34,832.0,GNOATO Sophie,https://www.fidal.it/atleta/GNOATO-Sophie/dq2Rk5OncGo%3D
354,1624.0,25.95,802.0,140.11,822.0,VATTOLO Beatrice,https://www.fidal.it/atleta/VATTOLO-Beatrice/eayRk5iicGo%3D
355,1623.0,14.09,966.0,152.9,657.0,NEBOLI Alessandra,https://www.fidal.it/atleta/NEBOLI-Alessandra/dqqRlpqjb2s%3D
