punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
657,3.0,SPADA Stefania,1998,AF,ANA ATL.FELTRE,2 se- 1,Agordo,2014-10-18,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
627,2.9,SPADA Stefania,1998,AF,ANA ATL.FELTRE,14 qu- 2,Rieti,2014-06-21,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
597,2.8,SPADA Stefania,1998,AF,ANA ATL.FELTRE,4 su- 1,Vicenza,2014-05-04,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
597,2.8,SPADA Stefania,1998,AF,ANA ATL.FELTRE,4 su- 1,Caorle,2014-06-01,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
582,3.45,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,1 se- 1,Vicenza,2013-10-26,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
569,3.4,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,12 su- 1,Jesolo,2013-10-12,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
569,3.4,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,1 se- 1,Agordo,2014-06-28,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
567,2.7,SPADA Stefania,1998,AF,ANA ATL.FELTRE,4 su- 1,Marcon,2014-06-15,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
567,2.7,SPADA Stefania,1998,AF,ANA ATL.FELTRE,6 su- 1,Padova,2014-09-21,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
543,3.3,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,1 se- 1,Belluno,2013-08-22,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
543,3.3,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,10 su- 1,Vicenza,2014-05-10,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
538,2.6,SPADA Stefania,1998,AF,ANA ATL.FELTRE,2 se- 1,Feltre,2014-04-13,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
538,2.6,SPADA Stefania,1998,AF,ANA ATL.FELTRE,4 su- 1,Vicenza,2015-05-03,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,3.2,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,3 se- 1,Caprino Veronese,2013-10-05,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,3.2,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,2 se- 1,Belluno,2014-08-21,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,3.2,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,3 su- 1,Caorle,2014-05-31,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,3.2,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,5 su- 1,Vicenza,2014-05-03,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,3.2,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,6 su- 1,Rossano Veneto,2014-09-07,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
517,3.2,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,1 se- 1,Feltre,2014-04-13,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
508,2.5,SPADA Stefania,1998,AF,ANA ATL.FELTRE,2 su- 1,Borgo Valsugana,2015-05-31,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
508,2.5,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,1 se- 1,Agordo,2015-05-16,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
508,2.5,SPADA Stefania,1998,AF,ANA ATL.FELTRE,17 su- 1,Rovigo,2015-06-07,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
504,3.15,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,1 su- 1,Brugnera,2013-07-27,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
493,2.45,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2015-10-18,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
492,3.1,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,1 se- 1,Agordo,2014-10-18,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
479,2.4,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2015-09-12,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
479,2.4,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,1 se- 1,Agordo,2015-07-02,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
479,2.4,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,3 su- 1,Marostica,2015-09-27,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
479,2.4,SPADA Stefania,1998,CF,ANA ATL.FELTRE,3 su- 1,Caprino Veronese,2013-09-28,https://www.fidal.it/atleta/SPADA-Stefania/eKmRlJOkamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
466,3.0,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,9 su- 1,Marcon,2014-06-14,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
449,2.3,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,2 se- 1,Feltre,2016-04-02,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
440,2.9,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,3 su- 1,Abano Terme,2013-07-05,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
440,2.9,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,9 su- 1,Trento,2014-10-04,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
420,2.2,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,5 su- 1,Belluno,2015-05-30,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
420,2.2,ZAPPIA Laura,2001,CF,ANA ATL.FELTRE,2 se- 1,Feltre,2015-05-12,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
414,2.8,ZAPPIA Matteo,1998,AM,ANA ATL.FELTRE,8 su- 1,Padova,2014-09-20,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
389,2.7,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,8 su- 1,Bovolone,2023-04-30,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
389,2.7,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,5 su- 1,Lana,2022-09-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
376,2.65,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,7 su- 1,Bassano Del Grappa,2013-06-02,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
363,2.6,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,7 su- 1,Lana,2022-04-24,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
363,2.6,DALLA CORTE Matteo,2001,SM,ANA ATL.FELTRE,9 su- 1,Bovolone,2024-05-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
