punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
984,1.76,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,1 su- 1,Caorle,2022-05-21,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
974,1.75,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,6 fi- 1,Gerusalemme,2022-07-06,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
965,1.74,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,1 su- 1,San Vendemiano,2023-06-14,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
965,1.74,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,3 su- 1,Modena,2023-07-12,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
965,1.74,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,7 qu- 1,Gerusalemme,2022-07-04,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
965,1.74,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,2 se- 2,Milano,2022-06-18,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
936,1.71,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,3 su- 1,Caorle,2023-05-27,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
936,1.71,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,2 su- 1,Arco,2023-05-07,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
926,1.7,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,1 su- 1,Modena,2022-09-07,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
926,1.7,BASSANI Hilary,1992,AF,ANA ATL.FELTRE,1 se- 1,Szombathely,2008-06-25,https://www.fidal.it/atleta/BASSANI-Hilary/eKmRlJKmbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
916,1.69,BASSANI Hilary,1992,AF,ANA ATL.FELTRE,2 fi- 1,Lignano Sabbiadoro,2008-09-25,https://www.fidal.it/atleta/BASSANI-Hilary/eKmRlJKmbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
916,1.69,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,4 se- 2,Padova,2022-05-14,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
916,1.69,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,1 su- 1,Cleveland,2023-05-05,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
914,2.0,VENDRAME Marco,1995,JM,ANA ATL.FELTRE,1 se- 1,Agordo,2013-09-25,https://www.fidal.it/atleta/VENDRAME-Marco/eKmRlJOkcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
907,1.68,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,1 su- 1,Feltre,2022-06-25,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
897,1.67,BASSANI Hilary,1992,CF,ANA ATL.FELTRE,1 su- 1,Belluno,2007-04-21,https://www.fidal.it/atleta/BASSANI-Hilary/eKmRlJKmbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
897,1.67,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,1 su- 1,Verona,2021-09-11,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
888,1.97,TAMBURLIN Piero,1996,AM,ANA ATL.FELTRE,3 su- 1,Vicenza,2013-05-19,https://www.fidal.it/atleta/TAMBURLIN-Piero/eKmRlJSkcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
888,1.66,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,4 su- 1,Padova,2023-05-13,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
888,1.97,VENDRAME Marco,1995,JM,ANA ATL.FELTRE,5 su- 1,Gorizia,2013-06-27,https://www.fidal.it/atleta/VENDRAME-Marco/eKmRlJOkcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
888,1.97,VENDRAME Marco,1995,JM,ANA ATL.FELTRE,5 su- 1,Gorizia,2013-07-07,https://www.fidal.it/atleta/VENDRAME-Marco/eKmRlJOkcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
