prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
10.39,,10.39,0,COPPARI Saverio,1992,CM,ATL. STUDENTESCA CA.RI.RI,3 fi- 1,Ostia,2007-05-16,https://www.fidal.it/atleta/COPPARI-Saverio/f6iRmZmlbGU%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
10.33,,10.33,0,BONAVOLONTA' Dario,1992,CM,A.S.D.  ATL. MARANO,8 fi- 1,San Marcellino,2007-05-18,https://www.fidal.it/atleta/BONAVOLONTA-Dario/gKiRlpSlbmk%3D,https://www.fidal.it/societa/A-S-D--ATL--MARANO/NA019
10.22,,10.22,0,VISCIOTTI Cristiano,1992,CM,ASD BRUNI PUBBL. ATL. VOMANO,11 qu- 2,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/VISCIOTTI-Cristiano/gaiRk5imbmM%3D,https://www.fidal.it/societa/ASD-BRUNI-PUBBL--ATL--VOMANO/TE049
9.93,,9.93,0,MAURIZI Marco,1992,CM,URBE JUNIOR 1952,4 fi- 1,Ostia,2007-05-16,https://www.fidal.it/atleta/MAURIZI-Marco/f6iRmZOocWQ%3D,https://www.fidal.it/societa/URBE-JUNIOR-1952/RM015
9.82,,9.82,0,MANCONI Marco,1992,CM,AS ATLETICA MACOMER,3 su- 1,Oristano,2007-04-15,https://www.fidal.it/atleta/MANCONI-Marco/iKiSmJunbmM%3D,https://www.fidal.it/societa/AS-ATLETICA-MACOMER/NU171
9.64,,9.64,0,TARAS Nicola,1992,CM,ASC ATL SAN GIOVANNI,3 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/TARAS-Nicola/iKiSmZuob2c%3D,https://www.fidal.it/societa/ASC-ATL-SAN-GIOVANNI/SS021
9.26,,9.26,0,PODDA Davide,1992,CM,SS SULCIS MAB SERVICE,4 su- 1,Oristano,2007-04-15,https://www.fidal.it/atleta/PODDA-Davide/iKiSmZufa2w%3D,https://www.fidal.it/societa/SS-SULCIS-MAB-SERVICE/CA129
9.02,,9.02,0,PODDA Davide,1992,CM,SS SULCIS MAB SERVICE,4 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/PODDA-Davide/iKiSmZufa2w%3D,https://www.fidal.it/societa/SS-SULCIS-MAB-SERVICE/CA129
8.41,,8.41,0,DIANA Gabriele,1992,CM,A.S. ATLETICA 92 VENTIMIGLIA,3 se- 1,Genova,2007-05-17,https://www.fidal.it/atleta/DIANA-Gabriele/daiUlpOicGg%3D,https://www.fidal.it/societa/A-S--ATLETICA-92-VENTIMIGLIA/IM065
8.34,,8.34,0,DIANA Gabriele,1992,CM,A.S. ATLETICA 92 VENTIMIGLIA,1 se- 1,Camporosso,2007-04-18,https://www.fidal.it/atleta/DIANA-Gabriele/daiUlpOicGg%3D,https://www.fidal.it/societa/A-S--ATLETICA-92-VENTIMIGLIA/IM065
6.58,,6.58,0,MINUTOLI Giovanni,1992,CM,A.S. DIL. MESSINA 2000,10 su- 1,Catania,2007-04-28,https://www.fidal.it/atleta/MINUTOLI-Giovanni/h6iRlpifa2Y%3D,https://www.fidal.it/societa/A-S--DIL--MESSINA-2000/ME114
16.94,,16.94,0,MORTINI Andrea,1990,AM,ASS.ATL.LIBERTAS ORVIETO,1 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/MORTINI-Andrea/fqiRk5qjcGY%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
16.52,,16.52,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,2 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
16.48,,16.48,0,FIORE Federico,1990,AM,ATL. STUDENTESCA CA.RI.RI,3 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/FIORE-Federico/f6iRl5KjcWw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
16.34,,16.34,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 su- 1,Reggio Calabria,2007-09-27,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
16.31,,16.31,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 fi- 1,Cosenza,2007-04-29,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
16.15,,16.15,0,SOLAGNA Stefano,1990,AM,LIB. ATL. VILLANUOVA '70,1 se- 1,Cremona,2007-09-30,https://www.fidal.it/atleta/SOLAGNA-Stefano/dqqRl5Ojamo%3D,https://www.fidal.it/societa/LIB--ATL--VILLANUOVA-70/BS198
16.07,,16.07,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,1 su- 1,Genova,2007-05-13,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
16.05,,16.05,0,MORTINI Andrea,1990,AM,ASS.ATL.LIBERTAS ORVIETO,1 se- 1,Terni,2007-10-20,https://www.fidal.it/atleta/MORTINI-Andrea/fqiRk5qjcGY%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
15.99,,15.99,0,SCARRONE Massimo,1991,AM,UNIVERSALE ALBA DOCILIA,2 su- 1,Savona,2007-06-26,https://www.fidal.it/atleta/SCARRONE-Massimo/daiRk5Wmbmg%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
15.96,,15.96,0,CASELLI Pietro,1990,AM,A.S. LA FRATELLANZA 1874,1 su- 1,Imola,2007-05-13,https://www.fidal.it/atleta/CASELLI-Pietro/eqiRlZujcWw%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
