prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
62.82,,62.82,0,ORLANDO Roberto,1995,JM,ASD CSU IDEATLETICA AURORA F,1 su- 1,Isernia,2014-08-30,https://www.fidal.it/atleta/ORLANDO-Roberto/gK2RkpKlbGw%3D,https://www.fidal.it/societa/ASD-CSU-IDEATLETICA-AURORA-F/SA257
62.81,,62.81,0,GOELLER Hubert,1977,SM35,ATHLETIC CLUB 96 AE SPA,9 qu- 1,Rovereto,2014-07-18,https://www.fidal.it/atleta/GOELLER-Hubert/iaiRkpKkbGg%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
62.65,,62.65,0,ROS Massimo,1996,JM,ATLETICA BRUGNERA FRIULINTAGLI,1 se- 1,Conegliano,2014-03-09,https://www.fidal.it/atleta/ROS-Massimo/eaqRkpqjamo%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
62.65,,62.65,0,GOELLER Hubert,1977,SM35,ATHLETIC CLUB 96 AE SPA,1 su- 1,Arco,2014-07-05,https://www.fidal.it/atleta/GOELLER-Hubert/iaiRkpKkbGg%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
62.54,,62.54,0,ROS Massimo,1996,JM,ATLETICA BRUGNERA FRIULINTAGLI,1 su- 1,Spilimbergo,2014-05-10,https://www.fidal.it/atleta/ROS-Massimo/eaqRkpqjamo%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
62.42,,62.42,0,BOSANI Davide,1989,SM,PRO SESTO ATL.,1 su- 1,Bergamo,2014-02-09,https://www.fidal.it/atleta/BOSANI-Davide/dq2RkpWlcGU%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
62.42,,62.42,0,BETTIN Juliano,1985,SM,ATLETICA BRUGNERA FRIULINTAGLI,2 su- 1,Spilimbergo,2014-05-10,https://www.fidal.it/atleta/BETTIN-Juliano/eKiRlJKlbmo%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
62.4,,62.40,0,CROCETTI Luca,1988,SM,ATLETICA FIRENZE MARATHON S.S.,10 qu- 1,Rovereto,2014-07-18,https://www.fidal.it/atleta/CROCETTI-Luca/faiRm5WkbWQ%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
62.38,,62.38,0,MANCINI Giacomo,1986,SM,OLIMPUS SAN MARINO ATLETICA,1 su- 1,Bologna,2014-05-18,https://www.fidal.it/atleta/MANCINI-Giacomo/eqiRlJaoaWU%3D,https://www.fidal.it/societa/OLIMPUS-SAN-MARINO-ATLETICA/SM278
62.36,,62.36,0,BOSANI Davide,1989,SM,PRO SESTO ATL.,2 su- 1,Orvieto,2014-09-27,https://www.fidal.it/atleta/BOSANI-Davide/dq2RkpWlcGU%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
62.34,,62.34,0,RICCO Marco,1981,SM,ASD CSU IDEATLETICA AURORA F,1 fi- 1,Marano Di Napoli,2014-01-19,https://www.fidal.it/atleta/RICCO-Marco/gKiRk5afaGs%3D,https://www.fidal.it/societa/ASD-CSU-IDEATLETICA-AURORA-F/SA257
62.34,,62.34,0,GOELLER Hubert,1977,SM35,ATHLETIC CLUB 96 AE SPA,8 fi- 1,Rovereto,2014-07-19,https://www.fidal.it/atleta/GOELLER-Hubert/iaiRkpKkbGg%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
62.31,,62.31,0,PUCCINI Giacomo,1989,SM,ATL. VIRTUS  CR LUCCA,1 su- 1,Campi Bisenzio,2014-06-28,https://www.fidal.it/atleta/PUCCINI-Giacomo/faiRm5ejaWc%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
62.25,,62.25,0,CALABRESE Carlo,1993,PM,ATL. ADEN  EXPRIVIA MOLFETTA,1 se- 1,Foggia,2014-07-02,https://www.fidal.it/atleta/CALABRESE-Carlo/hKqSmZOfamo%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
