prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
14.69,+3.3,14.69,0,KOVACS Kerstin,1991,AF,A.S.D.SSV BRIXEN LEICHTATHL.,1 fi- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/KOVACS-Kerstin/iaiRkpeiaGs%3D,https://www.fidal.it/societa/A-S-D-SSV-BRIXEN-LEICHTATHL-/BZ031
14.72,-1.2,14.72,0,SPADONI Daniela,1991,AF,CUS URBINO,1 su- 1,Fabriano,2007-07-15,https://www.fidal.it/atleta/SPADONI-Daniela/e6iRk5SkaWM%3D,https://www.fidal.it/societa/CUS-URBINO/PU003
14.72,+0.8,14.72,0,PALLARONI Elisa,1990,AF,ATL. PIACENZA,1 se- 1,Lodi,2007-09-16,https://www.fidal.it/atleta/PALLARONI-Elisa/eqiRlZalbWQ%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
14.72,+1.2,14.72,0,FEUDATARI Alessandra,1991,AF,A.ATL. INTERFLUMINA,6 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.73,-0.8,14.73,0,PALLARONI Elisa,1990,AF,ATL. PIACENZA,1 se- 2,Alessandria,2007-05-01,https://www.fidal.it/atleta/PALLARONI-Elisa/eqiRlZalbWQ%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
14.73,+2.6,14.73,0,STRATI Laura,1990,AF,GR.SP.DIL.SCOL MARCONI CASSOLA,1 su- 1,Treviso,2007-06-06,https://www.fidal.it/atleta/STRATI-Laura/eKiRlZKnaGs%3D,https://www.fidal.it/societa/GR-SP-DIL-SCOL-MARCONI-CASSOLA/VI632
14.73,+0.8,14.73,0,PALLARONI Elisa,1990,AF,ATL. PIACENZA,1 se- 2,Roma,2007-06-09,https://www.fidal.it/atleta/PALLARONI-Elisa/eqiRlZalbWQ%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
14.73,-0.5,14.73,0,RIPAMONTI Francesca,1990,AF,CAMELOT,2 se- 2,Chiari,2007-09-09,https://www.fidal.it/atleta/RIPAMONTI-Francesca/dquRkpSgcGY%3D,https://www.fidal.it/societa/CAMELOT/MI221
14.74,+1.3,14.74,0,BIANCHI BAZZI Sara elena,1991,AF,ATL. LECCO-COLOMBO COSTRUZ.,3 se- 1,Chiari,2007-06-16,https://www.fidal.it/atleta/BIANCHI-BAZZI-Sara-elena/dquRkpWkbGY%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
14.74,,14.74,0,STRATI Laura,1990,AF,GR.SP.DIL.SCOL MARCONI CASSOLA,3 se- 5,Bordeaux,2007-06-24,https://www.fidal.it/atleta/STRATI-Laura/eKiRlZKnaGs%3D,https://www.fidal.it/societa/GR-SP-DIL-SCOL-MARCONI-CASSOLA/VI632
14.74,+0.8,14.74,0,SQUASSABIA Ginevra,1990,AF,LIB. MANTOVA F.LE,2 se- 1,Lodi,2007-09-16,https://www.fidal.it/atleta/SQUASSABIA-Ginevra/dqiSl5Ska2U%3D,https://www.fidal.it/societa/LIB--MANTOVA-F-LE/MN257
14.75,-0.8,14.75,0,DIMONI Ambra,1990,AF,TEAM ALLIEVE 2006,5 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/DIMONI-Ambra/faiRm5igaGY%3D,https://www.fidal.it/societa/TEAM-ALLIEVE-2006/FI365
14.76,+0.0,14.76,0,FEUDATARI Alessandra,1991,AF,A.ATL. INTERFLUMINA,3 se- 1,Aosta,2007-07-08,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.76,-0.9,14.76,0,SQUASSABIA Ginevra,1990,AF,LIB. MANTOVA F.LE,1 su- 1,Salo,2007-09-01,https://www.fidal.it/atleta/SQUASSABIA-Ginevra/dqiSl5Ska2U%3D,https://www.fidal.it/societa/LIB--MANTOVA-F-LE/MN257
14.78,-0.5,14.78,0,STRATI Laura,1990,AF,GR.SP.DIL.SCOL MARCONI CASSOLA,1 se- 1,Vicenza,2007-05-12,https://www.fidal.it/atleta/STRATI-Laura/eKiRlZKnaGs%3D,https://www.fidal.it/societa/GR-SP-DIL-SCOL-MARCONI-CASSOLA/VI632
14.79,-2.2,14.79,0,DIMONI Ambra,1990,AF,TEAM ALLIEVE 2006,1 se- 2,Busto Arsizio,2007-06-09,https://www.fidal.it/atleta/DIMONI-Ambra/faiRm5igaGY%3D,https://www.fidal.it/societa/TEAM-ALLIEVE-2006/FI365
14.8,+0.6,14.80,0,RIPAMONTI Francesca,1990,AF,CAMELOT,1 se- 1,Besana Brianza,2007-09-12,https://www.fidal.it/atleta/RIPAMONTI-Francesca/dquRkpSgcGY%3D,https://www.fidal.it/societa/CAMELOT/MI221
14.81,-0.8,14.81,0,SQUASSABIA Ginevra,1990,AF,LIB. MANTOVA F.LE,2 se- 2,Alessandria,2007-05-01,https://www.fidal.it/atleta/SQUASSABIA-Ginevra/dqiSl5Ska2U%3D,https://www.fidal.it/societa/LIB--MANTOVA-F-LE/MN257
14.82,+1.1,14.82,0,RIPAMONTI Francesca,1990,AF,CAMELOT,2 se- 2,Donnas,2007-07-15,https://www.fidal.it/atleta/RIPAMONTI-Francesca/dquRkpSgcGY%3D,https://www.fidal.it/societa/CAMELOT/MI221
14.82,+1.2,14.82,0,GIOVANELLI Lara,1991,AF,MOLLIFICIO MODENESE CITTADELLA,7 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/GIOVANELLI-Lara/eqiRlZagbWg%3D,https://www.fidal.it/societa/MOLLIFICIO-MODENESE-CITTADELLA/MO054
14.83,+1.1,14.83,0,DIMONI Ambra,1990,AF,TEAM ALLIEVE 2006,1 se- 1,Lucca,2007-05-12,https://www.fidal.it/atleta/DIMONI-Ambra/faiRm5igaGY%3D,https://www.fidal.it/societa/TEAM-ALLIEVE-2006/FI365
14.83,-1.2,14.83,0,SPADONI Daniela,1991,AF,CUS URBINO,1 ba- 1,Osimo,2007-06-23,https://www.fidal.it/atleta/SPADONI-Daniela/e6iRk5SkaWM%3D,https://www.fidal.it/societa/CUS-URBINO/PU003
14.83,-0.8,14.83,0,SPADONI Daniela,1991,AF,CUS URBINO,1 fi- 1,Osimo,2007-06-23,https://www.fidal.it/atleta/SPADONI-Daniela/e6iRk5SkaWM%3D,https://www.fidal.it/societa/CUS-URBINO/PU003
14.84,-0.8,14.84,0,FEUDATARI Alessandra,1991,AF,A.ATL. INTERFLUMINA,2 fi- 1,Osimo,2007-06-23,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.85,,14.6,1,SPADONI Daniela,1991,AF,CUS URBINO,1 se- 1,Fano,2007-09-29,https://www.fidal.it/atleta/SPADONI-Daniela/e6iRk5SkaWM%3D,https://www.fidal.it/societa/CUS-URBINO/PU003
14.84,-1.5,14.84,0,FEUDATARI Alessandra,1991,AF,A.ATL. INTERFLUMINA,1 ba- 4,Cesenatico,2007-10-06,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.85,-0.6,14.85,0,FEUDATARI Alessandra,1991,AF,A.ATL. INTERFLUMINA,2 se- 1,Lecco,2007-05-12,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
