gara,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
Marcia_3000m,96025465.0,1600424:25,2.0,DOLCI Tatiana nelie,1993,CF,P.B.M. BOVISIO MASCIAGO,1 se- 1,Bergamo,2008-09-10,https://www.fidal.it/atleta/DOLCI-Tatiana-nelie/dq2Rk5qnaWU%3D,https://www.fidal.it/societa/P-B-M--BOVISIO-MASCIAGO/MI102
Marcia_5000m,1565.0,26:05,2.0,AINA Fabio,1966,SM50,AMATORI MASTERS NOVARA,1 su- 1,Mondovi',2020-09-26,https://www.fidal.it/atleta/AINA-Fabio/dKAAARk5inaGg%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
Marcia_5000m,1709.0,28:29,2.0,PIO Alberto,1952,SM65,AMATORI MASTERS NOVARA,2 su- 1,Mondovi',2020-09-26,https://www.fidal.it/atleta/PIO-Alberto/dqiRk5Sob2k%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
Marcia_5000m,1839.0,30:39,2.0,FISSORE Paolo diego,1955,SM65,A.S.D. ATL. FOSSANO '75,3 su- 1,Mondovi',2020-09-26,https://www.fidal.it/atleta/FISSORE-Paolo-diego/dKyRlJeicGs%3D,https://www.fidal.it/societa/A-S-D--ATL--FOSSANO-75/CN001
Marcia_5000m,1880.0,31:20,2.0,GERBALDO Gian maria,1955,SM65,A.S.D. ATL. FOSSANO '75,4 su- 1,Mondovi',2020-09-26,https://www.fidal.it/atleta/GERBALDO-Gian-maria/dKyRlJejb2k%3D,https://www.fidal.it/societa/A-S-D--ATL--FOSSANO-75/CN001
Marcia_5000m,-1.0,30:20.0931,2.0,FRULLA Francesca,1968,SF55,NUOVA PODISTICA LORETO,1 su- 1,Fermo,2023-05-06,https://www.fidal.it/atleta/FRULLA-Francesca/e6mRkpenaWo%3D,https://www.fidal.it/societa/NUOVA-PODISTICA-LORETO/AN017
Marcia_5000m,-1.0,32:50.7442,2.0,CINELLA Francesca,2003,PF,ATL. AVIS MACERATA,2 su- 1,Fermo,2023-05-06,https://www.fidal.it/atleta/CINELLA-Francesca/e6uRkpKkbmw%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,2346.0,39:06,2.0,SCHWAZER Alex,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/SCHWAZER-Alex/iaiRkpWmaWc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
Marcia_10km,2398.0,39:58,2.0,GIUPPONI Matteo,1988,SM,C.S. CARABINIERI SEZ. ATLETICA,5 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/GIUPPONI-Matteo/dqmRlpmgaGs%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
Marcia_10km,2452.0,40:52,2.0,TONTODONATI Federico,1989,SM,C.U.S. TORINO,16 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/TONTODONATI-Federico/dK6RlJmkcGM%3D,https://www.fidal.it/societa/C-U-S--TORINO/TO001
Marcia_10km,2468.0,41:08,2.0,NKOULOUKIDI Jean jacques,1982,SM,G.A. FIAMME GIALLE,18 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/NKOULOUKIDI-Jean-jacques/f6iRlJKlaGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2468.0,41:08,2.0,RUBINO Giorgio,1986,SM,G.A. FIAMME GIALLE,27 su- 1,Saransk,2012-05-12,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2470.0,41:10,2.0,DI BARI Vito,1990,PM,G.A. FIAMME GIALLE,1 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/DI-BARI-Vito/hKiSmZmib2Q%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2483.0,41:23,2.0,RUBINO Giorgio,1986,SM,G.A. FIAMME GIALLE,1 su- 1,Andria,2012-03-11,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2492.0,41:32,2.0,DE LUCA Marco,1981,SM,G.A. FIAMME GIALLE,21 se- 1,Lugano,2012-03-18,https://www.fidal.it/atleta/DE-LUCA-Marco/f6iRkpWgaGs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2495.0,41:35,2.0,GIUPPONI Matteo,1988,SM,C.S. CARABINIERI SEZ. ATLETICA,40 su- 1,Saransk,2012-05-12,https://www.fidal.it/atleta/GIUPPONI-Matteo/dqmRlpmgaGs%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
Marcia_10km,2524.0,42:04,2.0,DE LUCA Marco,1981,SM,G.A. FIAMME GIALLE,2 su- 1,Grottammare,2012-10-28,https://www.fidal.it/atleta/DE-LUCA-Marco/f6iRkpWgaGs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
Marcia_10km,2529.0,42:09,2.0,DI BARI Vito,1990,PM,G.A. FIAMME GIALLE,1 su- 1,Molfetta,2012-04-29,https://www.fidal.it/atleta/DI-BARI-Vito/hKiSmZmib2Q%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
