gara,prestazione,vento,tempo,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
5000m,55640.0,,15:27:20,SCHEGGIA Valerio,1985,SM,S.E.F. STAMURA ANCONA A.S.D.,1 su- 1,Fano,2010-06-05,https://www.fidal.it/atleta/SCHEGGIA-Valerio/e6iRkpamamk%3D,https://www.fidal.it/societa/S-E-F--STAMURA-ANCONA-A-S-D-/AN010
5000m,75251.0,,20:54:11,D'APRANO Luigi,1974,SM40,C.B.SPORT-PODISTICA CARAMAGNA,1 se- 1,Saluzzo,2018-07-11,https://www.fidal.it/atleta/D-APRANO-Luigi/dKyRlJqib2Y%3D,https://www.fidal.it/societa/C-B-SPORT-PODISTICA-CARAMAGNA/CN043
600m,-1.0,,9999999999,RICCIARDI Federico,1997,EM,ATL. SAVIGLIANO A.S.D.,5 se- 1,Bra,2005-06-05,https://www.fidal.it/atleta/RICCIARDI-Federico/dKyRk5qoaGw%3D,https://www.fidal.it/societa/ATL--SAVIGLIANO-A-S-D-/CN011
600m,156.0,,2.36.54,NEMBRI Matteo,1999,EM,ATL. ESTRADA,11 se- 1,Castelleone,2010-05-15,https://www.fidal.it/atleta/NEMBRI-Matteo/dqiSl5efb2M%3D,https://www.fidal.it/societa/ATL--ESTRADA/BG248
600m,9028.0,,2:29:88,PICARELLI Gabriele,2008,CM,ATLETICA CECCHINA AL.PA. ASD,12 se- 2,Colleferro,2022-03-26,https://www.fidal.it/atleta/PICARELLI-Gabriele/f62Rkpakb2o%3D,https://www.fidal.it/societa/ATLETICA-CECCHINA-AL-PA--ASD/RS022
600m,203.0,,3:23,FELIS Viviana,2008,CF,LAGARINA CRUS TEAM,1 su- 1,Arco,2022-04-23,https://www.fidal.it/atleta/FELIS-Viviana/d6iRlJWoaGU%3D,https://www.fidal.it/societa/LAGARINA-CRUS-TEAM/TN131
60m,-1.0,,113,PITTI Lorenzo,1997,EM,C.U.S. PARMA,7 se- 2,Parma,2006-05-18,https://www.fidal.it/atleta/PITTI-Lorenzo/eqiRlpSmbGg%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
60m,-1.0,,111,ALUSHI Matteo,2003,EM,POL. UNIONE 90,1 se- 3,Modena,2010-04-24,https://www.fidal.it/atleta/ALUSHI-Matteo/eqyRkpOiaGc%3D,https://www.fidal.it/societa/POL--UNIONE-90/MO066
800m,9245.0,,2:34:05,LUCAFO' Ilaria,2000,AF,ATL. UNIVERSALE  DON BOSCO,8 se- 1,Bressanone,2016-05-15,https://www.fidal.it/atleta/LUCAFO-Ilaria/daiUlpanb2k%3D,https://www.fidal.it/societa/ATL--UNIVERSALE-DON-BOSCO/GE016
800m,7539.0,,2:05:39,BEVACQUA Nicolo,2003,JM,BATTAGLIO C.U.S. TORINO ATL,1 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/BEVACQUA-Nicolo/dK6RlZelb2M%3D,https://www.fidal.it/societa/BATTAGLIO-C-U-S--TORINO-ATL/TO001
800m,7604.0,,2:06:44,VOLPATTI Marco,1996,SM,POLISPORT. NOVATLETICA CHIERI,2 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/VOLPATTI-Marco/dK6RlpekaGo%3D,https://www.fidal.it/societa/POLISPORT--NOVATLETICA-CHIERI/TO076
800m,7641.0,,2:07:21,SCORZA Dario,2003,JM,ATLETICA VENARIA REALE,3 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/SCORZA-Dario/dK6RlpSna2Y%3D,https://www.fidal.it/societa/ATLETICA-VENARIA-REALE/TO268
800m,7737.0,,2:08:57,SCOGNAMIGLIO Salvatore,1993,SM,ATLETICA ASTI 2.2 A.S.D.,4 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/SCOGNAMIGLIO-Salvatore/gKyRkpugb2o%3D,https://www.fidal.it/societa/ATLETICA-ASTI-2-2-A-S-D-/AT019
800m,7997.0,,2:13:17,DONVITO Francesco,2000,PM,BATTAGLIO C.U.S. TORINO ATL,5 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/DONVITO-Francesco/dK6RlZWfcWo%3D,https://www.fidal.it/societa/BATTAGLIO-C-U-S--TORINO-ATL/TO001
800m,8120.0,,2:15:20,GIBELLATO Michael,2003,JM,POLISPORT. NOVATLETICA CHIERI,6 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/GIBELLATO-Michael/dK6RlpiibWs%3D,https://www.fidal.it/societa/POLISPORT--NOVATLETICA-CHIERI/TO076
800m,8381.0,,2:19:41,CAVACIUTI Gabriele,2003,JM,ASS. DILET. CANAVESE 2005,7 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/CAVACIUTI-Gabriele/dK6Rl5ancWU%3D,https://www.fidal.it/societa/ASS--DILET--CANAVESE-2005/TO199
800m,9556.0,,2:39:16,ACETO Tekalegne,1999,PM,ATLETICA VENARIA REALE,8 se- 6,Chieri,2021-04-24,https://www.fidal.it/atleta/ACETO-Tekalegne/dK6RlpKmbWQ%3D,https://www.fidal.it/societa/ATLETICA-VENARIA-REALE/TO268
80m,-1.0,+0.0,9999999999,STINGONE Michele,1991,CM,A.P. AMATORI ATLETICA NAPOLI,4 se- 3,Marano,2005-06-12,https://www.fidal.it/atleta/STINGONE-Michele/gKiRlZqhbmg%3D,https://www.fidal.it/societa/A-P--AMATORI-ATLETICA-NAPOLI/NA064
80m,-1.0,+0.0,9999999999,RUOTOLO Riccardo,1993,CM,A.P.D. AMATORI ATLETICA NAPOLI,7 se- 2,Napoli,2008-05-11,https://www.fidal.it/atleta/RUOTOLO-Riccardo/gKyRkpKgbWY%3D,https://www.fidal.it/societa/A-P-D--AMATORI-ATLETICA-NAPOLI/NA064
50m,-1.0,,89,BIROLINI Giulio,1994,EM,ORATORIO ALBINO ATL.,3 se- 2,Albino,2005-09-03,https://www.fidal.it/atleta/BIROLINI-Giulio/dqmRl5Kkbmk%3D,https://www.fidal.it/societa/ORATORIO-ALBINO-ATL-/BG572
110Hs_h106-9.14,1011.0,+1.0,16:51,MASCARO Gabriele,1985,SM,G.S.SELF ATL. MONTANARI GRUZZA,2 su- 1,Carpi,2008-06-24,https://www.fidal.it/atleta/MASCARO-Gabriele/eqiRlJijamc%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
400Hs_h76,4391.0,,1:13:11,CORNERO Ginevra,2000,JF,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Alba,2018-10-13,https://www.fidal.it/atleta/CORNERO-Ginevra/dKuRk5embWs%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
400Hs_h91,4665.0,,1:17:45,COLOMBO Marco,1987,SM,ATHLETIC CLUB 96 AE SPA,8 su- 1,Rovereto,2013-05-05,https://www.fidal.it/atleta/COLOMBO-Marco/iaiRkpmkcWM%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
