gara,prestazione,vento,tempo,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
Marcia_10km,515.6,,8:35.60,ZAOUIA RENZI FERRETTI DEMASI,,XM,ATLETICA FABRIANO - OSIMO,1 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATLETICA-FABRIANO-OSIMO/AN037
Marcia_10km,517.27,,8:37.27,CICCONI CIPPITELLI CORVATTA FELICIOLI,,XM,ATL. AVIS MACERATA,2 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,517.27,,8:37.27,CICCONI CIPPITELLI CORVATTA FELICIOLI,,XM,ATL. AVIS MACERATA,2 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,519.05,,8:38.8,MARINELLI B.- RIDGER M. - DI LERNIA G. - ORSI TOTH L.,,XM,ATL. ADEN  ABACO MOLFETTA,1 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/ATL--ADEN-ABACO-MOLFETTA/BA091
Marcia_10km,519.25,,8:39.0,"CUZZOCREA,FERRAGINA,CAPOTOSTI,BONADDIO",,XM,VIOLETTACLUB,2 su- 1,Reggio Calabria,2006-04-09,,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
Marcia_10km,539.03,,8:59.03,LAURETI - BAGGIO - GALLOTTO - BARRICELLI,,XM,ATLETICA VERCELLI 78,1 su- 1,Borgosesia,2006-10-21,,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
Marcia_10km,581.61,,9:41.61,CICCARELLI MOBILI COMPAGNUCCI FAZI,,XM,ATL. AVIS MACERATA,3 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,581.61,,9:41.61,CICCARELLI MOBILI COMPAGNUCCI FAZI,,XM,ATL. AVIS MACERATA,3 se- 1,Fabriano,2006-05-06,,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_10km,621.97,,10:21.97,BOCCARDO - CREVACORE - PELI - FORMICA,,XM,ATLETICA VERCELLI 78,2 su- 1,Borgosesia,2006-10-21,,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
Marcia_10km,505.85,,8:25.6,PALMAS-OBERSTOLZ-CUSMA-DI GRAZIA,,XF,C.S. ESERCITO,1 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/C-S--ESERCITO/RM052
Marcia_10km,554.95,,9:14.7,COSTANZA-SPIGAROLO-SICARI-OLIVA,,XF,C.S. ESERCITO,2 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/C-S--ESERCITO/RM052
Marcia_10km,580.55,,9:40.3,COPPOLA-MONTANARI-OLIVIERI-GHIBELLINI,,XF,FONDIARIA - SAI ATLETICA,3 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/FONDIARIA-SAI-ATLETICA/RM131
Marcia_10km,581.55,,9:41.3,DOVERI-FRANZOLINI-D'AGOSTINO-DEBONIS,,XF,FONDIARIA - SAI ATLETICA,4 su- 1,Roma,2006-05-07,,https://www.fidal.it/societa/FONDIARIA-SAI-ATLETICA/RM131
Marcia_10km,610.05,,10:09.8,"BUTTINELLI,LATELLA,CARDAMONE,DE LEO",,XF,VIOLETTACLUB,1 su- 1,Reggio Calabria,2006-04-09,,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
Marcia_10km,615.15,,10:14.9,FALCO-LOMUSCIO-PELLEGRINI-VENTRELLA,,XF,A.S. OLIMPIA CLUB,1 su- 1,Acquaviva,2006-04-23,,https://www.fidal.it/societa/A-S--OLIMPIA-CLUB/BA015
Marcia_3000m,96025465.0,,1600424:25,DOLCI Tatiana nelie,1993,CF,P.B.M. BOVISIO MASCIAGO,1 se- 1,Bergamo,2008-09-10,https://www.fidal.it/atleta/DOLCI-Tatiana-nelie/dq2Rk5qnaWU%3D,https://www.fidal.it/societa/P-B-M--BOVISIO-MASCIAGO/MI102
Marcia_5000m,-1.0,,30:20.0931,FRULLA Francesca,1968,SF55,NUOVA PODISTICA LORETO,1 su- 1,Fermo,2023-05-06,https://www.fidal.it/atleta/FRULLA-Francesca/e6mRkpenaWo%3D,https://www.fidal.it/societa/NUOVA-PODISTICA-LORETO/AN017
Marcia_5000m,-1.0,,32:50.7442,CINELLA Francesca,2003,PF,ATL. AVIS MACERATA,2 su- 1,Fermo,2023-05-06,https://www.fidal.it/atleta/CINELLA-Francesca/e6uRkpKkbmw%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
Marcia_5km,-1.0,,9999999999,SOTTOCORNA Daniela,1991,CF,ATL. BRUSAPORTO,4 se- 2,Curno,2005-06-15,https://www.fidal.it/atleta/SOTTOCORNA-Daniela/dqmRl5Kga2o%3D,https://www.fidal.it/societa/ATL--BRUSAPORTO/BG542
