punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
693,59.87,59.87,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 se- 3,Padova,2022-05-01,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
690,59.94,59.94,e,AGOSTINETTO Isacco,1999,AM,ANA ATL.FELTRE,1 se- 3,Vicenza,2016-05-08,https://www.fidal.it/atleta/AGOSTINETTO-Isacco/eKyRkpaga2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
682,60.14,1:00.14,e,ZANDOMENEGHI Marco,1997,PM,ANA ATL.FELTRE,5 se- 2,San Biagio Di Callalta,2019-05-12,https://www.fidal.it/atleta/ZANDOMENEGHI-Marco/eKmRlJWjb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
676,60.29,1:00.29,e,TONO Lorenzo,1994,PM,ANA ATL.FELTRE,3 se- 2,Vedelago,2014-09-13,https://www.fidal.it/atleta/TONO-Lorenzo/eKmRlJKna2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
673,60.38,1:00.38,e,AGOSTINETTO Isacco,1999,AM,ANA ATL.FELTRE,3 se- 2,Agordo,2016-05-22,https://www.fidal.it/atleta/AGOSTINETTO-Isacco/eKyRkpaga2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
656,60.83,1:00.83,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,3 se- 2,San Biagio Di Callalta,2022-07-02,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
643,61.17,1:01.17,e,ZABOT Julian,2002,AM,ANA ATL.FELTRE,2 se- 2,Padova,2019-04-25,https://www.fidal.it/atleta/ZABOT-Julian/eKmRlJelbGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
625,61.64,1:01.64,e,MANISCALCHI Stefano,1990,SM,ANA ATL.FELTRE,3 se- 3,Vicenza,2014-05-11,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
617,61.86,1:01.86,e,CECCHET Giovanni,2006,AM,ANA ATL.FELTRE,5 se- 3,Padova,2022-05-01,https://www.fidal.it/atleta/CECCHET-Giovanni/eKmRlJmfb2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
594,62.49,1:02.49,e,AGOSTINETTO Isacco,1999,AM,ANA ATL.FELTRE,3 se- 4,Marcon,2015-05-10,https://www.fidal.it/atleta/AGOSTINETTO-Isacco/eKyRkpaga2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
584,62.78,1:02.78,e,TONO Lorenzo,1994,JM,ANA ATL.FELTRE,5 se- 1,Treviso,2012-05-30,https://www.fidal.it/atleta/TONO-Lorenzo/eKmRlJKna2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
583,62.81,1:02.81,e,CECCHET Giovanni,2006,AM,ANA ATL.FELTRE,4 se- 3,Padova,2022-05-15,https://www.fidal.it/atleta/CECCHET-Giovanni/eKmRlJmfb2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
533,64.25,1:04.25,e,TONO Lorenzo,1994,JM,ANA ATL.FELTRE,4 se- 1,Vicenza,2012-05-20,https://www.fidal.it/atleta/TONO-Lorenzo/eKmRlJKna2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
527,64.43,1:04.43,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,4 se- 3,Caorle,2018-05-06,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
