punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,62.75,1:02.75,e,CANOVA Luca,1991,AM,ANA ATL.FELTRE,1 se- 2,Abano Terme,2007-05-27,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.82,57.82,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,2 se- 1,Rosa,2009-05-24,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,54.89,54.89,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,3 fi- 1,Rieti,2010-10-03,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,55.46,55.46,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 ba- 4,Rieti,2010-10-02,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,55.78,55.78,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,2 se- 1,Mogliano Veneto,2010-09-19,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,56.36,56.36,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 se- 2,Rossano Veneto,2010-09-05,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.75,57.75,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,2 se- 1,Vedelago,2010-09-12,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,58.03,58.03,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,2 se- 1,Mestre,2010-05-09,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,58.75,58.75,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,5 ba- 3,Rieti,2010-10-02,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,58.84,58.84,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,5 se- 1,Verona,2010-05-30,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,59.66,59.66,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,4 se- 1,Vedelago,2010-09-12,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,59.85,59.85,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,4 se- 2,Saronno,2010-06-27,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,59.91,59.91,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,5 se- 2,Rossano Veneto,2010-09-05,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,56.5,56.50,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,1 se- 1,Vicenza,2011-05-22,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,56.52,56.52,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,5 se- 2,Saronno,2011-06-12,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,56.62,56.62,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,2 se- 1,Bassano Del Grappa,2011-09-18,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.01,57.01,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,2 se- 1,Vedelago,2011-09-11,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.03,57.03,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,1 se- 1,Rovigo,2011-05-08,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.05,57.05,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,3 ba- 2,Rieti,2011-10-01,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.48,57.48,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,2 se- 1,Rossano Veneto,2011-09-04,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,57.64,57.64,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,1 se- 1,Montebelluna,2011-05-01,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,58.22,58.22,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,2 su- 1,Feltre,2011-06-04,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
