disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
1500m (P),3:30.74,,ARESE Pietro,1999,G.A. FIAMME GIALLE,8 fi- 1,Parigi,2024-08-06,https://www.fidal.it/atleta/ARESE-Pietro/dK6RlpilaGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,210.74,e
1500m (P),3:32.77,,MESLEK Ossama,1997,C.S. ESERCITO,8 sf- 2,Parigi,2024-08-04,https://www.fidal.it/atleta/MESLEK-Ossama/eK6Rk5Onbmw%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SM,212.77,e
1500m (P),3:32.84,,RIVA Federico,2000,G.A. FIAMME GIALLE,1 ex- 2,Parigi,2024-08-03,https://www.fidal.it/atleta/RIVA-Federico/f6yRk5agbms%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,212.84,e
1500m (P),3:35.46,,ABDIKADAR SHEIK ALI Mohad,1993,C.S. AERONAUTICA MILITARE,10 su- 1,Nizza,2024-06-15,https://www.fidal.it/atleta/ABDIKADAR-SHEIK-ALI-Mohad/f6iRmZmnb2M%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053,SM,215.46,e
1500m (P),3:35.94,,EL KABBOURI Ossama,2000,ATLETICA FIRENZE MARATHON S.S.,2 se- 2,Leuven,2024-07-27,https://www.fidal.it/atleta/EL-KABBOURI-Ossama/dK6RlZuiaWU%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002,SM,215.94,e
1500m (P),3:36.24,,FILIPPI Giovanni,1998,ASD LA FRATELLANZA 1874,8 se- 1,Marsiglia,2024-05-22,https://www.fidal.it/atleta/FILIPPI-Giovanni/dqmRl5emaWo%3D,https://www.fidal.it/societa/ASD-LA-FRATELLANZA-1874/MO052,SM,216.24,e
1500m (P),3:36.78,,BUSSOTTI NEVES JUNIOR Joao capistrano mari,1993,C.S. ESERCITO,1 su- 1,Bergen,2024-05-22,https://www.fidal.it/atleta/BUSSOTTI-NEVES-JUNIOR-Joao-capistrano-mari/faiSk5Ojbms%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SM,216.78,e
1500m (P),3:37.55,,GRAVANTE Giuseppe,2001,CALCESTRUZZI CORRADINI EXCELS.,7 su- 1,Lignano Sabbiadoro,2024-07-14,https://www.fidal.it/atleta/GRAVANTE-Giuseppe/erGRkpWobGs%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106,SM,217.55,e
1500m (P),3:38.51,,COSTA Masresha,2002,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Modena,2024-05-01,https://www.fidal.it/atleta/COSTA-Masresha/eaqRkpuncWQ%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039,PM,218.51,e
1500m (P),3:40.42,,LOTTA Alessandro,1999,G. ALPINISTICO VERTOVESE,10 su- 1,Lignano Sabbiadoro,2024-07-14,https://www.fidal.it/atleta/LOTTA-Alessandro/dqmRmJSna2o%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135,SM,220.42,e
1500m (P),3:40.44,,DE MARCHI Jacopo,1998,C.S. ESERCITO,3 se- 1,Pordenone,2024-09-06,https://www.fidal.it/atleta/DE-MARCHI-Jacopo/eamRkpmfb2k%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SM,220.44,e
1500m (P),3:41.02,,PASQUINUCCI Alessandro,2003,ASD LA FRATELLANZA 1874,4 su- 1,Modena,2024-05-01,https://www.fidal.it/atleta/PASQUINUCCI-Alessandro/eqyRkpaja2U%3D,https://www.fidal.it/societa/ASD-LA-FRATELLANZA-1874/MO052,PM,221.02,e
1500m (P),3:41.79,,SANTORUM Luca,2004,ATL. ROMA ACQUACETOSA,7 se-14,Raleigh,2024-03-28,https://www.fidal.it/atleta/SANTORUM-Luca/d6iRk5umbGo%3D,https://www.fidal.it/societa/ATL--ROMA-ACQUACETOSA/RM161,PM,221.79,e
1500m (P),3:41.95,,PAROLINI Sebastiano,1998,G. ALPINISTICO VERTOVESE,2 se- 1,Zogno,2024-05-29,https://www.fidal.it/atleta/PAROLINI-Sebastiano/dqmRl5amcWw%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135,SM,221.95,e
1500m (I),3:44.25,,MOGETTI Federico,2002,ATHLETIC CLUB 96 ALPERIA,3 su- 1,Padova,2025-02-02,https://www.fidal.it/atleta/MOGETTI-Federico/fqqRkpKfb2g%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-ALPERIA/BZ066,SM,224.25,e
