disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
3000m (P),8:40.81,,VISSA Sintayehu,1996,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/VISSA-Sintayehu/eayRk5SjbWg%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039,SF,520.81,e
3000m (P),8:44.10,,ZENONI Marta,1999,LUISS SSD A R.L.,5 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/ZENONI-Marta/dqmRl5iiaGY%3D,https://www.fidal.it/societa/LUISS-SSD-A-R-L-/RM333,SF,524.1,e
3000m (I),8:47.12,,CAVALLI Ludovica,2000,BRACCO ATLETICA,4 se- 1,Metz,2025-02-08,https://www.fidal.it/atleta/CAVALLI-Ludovica/damRkpKoa2g%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221,SF,527.12,e
3000m (P),8:54.28,,MAJORI Micol,1998,PRO SESTO ATL. CERNUSCO,10 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/MAJORI-Micol/dq2RlJmhcGk%3D,https://www.fidal.it/societa/PRO-SESTO-ATL--CERNUSCO/MI089,SF,534.28,e
3000m (I),8:57.88,,DEL BUONO Federica,1994,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Karlsruhe,2025-02-07,https://www.fidal.it/atleta/DEL-BUONO-Federica/eK6RkpOjaGU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SF,537.88,e
3000m (I),9:03.51,,GEMETTO Valentina,1998,CAIVANO RUNNERS,1 se- 2,Metz,2025-02-08,https://www.fidal.it/atleta/GEMETTO-Valentina/dKyRlJKlaWc%3D,https://www.fidal.it/societa/CAIVANO-RUNNERS/NA992,SF,543.51,e
3000m (I),9:08.81,,BELLO' Elena,1997,G.S. FIAMME AZZURRE,1 se- 1,Padova,2025-02-08,https://www.fidal.it/atleta/BELLO-Elena/eK6Rkpajb2c%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,548.81,e
3000m (P),9:10.88,,NESTOLA Sara,2001,CALCESTRUZZI CORRADINI EXCELS.,1 se- 1,Rubiera,2024-06-19,https://www.fidal.it/atleta/NESTOLA-Sara/erGRkpSmaGc%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106,SF,550.88,e
3000m (P),9:12.35,,ARNAUDO Anna,2000,BATTAGLIO C.U.S. TORINO ATL,2 su- 1,Milano,2024-04-13,https://www.fidal.it/atleta/ARNAUDO-Anna/dKyRlJSfbGU%3D,https://www.fidal.it/societa/BATTAGLIO-C-U-S--TORINO-ATL/TO001,SF,552.35,e
3000m (P),9:19.18,,BORTOLI Elisa,1994,C.S. ESERCITO,3 su- 1,Nembro,2024-06-19,https://www.fidal.it/atleta/BORTOLI-Elisa/eKmRlJOocWY%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SF,559.18,e
3000m (P),9:19.58,,MORETTON Michela,2000,ASSINDUSTRIA SPORT,1 se- 1,Trento,2024-07-16,https://www.fidal.it/atleta/MORETTON-Michela/eKyRkpmmaWw%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140,SF,559.58,e
3000m (I),9:19.78,,APRILE Giulia,1995,C.S. ESERCITO,5 su- 1,Miramas,2025-01-31,https://www.fidal.it/atleta/APRILE-Giulia/h6iRlZqfa2w%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SF,559.78,e
3000m (I),9:25.10,,MINATI Valeria,2004,U.S. QUERCIA DAO CONAD,2 se- 1,Padova,2025-02-08,https://www.fidal.it/atleta/MINATI-Valeria/d6iRk5ugaWU%3D,https://www.fidal.it/societa/U-S--QUERCIA-DAO-CONAD/TN109,PF,565.1,e
3000m (I),9:29.26,,ZANNE Giulia,1997,ATL. BRESCIA 1950,3 se- 1,Padova,2025-02-08,https://www.fidal.it/atleta/ZANNE-Giulia/dqqRl5ijamc%3D,https://www.fidal.it/societa/ATL--BRESCIA-1950/BS181,SF,569.26,e
