disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
60m (I),7.49,,SUPPINI Carlotta,2008,A.S.D. PONTEVECCHIO BOLOGNA,1 fi- 1,Modena,2025-01-25,https://www.fidal.it/atleta/SUPPINI-Carlotta/eqmRkpuibWk%3D,https://www.fidal.it/societa/A-S-D--PONTEVECCHIO-BOLOGNA/BO506,AF,7.49,e
60m (I),7.49,,VIANELLI Clarissa,2005,POLISPORT. NOVATLETICA CHIERI,3 fi- 1,Padova,2025-01-19,https://www.fidal.it/atleta/VIANELLI-Clarissa/dK6Rl5KkaGY%3D,https://www.fidal.it/societa/POLISPORT--NOVATLETICA-CHIERI/TO076,PF,7.49,e
60m (I),7.50,,GOFFI Chiara,2004,ATL. CHIARI 1964 LIB.,1 ba- 1,Modena,2025-01-12,https://www.fidal.it/atleta/GOFFI-Chiara/dqqRmJembGs%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318,PF,7.5,e
60m (I),7.51,,BRUNO Letizia,2004,U.S. FOGGIA ATL. LEGGERA,2 fi- 1,Ancona,2025-01-19,https://www.fidal.it/atleta/BRUNO-Letizia/hKuRkpSoaWo%3D,https://www.fidal.it/societa/U-S--FOGGIA-ATL--LEGGERA/FG202,PF,7.51,e
60m (I),7.51,,BAGLIONI Ginevra,2006,ATL.STUD. RIETI ANDREA MILARDI,3 ba- 1,Ancona,2025-01-26,https://www.fidal.it/atleta/BAGLIONI-Ginevra/f6yRlZSibGY%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,JF,7.51,e
60m (I),7.51,,MELON Chiara,1999,G.S. FIAMME AZZURRE,2 ba- 1,Modena,2025-02-08,https://www.fidal.it/atleta/MELON-Chiara/dqAAARl5OmaGU%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,7.51,e
60m (I),7.52,,MURARO Alice,2000,C.S. AERONAUTICA MILITARE,4 fi- 1,Padova,2025-01-19,https://www.fidal.it/atleta/MURARO-Alice/eK6RkpalcGQ%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053,SF,7.52,e
60m (I),7.52,,MARTUCCI Maddalena,2005,BRACCO ATLETICA,1 se- 2,Bergamo,2025-01-19,https://www.fidal.it/atleta/MARTUCCI-Maddalena/dq2RmJafcWM%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221,PF,7.52,e
60m (I),7.52,,CAPASSO Virginia,2006,ATL.STUD. RIETI ANDREA MILARDI,2 ba- 1,Ancona,2025-01-19,https://www.fidal.it/atleta/CAPASSO-Virginia/f6uRkpOhb2M%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,JF,7.52,e
60m (I),7.53,,DAMBRUOSO Benedetta,2008,VALLEY ATHLETICS TEAM A.S.D.,1 fi- 2,Udine,2025-01-26,https://www.fidal.it/atleta/DAMBRUOSO-Benedetta/eK6Rk5eiaGU%3D,https://www.fidal.it/societa/VALLEY-ATHLETICS-TEAM-A-S-D-/VI684,AF,7.53,e
60m (I),7.53,,FEDRIGA Carlotta,2004,EDERA ATL. FORLI,1 ba- 1,Ancona,2025-02-01,https://www.fidal.it/atleta/FEDRIGA-Carlotta/equRkpKja2o%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038,PF,7.53,e
60m (I),7.53,,CARPINTERI Alessia,1999,A.S.D. C.U.S. CATANIA,1 fi- 2,Ancona,2025-01-18,https://www.fidal.it/atleta/CARPINTERI-Alessia/h7GRkpKlamM%3D,https://www.fidal.it/societa/A-S-D--C-U-S--CATANIA/CT067,SF,7.53,e
60m (I),7.54,,BORGA Rebecca,1998,G.A. FIAMME GIALLE,3 fi- 1,Ancona,2025-01-12,https://www.fidal.it/atleta/BORGA-Rebecca/eK2RkpSjbGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SF,7.54,e
60m (I),7.54,,FRANCESCHI Laura,2005,ASSINDUSTRIA SPORT,5 fi- 1,Padova,2025-01-19,https://www.fidal.it/atleta/FRANCESCHI-Laura/eKqRkpahbWg%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT/PD140,PF,7.54,e
100m (P),11.28,+1.0,BONGIORNI Anna,1993,C.S. CARABINIERI SEZ. ATLETICA,3 se- 2,Trieste,2024-06-22,https://www.fidal.it/atleta/BONGIORNI-Anna/faiSkpajbWc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SF,11.28,e
100m (P),11.52,+0.9,PAVESE Alessia,1998,C.S. AERONAUTICA MILITARE,2 ba- 1,Dessau,2024-05-24,https://www.fidal.it/atleta/PAVESE-Alessia/dqmRl5ama2w%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053,SF,11.52,e
100m (P),11.54,+1.2,GASPARELLI Alessandra,2004,OLIMPUS SAN MARINO ATLETICA,7 se- 4,Parigi,2024-08-02,https://www.fidal.it/atleta/GASPARELLI-Alessandra/iqiRkpKjcGc%3D,https://www.fidal.it/societa/OLIMPUS-SAN-MARINO-ATLETICA/SM278,PF,11.54,e
100m (P),11.62,+1.1,CANOVI Viola,2008,CALCESTRUZZI CORRADINI EXCELS.,1 se- 7,Castelfranco Emilia,2024-06-29,https://www.fidal.it/atleta/CANOVI-Viola/erGRkpWmaGQ%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106,AF,11.62,e
100m (P),11.65,+0.8,ANGELINI Ilenia,2003,C.S. ESERCITO,1 fi- 1,Foligno,2024-06-06,https://www.fidal.it/atleta/ANGELINI-Ilenia/e6qRkpKocGo%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,PF,11.65,e
100m (P),11.68,+0.7,VALENSIN Elisa,2007,ATL. BERGAMO 1959 ORIOCENTER,4 se- 1,Firenze,2024-04-13,https://www.fidal.it/atleta/VALENSIN-Elisa/dq2Rl5qhbGc%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-ORIOCENTER/BG003,AF,11.68,e
100m (P),11.69,+1.0,RICCI Eleonora,2001,G.A. FIAMME GIALLE,3 se- 1,Foligno,2024-07-10,https://www.fidal.it/atleta/RICCI-Eleonora/faAAARkpOjcWY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SF,11.69,e
