disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
400m (P),44.75,,SITO Luca,2003,CUS PRO PATRIA MILANO,1 sf- 1,Roma,2024-06-09,https://www.fidal.it/atleta/SITO-Luca/dq2RmZimaWM%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,PM,44.75,e
400m (P),45.28,,SCOTTI Edoardo,2000,C.S. CARABINIERI SEZ. ATLETICA,1 fi- 1,La Spezia,2024-06-30,https://www.fidal.it/atleta/SCOTTI-Edoardo/dq2Rl5efbGg%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SM,45.28,e
400m (P),45.77,,ACETI Vladimir,1998,G.A. FIAMME GIALLE,2 fi- 1,La Spezia,2024-06-30,https://www.fidal.it/atleta/ACETI-Vladimir/dq2Rk5ugbmk%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,45.77,e
400m (P),45.93,,LOPEZ Brayan,1997,G.S. FIAMME AZZURRE,3 fi- 1,La Spezia,2024-06-30,https://www.fidal.it/atleta/LOPEZ-Brayan/dK6RlpWfcGk%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SM,45.93,e
400m (P),45.94,,MELI Riccardo,2001,G.A. FIAMME GIALLE,4 fi- 1,La Spezia,2024-06-30,https://www.fidal.it/atleta/MELI-Riccardo/h66RkpSjaGc%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,45.94,e
400m (P),46.26,,BIANCIARDI Lapo,1998,G.S. AVIS BARLETTA A.S.D.,2 su- 1,Roma,2024-08-29,https://www.fidal.it/atleta/BIANCIARDI-Lapo/faqRkpeka2Y%3D,https://www.fidal.it/societa/G-S--AVIS-BARLETTA-A-S-D-/BA754,SM,46.26,e
400m (P),46.38,,BENATI Lorenzo,2002,G.S. FIAMME AZZURRE,1 se- 1,Cles,2024-08-24,https://www.fidal.it/atleta/BENATI-Lorenzo/f6yRkpKhcWo%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,PM,46.38,e
400m (P),46.41,,RE Davide,1993,G.A. FIAMME GIALLE,5 se- 1,Losanna,2024-07-27,https://www.fidal.it/atleta/RE-Davide/daiUlpKobWM%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,46.41,e
400m (P),46.54,,DI BENEDETTO Matteo,2004,TEAM-A LOMBARDIA,1 fi- 1,Rieti,2024-07-27,https://www.fidal.it/atleta/DI-BENEDETTO-Matteo/dq2RlZWnaGM%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774,PM,46.54,e
400m (P),46.59,,FUSARI Matteo,1998,BERGAMO STARS ATLETICA,2 se- 3,Celle Ligure,2024-07-17,https://www.fidal.it/atleta/FUSARI-Matteo/dqmRl5ifbGc%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795,SM,46.59,e
400m (P),46.67,,MOSCARDI Alessandro,2000,ATLETICA FIRENZE MARATHON S.S.,1 se- 1,Nembro,2024-06-19,https://www.fidal.it/atleta/MOSCARDI-Alessandro/e6mRkpKgaGg%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002,SM,46.67,e
400m (P),46.72,,BONINTI Tommaso,2003,ATLETICA LIVORNO,2 fi- 1,Rieti,2024-07-27,https://www.fidal.it/atleta/BONINTI-Tommaso/fayRkpahcGs%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036,PM,46.72,e
400m (P),46.77,,MESSINA Paolo,2002,G.A. FIAMME GIALLE,5 su- 1,Roma,2024-05-18,https://www.fidal.it/atleta/MESSINA-Paolo/eauRk5KfaWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,PM,46.77,e
400m (P),46.83,,ROSSI Francesco domenico,2001,CUS PRO PATRIA MILANO,1 se- 1,Nembro,2024-05-11,https://www.fidal.it/atleta/ROSSI-Francesco-domenico/dq2RlpijbmY%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,SM,46.83,e
400m (I),46.94,,RAIMONDI Matteo,2001,PRO SESTO ATL. CERNUSCO,1 se- 1,Padova,2025-01-26,https://www.fidal.it/atleta/RAIMONDI-Matteo/dq2Rl5ujaWY%3D,https://www.fidal.it/societa/PRO-SESTO-ATL--CERNUSCO/MI089,SM,46.94,e
