disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
3000m (P),7:48.50,,DE MARCHI Jacopo,1998,C.S. ESERCITO,4 su- 1,Nembro,2024-06-19,https://www.fidal.it/atleta/DE-MARCHI-Jacopo/eamRkpmfb2k%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SM,468.5,e
3000m (P),7:48.93,,PAROLINI Sebastiano,1998,G. ALPINISTICO VERTOVESE,5 su- 1,Nembro,2024-06-19,https://www.fidal.it/atleta/PAROLINI-Sebastiano/dqmRl5amcWw%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135,SM,468.93,e
3000m (P),7:49.96,,ABDIKADAR SHEIK ALI Mohad,1993,C.S. AERONAUTICA MILITARE,10 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/ABDIKADAR-SHEIK-ALI-Mohad/f6iRmZmnb2M%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053,SM,469.96,e
3000m (P),7:52.11,,COSTA Masresha,2002,ATL BRUGNERA PN FRIULINTAGLI,11 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/COSTA-Masresha/eaqRkpuncWQ%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039,PM,472.11,e
3000m (I),7:52.63,,RIVA Federico,2000,G.A. FIAMME GIALLE,8 su- 1,Val-de-reuil,2025-02-02,https://www.fidal.it/atleta/RIVA-Federico/f6yRk5agbms%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,472.63,e
3000m (I),7:54.37,,GUERRA Francesco,2001,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Padova,2025-02-09,https://www.fidal.it/atleta/GUERRA-Francesco/f6iRmZafcWk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SM,474.37,e
3000m (I),7:54.44,,GATTO Giovanni,1999,U.S. QUERCIA DAO CONAD,2 se- 1,Padova,2025-02-09,https://www.fidal.it/atleta/GATTO-Giovanni/eKyRkpelbGM%3D,https://www.fidal.it/societa/U-S--QUERCIA-DAO-CONAD/TN109,SM,474.44,e
3000m (P),7:56.35,,MEDOLAGO Samuel,1995,ATL. VALLE BREMBANA,9 se- 1,Lucerna,2024-07-16,https://www.fidal.it/atleta/MEDOLAGO-Samuel/dqmRl5OjaGk%3D,https://www.fidal.it/societa/ATL--VALLE-BREMBANA/BG223,SM,476.35,e
3000m (I),7:57.03,,GRAVANTE Giuseppe,2001,CALCESTRUZZI CORRADINI EXCELS.,1 su- 1,Ancona,2025-01-18,https://www.fidal.it/atleta/GRAVANTE-Giuseppe/erGRkpWobGs%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106,SM,477.03,e
3000m (P),7:57.03,,OUHDA Ahmed,1997,C.S. ESERCITO,10 su- 1,Nembro,2024-06-19,https://www.fidal.it/atleta/OUHDA-Ahmed/dqmRmJOnbGY%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SM,477.03,e
3000m (P),7:57.53,,PELLEGRINI Pietro,2001,ATLETICA FIRENZE MARATHON S.S.,2 su- 1,Milano,2024-04-13,https://www.fidal.it/atleta/PELLEGRINI-Pietro/d6iRk5OnbGk%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002,SM,477.53,e
3000m (P),7:59.54,,LOTTA Alessandro,1999,G. ALPINISTICO VERTOVESE,12 su- 1,Nembro,2024-06-19,https://www.fidal.it/atleta/LOTTA-Alessandro/dqmRmJSna2o%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135,SM,479.54,e
3000m (P),8:00.32,,CHIAPPINELLI Yohanes,1997,C.S. CARABINIERI SEZ. ATLETICA,15 se- 1,Leuven,2024-07-27,https://www.fidal.it/atleta/CHIAPPINELLI-Yohanes/fbKRkpKga2s%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SM,480.32,e
3000m (P),8:03.77,,BEDINI Nicolo',2002,G.P. PARCO ALPI APUANE,2 su- 1,Pergine Valsugana,2024-07-06,https://www.fidal.it/atleta/BEDINI-Nicolo-/eKyRk5Wfb2g%3D,https://www.fidal.it/societa/G-P--PARCO-ALPI-APUANE/LU351,PM,483.77,e
3000m (P),8:03.96,,PASQUINUCCI Alessandro,2003,ASD LA FRATELLANZA 1874,3 se- 1,Rodengo Saiano,2024-05-08,https://www.fidal.it/atleta/PASQUINUCCI-Alessandro/eqyRkpaja2U%3D,https://www.fidal.it/societa/ASD-LA-FRATELLANZA-1874/MO052,PM,483.96,e
3000m (I),8:08.99,,PAGLIONE Leo,1991,ATLETICA FIRENZE MARATHON S.S.,4 se- 1,Padova,2025-02-09,https://www.fidal.it/atleta/PAGLIONE-Leo/g6iRkpaoamU%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002,SM,488.99,e
