disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
60Hs_h84-8.50 (I),8.00,,CARMASSI Giada,1994,C.S. ESERCITO,2 fi- 1,Luxembourg,2025-01-19,https://www.fidal.it/atleta/CARMASSI-Giada/eayRk5SjbmY%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052,SF,8.0,e
60Hs_h84-8.50 (I),8.05,,MURARO Alice,2000,C.S. AERONAUTICA MILITARE,1 fi- 1,Padova,2025-02-08,https://www.fidal.it/atleta/MURARO-Alice/eK6RkpalcGQ%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053,SF,8.05,e
60Hs_h84-8.50 (I),8.11,,DI LAZZARO Elisa maria,1998,C.S. CARABINIERI SEZ. ATLETICA,2 ba- 1,Nantes,2025-01-25,https://www.fidal.it/atleta/DI-LAZZARO-Elisa-maria/eauRkpuiaWQ%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SF,8.11,e
60Hs_h84-8.50 (I),8.17,,BESANA Veronica,2002,G.A. FIAMME GIALLE,4 ba- 3,Luxembourg,2025-01-19,https://www.fidal.it/atleta/BESANA-Veronica/dquRkpmfamM%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SF,8.17,e
60Hs_h84-8.50 (I),8.21,,WEGIERSKA Angelika elzbieta,1994,ATLETICA FIRENZE MARATHON S.S.,2 ba- 2,Metz,2025-02-08,https://www.fidal.it/atleta/WEGIERSKA-Angelika-elzbieta/eayRk5amaWs%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002,SF,8.21,e
60Hs_h84-8.50 (I),8.27,,MOSETTI Nicla,1997,SSD NISSOLINO SPORT SRL ASU,1 ba- 2,Ancona,2025-01-18,https://www.fidal.it/atleta/MOSETTI-Nicla/eauRkpuiaGw%3D,https://www.fidal.it/societa/SSD-NISSOLINO-SPORT-SRL-ASU/RM363,SF,8.27,e
60Hs_h84-8.50 (I),8.29,,POLZONETTI Celeste,2005,BRACCO ATLETICA,4 fi- 1,Spokane,2025-01-17,https://www.fidal.it/atleta/POLZONETTI-Celeste/dq2RmZSlaWk%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221,PF,8.29,e
60Hs_h84-8.50 (I),8.30,,GEREVINI Sveva,1996,C.S. CARABINIERI SEZ. ATLETICA,3 se- 4,Aubiere,2025-01-26,https://www.fidal.it/atleta/GEREVINI-Sveva/dqiSl5SkaWQ%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SF,8.3,e
60Hs_h84-8.50 (I),8.32,,NESSENZIA Elena,2003,GS LA PIAVE 2000,2 fi- 1,Padova,2025-02-08,https://www.fidal.it/atleta/NESSENZIA-Elena/eKmRlJSmbGs%3D,https://www.fidal.it/societa/GS-LA-PIAVE-2000/BL008,PF,8.32,e
60Hs_h84-8.50 (I),8.35,,CARRARO Elena,2001,G.A. FIAMME GIALLE,8 ba- 1,Lievin,2025-02-13,https://www.fidal.it/atleta/CARRARO-Elena/dqqRmJKicGk%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SF,8.35,e
