disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
800m (P),1:43.75,,TECUCEANU Catalin,1999,G.S. FIAMME ORO PADOVA,9 su- 1,Monaco,2024-07-12,https://www.fidal.it/atleta/TECUCEANU-Catalin/eK2Rkpelamo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SM,103.75,e
800m (P),1:45.11,,BARONTINI Simone,1999,G.S. FIAMME AZZURRE,5 su- 1,Bydgoszcz,2024-06-20,https://www.fidal.it/atleta/BARONTINI-Simone/e6mRkpOlamw%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SM,105.11,e
800m (P),1:45.26,,PERNICI Francesco,2003,G.A. FIAMME GIALLE,8 se- 1,Madrid,2024-06-21,https://www.fidal.it/atleta/PERNICI-Francesco/dqqRmJKoa2M%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,PM,105.26,e
800m (P),1:45.57,,MANISCALCO Tommaso,2002,ATL.STUD. RIETI ANDREA MILARDI,2 se- 2,Trieste,2024-06-22,https://www.fidal.it/atleta/MANISCALCO-Tommaso/f6yRlJSiaGw%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,PM,105.57,e
800m (P),1:45.71,,LAZZARO Giovanni,2004,C.S. AERONAUTICA MILITARE,7 su- 1,Rovereto,2024-09-03,https://www.fidal.it/atleta/LAZZARO-Giovanni/eKyRkpqka2k%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053,PM,105.71,e
800m (P),1:46.41,,HADAR Zohair,2000,G.S. AVIS BARLETTA A.S.D.,2 se- 4,Conegliano,2024-05-11,https://www.fidal.it/atleta/HADAR-Zohair/hqmRkpOgaGo%3D,https://www.fidal.it/societa/G-S--AVIS-BARLETTA-A-S-D-/BA754,SM,106.41,e
800m (P),1:46.59,,ANGIONO Gabriele,2004,BATTAGLIO C.U.S. TORINO ATL,3 sf- 2,Lexington,2024-05-24,https://www.fidal.it/atleta/ANGIONO-Gabriele/dK6RlpehaGk%3D,https://www.fidal.it/societa/BATTAGLIO-C-U-S--TORINO-ATL/TO001,PM,106.59,e
800m (P),1:47.19,,RIVA Federico,2000,G.A. FIAMME GIALLE,1 se- 1,Tivoli,2024-04-25,https://www.fidal.it/atleta/RIVA-Federico/f6yRk5agbms%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,107.19,e
800m (P),1:47.51,,BRAZZALE Enrico,1995,ATL.VICENTINA,4 se- 2,Trieste,2024-06-22,https://www.fidal.it/atleta/BRAZZALE-Enrico/eK6RkpSgcWk%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626,SM,107.51,e
800m (P),1:47.60,,GRAVANTE Giuseppe,2001,CALCESTRUZZI CORRADINI EXCELS.,1 se- 1,Rubiera,2024-06-19,https://www.fidal.it/atleta/GRAVANTE-Giuseppe/erGRkpWobGs%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106,SM,107.6,e
800m (P),1:47.62,,FILIPPI Giovanni,1998,ASD LA FRATELLANZA 1874,8 se- 1,San Vito Al Tagliamento,2024-06-02,https://www.fidal.it/atleta/FILIPPI-Giovanni/dqmRl5emaWo%3D,https://www.fidal.it/societa/ASD-LA-FRATELLANZA-1874/MO052,SM,107.62,e
800m (P),1:47.81,,CONTI Francesco,1995,ATL. IMOLA SACMI AVIS,6 se- 4,Conegliano,2024-05-11,https://www.fidal.it/atleta/CONTI-Francesco/eqiRlpigbmQ%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014,SM,107.81,e
800m (I),1:49.06,,PERON Jacopo,1996,VARESE ATLETICA A.S.D.,3 su- 1,Ancona,2025-01-18,https://www.fidal.it/atleta/PERON-Jacopo/drKRkpWncGQ%3D,https://www.fidal.it/societa/VARESE-ATLETICA-A-S-D-/VA918,SM,109.06,e
800m (I),1:49.76,,PERAZZO Amedeo,2001,ATL. RICCARDI MILANO 1946,1 se- 1,Ancona,2025-01-26,https://www.fidal.it/atleta/PERAZZO-Amedeo/gKyRkpmjbmY%3D,https://www.fidal.it/societa/ATL--RICCARDI-MILANO-1946/MI080,SM,109.76,e
800m (I),1:50.02,,DE SANTIS Francesco,2006,ATL.STUD. RIETI ANDREA MILARDI,2 se- 1,Ancona,2025-01-26,https://www.fidal.it/atleta/DE-SANTIS-Francesco/f62Rkpqma2w%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,JM,110.02,e
