prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7.82,7.82,e,BOGLIOLO Luminosa,1995,AF,A.S.D.  C.U.S. GENOVA,1 se- 1,Nizza,2012-01-07,https://www.fidal.it/atleta/BOGLIOLO-Luminosa/dayRkpKga2g%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
8.25,8.25,e,FUCCI Eleonora,1995,AF,ASD ENTERPRISE SPORT & SERVICE,1 se- 1,Napoli,2012-02-15,https://www.fidal.it/atleta/FUCCI-Eleonora/gKiRlZejb2w%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
8.28,8.28,e,FUCCI Eleonora,1995,AF,ASD ENTERPRISE SPORT & SERVICE,1 se- 1,Napoli,2012-02-15,https://www.fidal.it/atleta/FUCCI-Eleonora/gKiRlZejb2w%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
8.4,8.40,e,FUCCI Eleonora,1995,AF,ASD ENTERPRISE SPORT & SERVICE,1 se- 1,Napoli,2012-01-14,https://www.fidal.it/atleta/FUCCI-Eleonora/gKiRlZejb2w%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
8.81,8.81,e,SCOCCA Flavia,1996,AF,A.S.D. LIB. POL. AMAT. ATL. BN,3 se- 1,Napoli,2012-01-14,https://www.fidal.it/atleta/SCOCCA-Flavia/gKqRkpKga2s%3D,https://www.fidal.it/societa/A-S-D--LIB--POL--AMAT--ATL--BN/BN026
9.41,9.41,e,SCOCCA Flavia,1996,AF,A.S.D. LIB. POL. AMAT. ATL. BN,2 se- 1,Napoli,2012-02-15,https://www.fidal.it/atleta/SCOCCA-Flavia/gKqRkpKga2s%3D,https://www.fidal.it/societa/A-S-D--LIB--POL--AMAT--ATL--BN/BN026
8.57,8.57,e,PEDUZZI Alessia,1998,CF,A.S. ATLETICA 2000 BORDIGHERA,1 se- 1,Nice,2013-12-15,https://www.fidal.it/atleta/PEDUZZI-Alessia/daqRkpKlcGo%3D,https://www.fidal.it/societa/A-S--ATLETICA-2000-BORDIGHERA/IM038
9.19,9.19,e,GUERRUCCI Sara,1998,CF,A.S. 'FOCE' SANREMO,3 se- 1,Nice,2013-12-15,https://www.fidal.it/atleta/GUERRUCCI-Sara/daiUlpSmaGk%3D,https://www.fidal.it/societa/A-S--FOCE-SANREMO/IM030
7.72,7.72,e,SCHWARZ Carla maria,1997,AF,S.S. TRIONFO LIGURE,1 se- 1,Nice,2013-02-03,https://www.fidal.it/atleta/SCHWARZ-Carla-maria/damRkpKfb2c%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
7.92,7.92,e,SCHWARZ Carla maria,1997,AF,S.S. TRIONFO LIGURE,1 se- 1,Nice,2013-01-05,https://www.fidal.it/atleta/SCHWARZ-Carla-maria/damRkpKfb2c%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.14,8.14,e,RIGO Elena,1997,AF,U.S. MAURINA OLIO CARLI,2 se- 1,Nice,2013-02-03,https://www.fidal.it/atleta/RIGO-Elena/daqRkpKiaGY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
8.15,8.15,e,RIGO Elena,1997,AF,U.S. MAURINA OLIO CARLI,2 se- 1,Nice,2013-01-05,https://www.fidal.it/atleta/RIGO-Elena/daqRkpKiaGY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
8.54,8.54,e,RIGO Elena,1997,AF,U.S. MAURINA OLIO CARLI,1 se- 1,Nice,2013-12-15,https://www.fidal.it/atleta/RIGO-Elena/daqRkpKiaGY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
8.57,8.57,e,COLOMBO Elena,1997,AF,BRACCO ATLETICA,3 se- 1,Nice,2013-01-05,https://www.fidal.it/atleta/COLOMBO-Elena/dq2Rk5ahcWk%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
8.6,8.60,e,BOTTICELLA Andrea,1997,AF,A.S.D. POLISPORTIVA ASTRO 2000,1 fi- 2,Napoli,2013-01-19,https://www.fidal.it/atleta/BOTTICELLA-Andrea/gKqRkpKibmU%3D,https://www.fidal.it/societa/A-S-D--POLISPORTIVA-ASTRO-2000/BN286
8.75,8.75,e,BOTTICELLA Andrea,1997,AF,A.S.D. POLISPORTIVA ASTRO 2000,1 fi- 1,Napoli,2013-01-19,https://www.fidal.it/atleta/BOTTICELLA-Andrea/gKqRkpKibmU%3D,https://www.fidal.it/societa/A-S-D--POLISPORTIVA-ASTRO-2000/BN286
8.76,8.76,e,TARSI Gaia,1997,AF,A.S. 'FOCE' SANREMO,3 se- 1,Nice,2013-12-15,https://www.fidal.it/atleta/TARSI-Gaia/daqRkpKlaGQ%3D,https://www.fidal.it/societa/A-S--FOCE-SANREMO/IM030
9.11,9.11,e,VIGNATI Laura,1997,AF,BRACCO ATLETICA,3 se- 1,Nice,2013-01-05,https://www.fidal.it/atleta/VIGNATI-Laura/dq2Rk5amamo%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
7.48,7.48,e,SCHWARZ Carla maria,1997,AF,S.S. TRIONFO LIGURE,1 ba- 4,Nizza,2014-01-04,https://www.fidal.it/atleta/SCHWARZ-Carla-maria/damRkpKfb2c%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
7.72,7.72,e,VOGHERA Federica,1997,AF,A.S.D. ATLETICA ALBA,2 fi- 1,Nizza,2014-01-04,https://www.fidal.it/atleta/VOGHERA-Federica/dKyRlJSmbWQ%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-ALBA/CN008
7.81,7.81,e,VOGHERA Federica,1997,AF,A.S.D. ATLETICA ALBA,3 ba- 4,Nizza,2014-01-04,https://www.fidal.it/atleta/VOGHERA-Federica/dKyRlJSmbWQ%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-ALBA/CN008
7.84,7.84,e,DI VARA Giorgia,1998,AF,ATLETICA VIRTUS ACIREALE,1 su- 1,Palermo,2014-01-11,https://www.fidal.it/atleta/DI-VARA-Giorgia/h6qRkpKgbWc%3D,https://www.fidal.it/societa/ATLETICA-VIRTUS-ACIREALE/CT765
8.29,8.29,e,SURANO Violante,1998,AF,S.S. TRIONFO LIGURE,1 se- 1,Nice,2014-02-02,https://www.fidal.it/atleta/SURANO-Violante/daiUlpWnbWg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.01,8.01,e,AMMIRATI Joanna,1999,AF,U.S. MAURINA OLIO CARLI,1 fi- 3,Nizza,2015-01-04,https://www.fidal.it/atleta/AMMIRATI-Joanna/daqRkpOicWw%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
8.16,8.16,e,SURANO Violante,1998,AF,S.S. TRIONFO LIGURE,1 fi- 2,Nizza,2015-01-04,https://www.fidal.it/atleta/SURANO-Violante/daiUlpWnbWg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.19,8.19,e,AMMIRATI Joanna,1999,AF,U.S. MAURINA OLIO CARLI,2 se- 2,Nizza,2015-01-18,https://www.fidal.it/atleta/AMMIRATI-Joanna/daqRkpOicWw%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
8.22,8.22,e,FERRO Francesca,1999,AF,S.S. TRIONFO LIGURE,2 fi- 3,Nizza,2015-01-04,https://www.fidal.it/atleta/FERRO-Francesca/dayRkpOlbGg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.36,8.36,e,SURANO Violante,1998,AF,S.S. TRIONFO LIGURE,1 se- 1,Nizza,2015-01-18,https://www.fidal.it/atleta/SURANO-Violante/daiUlpWnbWg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.51,8.51,e,FERRO Francesca,1999,AF,S.S. TRIONFO LIGURE,2 se- 1,Nizza,2015-01-18,https://www.fidal.it/atleta/FERRO-Francesca/dayRkpOlbGg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.63,8.63,e,BOVERO Alessia,1999,AF,S.S. TRIONFO LIGURE,2 se- 4,Nizza,2015-01-04,https://www.fidal.it/atleta/BOVERO-Alessia/dayRkpOlbGc%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
9.13,9.13,e,BOZZO Marina,1998,AF,S.S. TRIONFO LIGURE,3 se- 4,Nizza,2015-01-04,https://www.fidal.it/atleta/BOZZO-Marina/damRkpagbmc%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
7.71,7.71,e,SPEZZAFERRO Martina,2000,AF,ASD ENTERPRISE SPORT & SERVICE,1 su- 1,Napoli,2016-01-24,https://www.fidal.it/atleta/SPEZZAFERRO-Martina/gKyRkpaiams%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
7.73,7.73,e,SPEZZAFERRO Martina,2000,AF,ASD ENTERPRISE SPORT & SERVICE,1 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/SPEZZAFERRO-Martina/gKyRkpaiams%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
7.82,7.82,e,SPEZZAFERRO Martina,2000,AF,ASD ENTERPRISE SPORT & SERVICE,1 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/SPEZZAFERRO-Martina/gKyRkpaiams%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
7.87,7.87,e,SPEZZAFERRO Martina,2000,AF,ASD ENTERPRISE SPORT & SERVICE,1 su- 1,Napoli,2016-01-17,https://www.fidal.it/atleta/SPEZZAFERRO-Martina/gKyRkpaiams%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
8.0,8.00,e,KOSCIOLEK Patrycja,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,2 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/KOSCIOLEK-Patrycja/gKyRkpanbGw%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
8.02,8.02,e,KOSCIOLEK Patrycja,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,2 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/KOSCIOLEK-Patrycja/gKyRkpanbGw%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
8.08,8.08,e,KOSCIOLEK Patrycja,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,2 su- 1,Napoli,2016-01-24,https://www.fidal.it/atleta/KOSCIOLEK-Patrycja/gKyRkpanbGw%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
8.18,8.18,e,FERRO Francesca,1999,AF,S.S. TRIONFO LIGURE,3 se- 1,Nizza,2016-01-03,https://www.fidal.it/atleta/FERRO-Francesca/dayRkpOlbGg%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
8.25,8.25,e,KOSCIOLEK Patrycja,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,2 su- 1,Napoli,2016-01-17,https://www.fidal.it/atleta/KOSCIOLEK-Patrycja/gKyRkpanbGw%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
8.34,8.34,e,PETTINEO Aurora,2000,AF,AMATORI S.C.DUILIA,1 su- 1,Palermo,2016-01-23,https://www.fidal.it/atleta/PETTINEO-Aurora/h62RkpOgcGo%3D,https://www.fidal.it/societa/AMATORI-S-C-DUILIA/ME112
8.85,8.85,e,PERIFANO Martina,2000,AF,LIBERTAS AMATORI ATLETICA LEGG,3 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/PERIFANO-Martina/gKqRkpKocWc%3D,https://www.fidal.it/societa/LIBERTAS-AMATORI-ATLETICA-LEGG/BN800
8.9,8.90,e,PERIFANO Martina,2000,AF,LIBERTAS AMATORI ATLETICA LEGG,3 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/PERIFANO-Martina/gKqRkpKocWc%3D,https://www.fidal.it/societa/LIBERTAS-AMATORI-ATLETICA-LEGG/BN800
8.99,8.99,e,HANGANU Andreea roxana,1999,AF,LIBERTAS AMATORI ATLETICA LEGG,4 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/HANGANU-Andreea-roxana/gKqRkpOfaGY%3D,https://www.fidal.it/societa/LIBERTAS-AMATORI-ATLETICA-LEGG/BN800
9.03,9.03,e,PERIFANO Martina,2000,AF,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Napoli,2016-01-24,https://www.fidal.it/atleta/PERIFANO-Martina/gKqRkpKocWc%3D,https://www.fidal.it/societa/LIBERTAS-AMATORI-ATLETICA-LEGG/BN800
9.05,9.05,e,HANGANU Andreea roxana,1999,AF,LIBERTAS AMATORI ATLETICA LEGG,4 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/HANGANU-Andreea-roxana/gKqRkpOfaGY%3D,https://www.fidal.it/societa/LIBERTAS-AMATORI-ATLETICA-LEGG/BN800
9.42,9.42,e,VALERIANI Valentina,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,5 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/VALERIANI-Valentina/gKuRkpOjaGk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
9.48,9.48,e,VALERIANI Valentina,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,5 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/VALERIANI-Valentina/gKuRkpOjaGk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
9.87,9.87,e,VALERIANI Valentina,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,3 su- 1,Napoli,2016-01-17,https://www.fidal.it/atleta/VALERIANI-Valentina/gKuRkpOjaGk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
9.87,9.87,e,VALERIANI Valentina,2000,AF,ASD ARCA ATL.AVERSA A.AVERSANO,4 su- 1,Napoli,2016-01-24,https://www.fidal.it/atleta/VALERIANI-Valentina/gKuRkpOjaGk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
8.82,8.82,e,PEDUZZI Stefania,2002,CF,A.S. ATLETICA 2000 BORDIGHERA,1 fi- 2,Nizza,2017-11-25,https://www.fidal.it/atleta/PEDUZZI-Stefania/daqRkpOfbGs%3D,https://www.fidal.it/societa/A-S--ATLETICA-2000-BORDIGHERA/IM038
8.91,8.91,e,PEDUZZI Stefania,2002,CF,A.S. ATLETICA 2000 BORDIGHERA,1 ba- 3,Nizza,2017-11-25,https://www.fidal.it/atleta/PEDUZZI-Stefania/daqRkpOfbGs%3D,https://www.fidal.it/societa/A-S--ATLETICA-2000-BORDIGHERA/IM038
9.04,9.04,e,BURDESE Aurora,2002,CF,SANTO STEFANO ATLETICA PLANUM,2 ba- 3,Nizza,2017-11-25,https://www.fidal.it/atleta/BURDESE-Aurora/daqRkpOgbGY%3D,https://www.fidal.it/societa/SANTO-STEFANO-ATLETICA-PLANUM/IM042
9.08,9.08,e,BURDESE Aurora,2002,CF,SANTO STEFANO ATLETICA PLANUM,2 fi- 2,Nizza,2017-11-25,https://www.fidal.it/atleta/BURDESE-Aurora/daqRkpOgbGY%3D,https://www.fidal.it/societa/SANTO-STEFANO-ATLETICA-PLANUM/IM042
7.71,7.71,e,MICHELOTTI Margherita,2001,AF,C.U.S. PARMA,1 fi- 1,Parma,2017-12-23,https://www.fidal.it/atleta/MICHELOTTI-Margherita/eq2RkpKlamQ%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
7.73,7.73,e,MICHELOTTI Margherita,2001,AF,C.U.S. PARMA,1 ba- 1,Parma,2017-12-23,https://www.fidal.it/atleta/MICHELOTTI-Margherita/eq2RkpKlamQ%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
