prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7.49,7.49,e,MARRUCCELLA Michele,1993,JM,A.P.D. PARTENOPE ATL. LEGG.,1 se- 1,Napoli,2012-02-15,https://www.fidal.it/atleta/MARRUCCELLA-Michele/gKiRlZukbGU%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
7.51,7.51,e,MARRUCCELLA Michele,1993,JM,A.P.D. PARTENOPE ATL. LEGG.,1 se- 1,Napoli,2012-02-15,https://www.fidal.it/atleta/MARRUCCELLA-Michele/gKiRlZukbGU%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
7.75,7.75,e,MARRUCCELLA Michele,1993,JM,A.P.D. PARTENOPE ATL. LEGG.,2 se- 1,Napoli,2012-01-14,https://www.fidal.it/atleta/MARRUCCELLA-Michele/gKiRlZukbGU%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
7.94,7.94,e,PINNA Edoardo,1995,JM,U.S. MAURINA OLIO CARLI,3 se- 1,Nice,2013-01-05,https://www.fidal.it/atleta/PINNA-Edoardo/daiUlpSoamg%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
8.01,8.01,e,PINNA Edoardo,1995,JM,U.S. MAURINA OLIO CARLI,2 su- 1,Nice,2013-02-03,https://www.fidal.it/atleta/PINNA-Edoardo/daiUlpSoamg%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
7.66,7.66,e,REBAGLIATI Francesco,1996,JM,ATLETICA ARCOBALENO SAVONA,1 ba- 2,Nizza,2014-01-04,https://www.fidal.it/atleta/REBAGLIATI-Francesco/dayRkpKfbWc%3D,https://www.fidal.it/societa/ATLETICA-ARCOBALENO-SAVONA/SV070
7.66,7.66,e,REBAGLIATI Francesco,1996,JM,ATLETICA ARCOBALENO SAVONA,1 fi- 1,Nizza,2014-01-04,https://www.fidal.it/atleta/REBAGLIATI-Francesco/dayRkpKfbWc%3D,https://www.fidal.it/societa/ATLETICA-ARCOBALENO-SAVONA/SV070
7.71,7.71,e,GAZZO Michele,1996,JM,S.S. TRIONFO LIGURE,2 fi- 1,Nizza,2014-01-04,https://www.fidal.it/atleta/GAZZO-Michele/daiUlpafcGo%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
7.78,7.78,e,GAZZO Michele,1996,JM,S.S. TRIONFO LIGURE,1 ba- 1,Nizza,2014-01-04,https://www.fidal.it/atleta/GAZZO-Michele/daiUlpafcGo%3D,https://www.fidal.it/societa/S-S--TRIONFO-LIGURE/GE003
7.94,7.94,e,ARRIGONI Valentino,1996,JM,NUOVA ATLETICA ASTRO,2 ba- 2,Nizza,2014-01-04,https://www.fidal.it/atleta/ARRIGONI-Valentino/dq2RlZOobmw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-ASTRO/MI212
