prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7.77,7.77,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,2 ba- 1,Vienna,2007-01-30,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.8,7.80,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,1 ba- 1,Ancona,2007-02-10,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.82,7.82,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,1 fi- 1,Ancona,2007-02-10,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.84,7.84,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,1 ba- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.85,7.85,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,1 su- 1,Tampere,2007-02-04,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.86,7.86,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,1 fi- 1,Modena,2007-01-27,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.87,7.87,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,2 fi- 1,Ancona,2007-02-10,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.88,7.88,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,4 fi- 1,Vienna,2007-01-30,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.88,7.88,e,PIZZOLI Emiliano,1974,SM,C.S. CARABINIERI SEZ. ATLETICA,1 fi- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/PIZZOLI-Emiliano/f6iRkpKmamM%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7.89,7.89,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,1 ba- 2,Ancona,2007-02-17,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.91,7.91,e,PIZZOLI Emiliano,1974,SM,C.S. CARABINIERI SEZ. ATLETICA,3 fi- 1,Ancona,2007-02-10,https://www.fidal.it/atleta/PIZZOLI-Emiliano/f6iRkpKmamM%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7.91,7.91,e,ALTERIO Andrea,1973,SM,G.A. FIAMME GIALLE,2 fi- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/ALTERIO-Andrea/eaiRkpKhcGg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.92,7.92,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,1 fi- 1,Ancona,2007-01-20,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.92,7.92,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,1 ba- 2,Ancona,2007-02-10,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.92,7.92,e,CEGLIE Luca,1979,SM,C.S. AERONAUTICA MILITARE,3 fi- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/CEGLIE-Luca/hKiRkpuha2o%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.93,7.93,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,1 ba- 1,Ancona,2007-01-20,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.93,7.93,e,PIZZOLI Emiliano,1974,SM,C.S. CARABINIERI SEZ. ATLETICA,1 ba- 3,Ancona,2007-02-17,https://www.fidal.it/atleta/PIZZOLI-Emiliano/f6iRkpKmamM%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7.93,7.93,e,ALTERIO Andrea,1973,SM,G.A. FIAMME GIALLE,2 ba- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/ALTERIO-Andrea/eaiRkpKhcGg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.93,7.93,e,GIOVANNELLI Luca,1975,SM,G.S. FIAMME ORO PADOVA,4 fi- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/GIOVANNELLI-Luca/faiRkpOocGU%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
7.93,7.93,e,COMENCINI Nicola,1978,SM,ATL.  CENTO TORRI PAVIA,5 fi- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/COMENCINI-Nicola/eKiRkpejbWs%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
7.95,7.95,e,GIACONI Andrea,1974,SM,G.A. FIAMME GIALLE,6 fi- 1,Ancona,2007-02-17,https://www.fidal.it/atleta/GIACONI-Andrea/eqiRkpKkbWo%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
7.96,7.96,e,BERDINI Giorgio,1979,SM,C.S. AERONAUTICA MILITARE,1 ba- 2,Modena,2007-01-27,https://www.fidal.it/atleta/BERDINI-Giorgio/e6iRkpKobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7.96,7.96,e,GIOVANNELLI Luca,1975,SM,G.S. FIAMME ORO PADOVA,2 ba- 3,Ancona,2007-02-17,https://www.fidal.it/atleta/GIOVANNELLI-Luca/faiRkpOocGU%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
