prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
12.55,12.55,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,1 se- 2,Torun,2019-03-29,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
12.8,12.80,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,1 se- 1,Ancona,2019-02-22,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
12.82,12.82,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,1 su- 1,Ancona,2019-02-23,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
12.87,12.87,e,MARTONE Annunziata,1956,SF60,ASD ROMATLETICA FOOTWORKS,7 fi- 1,Torun,2019-03-30,https://www.fidal.it/atleta/MARTONE-Annunziata/gauRkpKkbms%3D,https://www.fidal.it/societa/ASD-ROMATLETICA-FOOTWORKS/RM232
13.07,13.07,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,4 su- 1,Padova,2019-02-09,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
13.14,13.14,e,BETTELLA Barbara,1959,SF60,GIOVANNI SCAVO 2000 ATL.,2 se- 1,Ancona,2019-02-22,https://www.fidal.it/atleta/BETTELLA-Barbara/f6iRmZmfbWw%3D,https://www.fidal.it/societa/GIOVANNI-SCAVO-2000-ATL-/RM106
14.2,14.20,e,RAFTI Maria grazia,1951,SF65,A.S.D. LIBERATLETICA,1 su- 1,Ancona,2019-02-23,https://www.fidal.it/atleta/RAFTI-Maria-grazia/f6iRmJWma2U%3D,https://www.fidal.it/societa/A-S-D--LIBERATLETICA/RM014
14.41,14.41,e,GASPARI Mario,1940,SM80,A.ATL.DOLOMITI BELLUNO,1 su- 1,Padova,2020-02-15,https://www.fidal.it/atleta/GASPARI-Mario/eKmRlJKkbGQ%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
11.49,11.49,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,1 su- 1,Padova,2020-02-15,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
13.68,13.68,e,TAVOSO Marisa,1960,SF60,EXPANDIA ATL. INSIEME VERONA,2 su- 1,Padova,2020-02-15,https://www.fidal.it/atleta/TAVOSO-Marisa/eKiRk5Kmbmw%3D,https://www.fidal.it/societa/EXPANDIA-ATL--INSIEME-VERONA/VR761
12.77,12.77,e,SOFIA Alberto,1941,SM80,CUS BARI,1 su- 1,Ancona,2021-03-18,https://www.fidal.it/atleta/SOFIA-Alberto/hKiRkpijaWg%3D,https://www.fidal.it/societa/CUS-BARI/BA007
11.15,11.15,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,1 su- 1,Ancona,2021-03-18,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
11.3,11.30,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,1 su- 1,Casalmaggiore,2021-02-27,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
13.92,13.92,e,SOFIA Alberto,1941,SM80,CUS BARI,1 su- 1,Ancona,2022-02-10,https://www.fidal.it/atleta/SOFIA-Alberto/hKiRkpijaWg%3D,https://www.fidal.it/societa/CUS-BARI/BA007
29.36,29.36,e,MINOPOLI Ernesto,1933,SM85,AMATORI MASTERS NOVARA,1 su- 1,Ancona,2022-02-10,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
11.82,11.82,e,PASSIGATO Chiara maria,1961,SF60,ATL. INSIEME VERONA,1 su- 1,Ancona,2022-02-10,https://www.fidal.it/atleta/PASSIGATO-Chiara-maria/eKAAARkpWiaWo%3D,https://www.fidal.it/societa/ATL--INSIEME-VERONA/VR761
11.98,11.98,e,PASSIGATO Chiara maria,1961,SF60,ATL. INSIEME VERONA,1 su- 1,Casalmaggiore,2022-01-29,https://www.fidal.it/atleta/PASSIGATO-Chiara-maria/eKAAARkpWiaWo%3D,https://www.fidal.it/societa/ATL--INSIEME-VERONA/VR761
12.16,12.16,e,PASSIGATO Chiara maria,1961,SF60,ATL. INSIEME VERONA,5 su- 1,Padova,2022-01-09,https://www.fidal.it/atleta/PASSIGATO-Chiara-maria/eKAAARkpWiaWo%3D,https://www.fidal.it/societa/ATL--INSIEME-VERONA/VR761
12.52,12.52,e,LO FAZIO Cinzia,1962,SF60,GIOVANNI SCAVO 2000 ATL.,2 su- 1,Ancona,2022-02-10,https://www.fidal.it/atleta/LO-FAZIO-Cinzia/f6yRk5Kna2M%3D,https://www.fidal.it/societa/GIOVANNI-SCAVO-2000-ATL-/RM106
13.51,13.51,e,RAFTI Maria grazia,1951,SF70,A.S.D. LIBERATLETICA,1 su- 1,Ancona,2022-02-10,https://www.fidal.it/atleta/RAFTI-Maria-grazia/f6iRmJWma2U%3D,https://www.fidal.it/societa/A-S-D--LIBERATLETICA/RM014
13.72,13.72,e,SOFIA Alberto,1941,SM80,CUS BARI,1 su- 1,Ancona,2023-03-10,https://www.fidal.it/atleta/SOFIA-Alberto/hKiRkpijaWg%3D,https://www.fidal.it/societa/CUS-BARI/BA007
15.01,15.01,e,CICCHELLI Silvino,1943,SM80,ASD 'VINI FANTINI',1 su- 1,Ancona,2023-03-09,https://www.fidal.it/atleta/CICCHELLI-Silvino/gauRkpKfcGs%3D,https://www.fidal.it/societa/ASD-VINI-FANTINI-/PE032
15.78,15.78,e,CICCHELLI Silvino,1943,SM80,ASD 'VINI FANTINI',2 su- 1,Ancona,2023-03-10,https://www.fidal.it/atleta/CICCHELLI-Silvino/gauRkpKfcGs%3D,https://www.fidal.it/societa/ASD-VINI-FANTINI-/PE032
18.66,18.66,e,BRUNI Francesco,1941,SM80,COLLECTION ATLETICA SAMBENEDET,2 su- 1,Ancona,2023-03-09,https://www.fidal.it/atleta/BRUNI-Francesco/e6iRkpWhbmg%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
