prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
8.36,8.36,e,BERLESE Nicola,1992,CM,ATLETICA BRUGNERA FRIULINTAGLI,1 se- 1,Padova,2007-03-18,https://www.fidal.it/atleta/BERLESE-Nicola/eaqRkpmkbGQ%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
8.5,8.50,e,FUSIANI Simone,1992,CM,ATL. STUDENTESCA CA.RI.RI,1 fi- 1,Rieti,2007-02-18,https://www.fidal.it/atleta/FUSIANI-Simone/f6iRmJaibGw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
8.56,8.56,e,BERLESE Nicola,1992,CM,ATLETICA BRUGNERA FRIULINTAGLI,1 su- 1,Udine,2007-03-11,https://www.fidal.it/atleta/BERLESE-Nicola/eaqRkpmkbGQ%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
8.57,8.57,e,BERLESE Nicola,1992,CM,ATLETICA BRUGNERA FRIULINTAGLI,1 se- 1,Udine,2007-02-24,https://www.fidal.it/atleta/BERLESE-Nicola/eaqRkpmkbGQ%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
8.65,8.65,e,MAZZINI Alessandro,1992,CM,CSI SASSO MARCONI,2 se- 1,Padova,2007-03-18,https://www.fidal.it/atleta/MAZZINI-Alessandro/eqiRlpKoaWg%3D,https://www.fidal.it/societa/CSI-SASSO-MARCONI/BO427
8.7,8.70,e,FUSIANI Simone,1992,CM,ATL. STUDENTESCA CA.RI.RI,1 se- 1,Napoli,2007-03-18,https://www.fidal.it/atleta/FUSIANI-Simone/f6iRmJaibGw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
8.71,8.71,e,FELLINE Francesco,1992,CM,ATL. RIGOLETTO,3 se- 1,Padova,2007-03-18,https://www.fidal.it/atleta/FELLINE-Francesco/dqiSl5Slamw%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
8.74,8.74,e,VETTORE Federico,1992,CM,ATLETICA VIS ABANO,4 se- 1,Padova,2007-03-18,https://www.fidal.it/atleta/VETTORE-Federico/eKiRlZenaGM%3D,https://www.fidal.it/societa/ATLETICA-VIS-ABANO/PD141
8.77,8.77,e,MAZZINI Alessandro,1992,CM,CSI SASSO MARCONI,1 fi- 1,Modena,2007-02-24,https://www.fidal.it/atleta/MAZZINI-Alessandro/eqiRlpKoaWg%3D,https://www.fidal.it/societa/CSI-SASSO-MARCONI/BO427
8.77,8.77,e,DIDIONI Matteo,1992,CM,A.S.D.SSV BRIXEN LEICHTATHL.,2 su- 1,Monaco,2007-03-11,https://www.fidal.it/atleta/DIDIONI-Matteo/iaiRkpemcWY%3D,https://www.fidal.it/societa/A-S-D-SSV-BRIXEN-LEICHTATHL-/BZ031
8.82,8.82,e,FUSIANI Simone,1992,CM,ATL. STUDENTESCA CA.RI.RI,1 ba- 1,Rieti,2007-02-18,https://www.fidal.it/atleta/FUSIANI-Simone/f6iRmJaibGw%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
8.82,8.82,e,BORTOLOTTI Stefano,1992,CM,C.AZ. FINCANTIERI WARTSILA IT.,5 se- 1,Padova,2007-03-18,https://www.fidal.it/atleta/BORTOLOTTI-Stefano/eauRkpmnbmc%3D,https://www.fidal.it/societa/C-AZ--FINCANTIERI-WARTSILA-IT-/TS087
8.83,8.83,e,OLIVA Luigi,1992,CM,ATL. SABATINA,1 ba- 3,Rieti,2007-02-18,https://www.fidal.it/atleta/OLIVA-Luigi/f6iRl5ejb2c%3D,https://www.fidal.it/societa/ATL--SABATINA/RM005
8.83,8.83,e,MORRA Andrea mario,1992,CM,A.S. NUOVA ATL. FORMIA,2 se- 1,Napoli,2007-03-18,https://www.fidal.it/atleta/MORRA-Andrea-mario/f6iRl5mfa2o%3D,https://www.fidal.it/societa/A-S--NUOVA-ATL--FORMIA/LT294
8.86,8.86,e,MAZZINI Alessandro,1992,CM,CSI SASSO MARCONI,1 ba- 1,Modena,2007-02-24,https://www.fidal.it/atleta/MAZZINI-Alessandro/eqiRlpKoaWg%3D,https://www.fidal.it/societa/CSI-SASSO-MARCONI/BO427
8.94,8.94,e,OLIVA Luigi,1992,CM,ATL. SABATINA,2 fi- 1,Rieti,2007-02-18,https://www.fidal.it/atleta/OLIVA-Luigi/f6iRl5ejb2c%3D,https://www.fidal.it/societa/ATL--SABATINA/RM005
8.99,8.99,e,BORTOLOTTI Stefano,1992,CM,C.AZ. FINCANTIERI WARTSILA IT.,2 su- 1,Udine,2007-03-11,https://www.fidal.it/atleta/BORTOLOTTI-Stefano/eauRkpmnbmc%3D,https://www.fidal.it/societa/C-AZ--FINCANTIERI-WARTSILA-IT-/TS087
9.0,9.00,e,VETTORE Federico,1992,CM,ATLETICA VIS ABANO,1 fi- 1,Padova,2007-02-18,https://www.fidal.it/atleta/VETTORE-Federico/eKiRlZenaGM%3D,https://www.fidal.it/societa/ATLETICA-VIS-ABANO/PD141
