prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7.96,7.96,e,CARPINTERI Alessia,1999,CF,A.S.D. TRINACRIA SPORT,1 su- 1,Palermo,2014-02-01,https://www.fidal.it/atleta/CARPINTERI-Alessia/h7GRkpKlamM%3D,https://www.fidal.it/societa/A-S-D--TRINACRIA-SPORT/SR100
8.47,8.47,e,TARANI Chiara,2001,CF,A.S.D. ATL. AGROPOLI,1 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/TARANI-Chiara/gK2RkpKoaGs%3D,https://www.fidal.it/societa/A-S-D--ATL--AGROPOLI/SA128
8.61,8.61,e,TARANI Chiara,2001,CF,A.S.D. ATL. AGROPOLI,1 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/TARANI-Chiara/gK2RkpKoaGs%3D,https://www.fidal.it/societa/A-S-D--ATL--AGROPOLI/SA128
8.75,8.5,m,TARANI Chiara,2001,CF,A.S.D. ATL. AGROPOLI,1 se- 1,Napoli,2016-01-17,https://www.fidal.it/atleta/TARANI-Chiara/gK2RkpKoaGs%3D,https://www.fidal.it/societa/A-S-D--ATL--AGROPOLI/SA128
9.02,9.02,e,FRARACCIO Greta,2002,CF,ATLETICA ISERNIA,2 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/FRARACCIO-Greta/g6qRkpKjaGQ%3D,https://www.fidal.it/societa/ATLETICA-ISERNIA/IS010
9.05,9.05,e,FRARACCIO Greta,2002,CF,ATLETICA ISERNIA,2 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/FRARACCIO-Greta/g6qRkpKjaGQ%3D,https://www.fidal.it/societa/ATLETICA-ISERNIA/IS010
9.23,9.23,e,TORRACO Francesca,2001,CF,IDEATLETICA AURORA,3 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/TORRACO-Francesca/gK2RkpKka2s%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
9.27,9.27,e,TORRACO Francesca,2001,CF,IDEATLETICA AURORA,3 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/TORRACO-Francesca/gK2RkpKka2s%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
9.38,9.38,e,GALGANO Michela,2001,CF,A.S.D. ATL. AGROPOLI,4 ba- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/GALGANO-Michela/gK2RkpSgaGk%3D,https://www.fidal.it/societa/A-S-D--ATL--AGROPOLI/SA128
9.48,9.48,e,GALGANO Michela,2001,CF,A.S.D. ATL. AGROPOLI,4 fi- 1,Napoli,2016-01-30,https://www.fidal.it/atleta/GALGANO-Michela/gK2RkpSgaGk%3D,https://www.fidal.it/societa/A-S-D--ATL--AGROPOLI/SA128
9.65,9.4,m,GALGANO Michela,2001,CF,A.S.D. ATL. AGROPOLI,1 se- 2,Napoli,2016-01-17,https://www.fidal.it/atleta/GALGANO-Michela/gK2RkpSgaGk%3D,https://www.fidal.it/societa/A-S-D--ATL--AGROPOLI/SA128
9.85,9.6,m,TORRACO Francesca,2001,CF,IDEATLETICA AURORA,2 se- 1,Napoli,2016-01-17,https://www.fidal.it/atleta/TORRACO-Francesca/gK2RkpKka2s%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
9.95,9.7,m,CONTRO Saemi,2002,CF,A.S.D. CLUB ATL. NAPOLI,2 se- 2,Napoli,2016-01-17,https://www.fidal.it/atleta/CONTRO-Saemi/eqmRkpalcWU%3D,https://www.fidal.it/societa/A-S-D--CLUB-ATL--NAPOLI/NA072
10.35,10.1,m,DE LUCIA Aurora,2001,CF,A.P.D. AMATORI ATLETICA NAPOLI,3 se- 2,Napoli,2016-01-17,https://www.fidal.it/atleta/DE-LUCIA-Aurora/gKyRkpijcWU%3D,https://www.fidal.it/societa/A-P-D--AMATORI-ATLETICA-NAPOLI/NA064
