punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
937,40.4,40.40,e,DALLO Francesca,1990,CF,ANA ATL.FELTRE,2 se- 1,Fidenza,2005-06-19,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
935,40.45,40.2,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 se- 1,Verona,2005-06-02,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
933,40.49,40.49,e,DALLO Francesca,1990,CF,ANA ATL.FELTRE,3 se- 4,Bisceglie,2005-10-07,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
879,41.55,41.3,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 se- 1,Tezze Sul Brenta,2005-09-18,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
878,41.58,41.58,e,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 se- 2,San Biagio Di Callalta,2024-05-19,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
877,41.59,41.59,e,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,4 se- 1,Vittorio Veneto,2024-09-22,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
877,35.3,35.30,e,SIRAGNA Lorenzo,2001,JM,ANA ATL.FELTRE,2 se- 1,Rovereto,2019-04-14,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
874,41.65,41.4,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 se- 1,Cassola,2005-04-30,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
869,41.75,41.5,m,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 se- 1,Borgo Valbelluna,2024-06-16,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
850,42.15,41.9,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 se- 2,Belluno,2005-04-23,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
842,42.31,42.31,e,SCHENAL Anna,2004,CF,ANA ATL.FELTRE,2 se- 1,Bovolone,2019-09-22,https://www.fidal.it/atleta/SCHENAL-Anna/eKmRlJajbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
833,35.86,35.86,e,MANISCALCHI Stefano,1990,PM,ANA ATL.FELTRE,1 se- 9,Conegliano,2010-04-10,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
833,42.5,42.50,e,SCHENAL Anna,2004,CF,ANA ATL.FELTRE,2 se- 1,Bassano Del Grappa,2019-05-26,https://www.fidal.it/atleta/SCHENAL-Anna/eKmRlJajbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
827,35.93,35.93,e,ZANDOMENEGHI Marco,1997,PM,ANA ATL.FELTRE,4 se- 1,Rovereto,2017-04-22,https://www.fidal.it/atleta/ZANDOMENEGHI-Marco/eKmRlJWjb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
826,35.95,35.7,m,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 se- 1,Belluno,2010-10-16,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
825,42.65,42.4,m,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 se- 1,Borgo Valbelluna,2023-06-21,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
811,42.95,42.7,m,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 se- 1,Agordo,2023-05-27,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
810,36.15,35.9,m,ZANDOMENEGHI Marco,1997,PM,ANA ATL.FELTRE,1 se- 1,Feltre,2017-10-14,https://www.fidal.it/atleta/ZANDOMENEGHI-Marco/eKmRlJWjb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
803,36.25,36.0,m,MANISCALCHI Stefano,1990,JM,ANA ATL.FELTRE,2 se- 1,Belluno,2008-10-18,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
795,36.35,36.1,m,VELLO Michele,1997,PM,ANA ATL.FELTRE,2 se- 1,Feltre,2017-10-14,https://www.fidal.it/atleta/VELLO-Michele/eKmRlJSkb2U%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
787,43.45,43.2,m,SCHENAL Anna,2004,CF,ANA ATL.FELTRE,1 se- 1,Agordo,2019-09-15,https://www.fidal.it/atleta/SCHENAL-Anna/eKmRlJajbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
787,43.45,43.2,m,FANTINEL Ilaria,1998,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2013-05-12,https://www.fidal.it/atleta/FANTINEL-Ilaria/eKmRlJWlbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
780,36.55,36.3,m,ZANDOMENEGHI Marco,1997,AM,ANA ATL.FELTRE,2 se- 1,Agordo,2014-10-18,https://www.fidal.it/atleta/ZANDOMENEGHI-Marco/eKmRlJWjb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
772,36.65,36.4,m,SIRAGNA Lorenzo,2001,AM,ANA ATL.FELTRE,1 su- 1,Feltre,2018-03-24,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
