punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
442,134.7,2:14.70,e,CORSO Lorenzo,1999,AM,ANA ATL.FELTRE,8 se- 3,Brugnera,2015-09-05,https://www.fidal.it/atleta/CORSO-Lorenzo/eKmRlJWkbWc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
440,134.83,2:14.83,e,PERENZIN Luca,1994,AM,ANA ATL.FELTRE,8 se- 1,Marcon,2010-05-02,https://www.fidal.it/atleta/PERENZIN-Luca/eKmRlJOgbWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
440,170.01,2:50.01,e,DALLA ROSA Silvia,1993,AF,ANA ATL.FELTRE,11 su- 1,Mogliano Veneto,2009-09-20,https://www.fidal.it/atleta/DALLA-ROSA-Silvia/eKmRlJKjaGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
437,135.02,2:15.02,e,PANIZ Angelo,1999,JM,ANA ATL.FELTRE,10 se- 2,Palmanova,2017-05-01,https://www.fidal.it/atleta/PANIZ-Angelo/eKmRlJWna2U%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
437,134.98,2:14.98,e,BRUSATI Alex,2004,JM,ANA ATL.FELTRE,2 se- 2,Mezzano,2022-09-14,https://www.fidal.it/atleta/BRUSATI-Alex/eKmRlJWfaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
436,135.05,2:14.8,m,BORTOLIN Sebastiano,1998,JM,ANA ATL.FELTRE,5 se- 1,Valesella,2016-08-18,https://www.fidal.it/atleta/BORTOLIN-Sebastiano/eKyRkpikcWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
433,135.23,2:15.23,e,POLESANA Giacomo,2005,AM,ANA ATL.FELTRE,6 se- 2,Feltre,2022-06-08,https://www.fidal.it/atleta/POLESANA-Giacomo/eKmRlJaha2Y%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
430,170.94,2:50.94,e,DALLA SANTA Alessia,2001,PF,ANA ATL.FELTRE,6 se- 5,Vicenza,2021-05-16,https://www.fidal.it/atleta/DALLA-SANTA-Alessia/eKmRlJifb2Y%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
429,135.45,2:15.2,m,ZANDOMENEGHI Marco,1997,JM,ANA ATL.FELTRE,6 se- 1,Valesella,2016-08-18,https://www.fidal.it/atleta/ZANDOMENEGHI-Marco/eKmRlJWjb2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
429,135.45,2:15.45,e,LIRA Riccardo,1995,AM,ANA ATL.FELTRE,6 se- 3,Bassano Del Grappa,2011-09-18,https://www.fidal.it/atleta/LIRA-Riccardo/eKmRlJOja2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
420,135.91,2:15.91,e,FANTINEL Davide,2005,AM,ANA ATL.FELTRE,8 se- 1,Trento,2022-07-19,https://www.fidal.it/atleta/FANTINEL-Davide/eKmRlJmjcGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
418,172.02,2:52.02,e,FANTINEL Mara,1998,AF,ANA ATL.FELTRE,3 se- 2,Rossano Veneto,2014-09-07,https://www.fidal.it/atleta/FANTINEL-Mara/eKmRlJaia2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
416,136.12,2:16.12,e,LIRA Riccardo,1995,AM,ANA ATL.FELTRE,9 se- 3,Feltre,2011-06-18,https://www.fidal.it/atleta/LIRA-Riccardo/eKmRlJOja2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
414,172.36,2:52.36,e,FANTINEL Mara,1998,AF,ANA ATL.FELTRE,3 se- 2,Feltre,2014-06-21,https://www.fidal.it/atleta/FANTINEL-Mara/eKmRlJaia2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
413,172.43,2:52.43,e,DE BACCO Emma,2006,AF,ANA ATL.FELTRE,8 se- 3,Padova,2023-05-01,https://www.fidal.it/atleta/DE-BACCO-Emma/eKmRlJelbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
409,136.54,2:16.54,e,SCOPEL Luca,1994,AM,ANA ATL.FELTRE,7 se- 7,Trento,2010-08-03,https://www.fidal.it/atleta/SCOPEL-Luca/eKmRlJOmbWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
406,136.68,2:16.68,e,PERCO Francesco,2004,JM,ANA ATL.FELTRE,1 se- 1,Trento,2023-07-11,https://www.fidal.it/atleta/PERCO-Francesco/eKmRlJWiaGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
402,136.9,2:16.90,e,BRUSATI Alex,2004,AM,ANA ATL.FELTRE,4 se- 5,Padova,2021-05-22,https://www.fidal.it/atleta/BRUSATI-Alex/eKmRlJWfaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
400,137.05,2:16.8,m,FANTINO Simone,1990,AM,ANA ATL.FELTRE,3 su- 1,Belluno,2007-10-03,https://www.fidal.it/atleta/FANTINO-Simone/eKmRlJOocWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
396,137.25,2:17.0,m,MAHJOUBI Amir mattia,2000,AM,ANA ATL.FELTRE,7 se- 1,Valesella,2016-08-18,https://www.fidal.it/atleta/MAHJOUBI-Amir-mattia/eKmRlJWoaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
386,137.82,2:17.82,e,PERCO Francesco,2004,JM,ANA ATL.FELTRE,7 se- 1,Padova,2023-05-14,https://www.fidal.it/atleta/PERCO-Francesco/eKmRlJWiaGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
385,137.9,2:17.90,e,POLESANA Federico,1994,AM,ANA ATL.FELTRE,6 se- 2,Verona,2010-05-30,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
383,137.99,2:17.99,e,RIGA Stefano,1991,PM,ANA ATL.FELTRE,6 se- 6,Marcon,2011-05-15,https://www.fidal.it/atleta/RIGA-Stefano/eKmRlJOjaWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
381,138.11,2:18.11,e,DA RIN DE MONEGO Lorenzo,2000,JM,ANA ATL.FELTRE,7 se- 4,San Biagio Di Callalta,2018-04-29,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
373,138.56,2:18.56,e,PERCO Francesco,2004,JM,ANA ATL.FELTRE,7 se- 6,Trento,2023-07-18,https://www.fidal.it/atleta/PERCO-Francesco/eKmRlJWiaGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
371,138.67,2:18.67,e,LIRA Riccardo,1995,AM,ANA ATL.FELTRE,10 se- 2,Marcon,2011-04-10,https://www.fidal.it/atleta/LIRA-Riccardo/eKmRlJOja2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
371,138.68,2:18.68,e,BRUSATI Alex,2004,AM,ANA ATL.FELTRE,5 se- 1,San Biagio Di Callalta,2021-05-01,https://www.fidal.it/atleta/BRUSATI-Alex/eKmRlJWfaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
370,138.75,2:18.5,m,ROSSI Mattia,1993,JM,ANA ATL.FELTRE,3 se- 2,Feltre,2012-08-23,https://www.fidal.it/atleta/ROSSI-Mattia/eKmRlJSlaWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
369,138.8,2:18.80,e,PAULETTI Michele,1999,AM,ANA ATL.FELTRE,7 se- 6,Treviso,2015-05-27,https://www.fidal.it/atleta/PAULETTI-Michele/eKmRlJakamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
351,139.83,2:19.83,e,BRUSATI Alex,2004,AM,ANA ATL.FELTRE,5 se- 8,Vicenza,2021-05-16,https://www.fidal.it/atleta/BRUSATI-Alex/eKmRlJWfaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
347,140.13,2:20.13,e,BRUSATI Alex,2004,AM,ANA ATL.FELTRE,5 se- 4,Verona,2021-09-12,https://www.fidal.it/atleta/BRUSATI-Alex/eKmRlJWfaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
