punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,272.25,4:32.0,m,BONAN Marco,2000,AM,ANA ATL.FELTRE,1 se- 1,Feltre,2017-10-14,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,303.25,5:03.0,m,DA RIN DE MONEGO Lorenzo,2000,AM,ANA ATL.FELTRE,3 se- 1,Feltre,2017-10-14,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,394.55,6:34.3,m,DALLA SANTA Alessia,2001,AF,ANA ATL.FELTRE,4 se- 1,Feltre,2017-10-14,https://www.fidal.it/atleta/DALLA-SANTA-Alessia/eKmRlJifb2Y%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,335.15,5:34.9,m,PRIMOLAN Nicola,2002,AM,ANA ATL.FELTRE,2 se- 1,Belluno,2019-10-19,https://www.fidal.it/atleta/PRIMOLAN-Nicola/eKmRlJancWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,338.85,5:38.6,m,PRADEL Meryl,1992,SF,ANA ATL.FELTRE,1 se- 1,Belluno,2019-10-19,https://www.fidal.it/atleta/PRADEL-Meryl/eKmRlJeoa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
