prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
31.08,TRENTINI Sebastiano,1993,AM,U.S. QUERCIA TRENTINGRANA,2 su- 1,Bolzano,2009-05-02,https://www.fidal.it/atleta/TRENTINI-Sebastiano/d6iRkpugaGg%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
31.07,MARSI Federico,1992,AM,ATLETICA LIVORNO,1 su- 1,Pistoia,2009-06-07,https://www.fidal.it/atleta/MARSI-Federico/faiRm5ijbWg%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
31.05,GALLO Raffaele,1992,AM,A.S.D. AGG. HINNA,4 fi- 1,Napoli,2009-04-26,https://www.fidal.it/atleta/GALLO-Raffaele/gKiRlJuob2g%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
31.04,FEDELE Leoluca,1993,AM,ATLETICA LIVORNO,2 su- 1,Pietrasanta,2009-04-17,https://www.fidal.it/atleta/FEDELE-Leoluca/faiSkpSmbWM%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
31.04,MURATORI Corrado,1992,AM,ACSI CAMPIDOGLIO PALATINO,7 su- 1,Ostiaa,2009-05-10,https://www.fidal.it/atleta/MURATORI-Corrado/f6iRmZKjbWc%3D,https://www.fidal.it/societa/ACSI-CAMPIDOGLIO-PALATINO/RM046
31.0,PAROVEL Andrea,1993,AM,MARATHON U.O.E.I. TRIESTE,9 su- 1,Saronno,2009-06-20,https://www.fidal.it/atleta/PAROVEL-Andrea/eauRkpmlaGw%3D,https://www.fidal.it/societa/MARATHON-U-O-E-I--TRIESTE/TS044
30.96,ZANZOTTERA Ettore,1993,AM,PRO SESTO ATL.,10 se- 1,Cremona,2009-03-15,https://www.fidal.it/atleta/ZANZOTTERA-Ettore/dq2Rk5mfaWo%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
30.94,RAJOLA Eduardo,1993,AM,POLI GOLFO,16 su- 1,Roma,2009-05-02,https://www.fidal.it/atleta/RAJOLA-Eduardo/f6iRmZSgaGQ%3D,https://www.fidal.it/societa/POLI-GOLFO/LT270
30.9,BINAGHI Francesco,1992,AM,N.ATL. FANFULLA LODIGIANA,9 su- 1,Bergamo,2009-03-29,https://www.fidal.it/atleta/BINAGHI-Francesco/dq2RlJqiamg%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
30.88,SACCON Giuliano,1993,AM,ASSINDUSTRIA SPORT PADOVA,12 su- 1,Rosa,2009-05-23,https://www.fidal.it/atleta/SACCON-Giuliano/eKiRlZihaWU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PADOVA/PD140
30.85,AZTORI Andrea,1993,AM,C.U.S. PAVIA,17 su- 1,Lodi,2009-05-23,https://www.fidal.it/atleta/AZTORI-Andrea/dqAAARl5OfbWM%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
30.84,VANTINI Riccardo,1993,AM,C.S.S. LEONARDO DA VINCI,20 se- 1,Busto Arsizio,2009-09-13,https://www.fidal.it/atleta/VANTINI-Riccardo/iaiRkpihcWg%3D,https://www.fidal.it/societa/C-S-S--LEONARDO-DA-VINCI/BZ071
