prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
19.31,MALPIGHI Davide,1991,AM,A.S. LA FRATELLANZA 1874,14 su- 1,Forli,2008-04-26,https://www.fidal.it/atleta/MALPIGHI-Davide/eqiRlZiibGc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
19.23,CAMBOLI Nicola,1991,AM,POL  JOLAO IGLESIAS,2 fi- 1,Cagliari,2008-07-26,https://www.fidal.it/atleta/CAMBOLI-Nicola/iKiSmJuicGg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
19.22,BOFFA Federico,1992,AM,C. U. S. TORINO,11 su- 1,Torino,2008-05-03,https://www.fidal.it/atleta/BOFFA-Federico/dK6RlZWkbWU%3D,https://www.fidal.it/societa/C--U--S--TORINO/TO001
19.21,SAMMARTINO Orazio,1991,AM,SPORT CLUB CATANIA A.S.D.,6 su- 1,Palermo,2008-05-24,https://www.fidal.it/atleta/SAMMARTINO-Orazio/h6uRkpKib2U%3D,https://www.fidal.it/societa/SPORT-CLUB-CATANIA-A-S-D-/CT075
19.2,VENTRONE Mirko,1991,AM,PROSPORT ATL. FIRENZE,5 su- 1,Quarrata,2008-06-04,https://www.fidal.it/atleta/VENTRONE-Mirko/faiSkpWib2Q%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
19.08,BORTOLATO Nicola,1992,AM,G.S.ATL.DIL.LIB. PIOMBINO DESE,9 se- 1,Piombino Dese,2008-06-05,https://www.fidal.it/atleta/BORTOLATO-Nicola/eKqRkpKmaWo%3D,https://www.fidal.it/societa/G-S-ATL-DIL-LIB--PIOMBINO-DESE/PD163
19.08,MITI Filippo,1992,AM,EDERA ATL. FORLI,5 su- 1,Ferrara,2008-06-14,https://www.fidal.it/atleta/MITI-Filippo/eqiRlZanbGU%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
19.08,BATTISTELLO Riccardo,1991,AM,ATL. RIGOLETTO,10 se- 1,Mantova,2008-10-18,https://www.fidal.it/atleta/BATTISTELLO-Riccardo/dqiSl5SkbmU%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
18.99,SIEGA Marco,1992,AM,ATLETICA ALTO FRIULI,5 su- 1,Udine,2008-04-26,https://www.fidal.it/atleta/SIEGA-Marco/eayRk5OkaGs%3D,https://www.fidal.it/societa/ATLETICA-ALTO-FRIULI/UD115
18.94,RALLO Giampiero,1991,AM,A.S.D. U.S. ACLI MARSALA,3 su- 1,Marsala,2008-07-23,https://www.fidal.it/atleta/RALLO-Giampiero/h7KRkpKhbWQ%3D,https://www.fidal.it/societa/A-S-D--U-S--ACLI-MARSALA/TP143
18.88,MERLO Stefano,1992,AM,S.S. VITTORIO ALFIERI ASTI,16 su- 1,Torino,2008-04-26,https://www.fidal.it/atleta/MERLO-Stefano/dKuRk5akcWc%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
18.88,BELLADONNA Riccardo,1991,AM,MARATHON U.O.E.I. TRIESTE,7 su- 1,Codroipo,2008-05-03,https://www.fidal.it/atleta/BELLADONNA-Riccardo/eauRkpugcGQ%3D,https://www.fidal.it/societa/MARATHON-U-O-E-I--TRIESTE/TS044
18.86,ROMANO Simone,1992,AM,ALTO LAZIO A.S.D.,9 su- 1,Viterbo,2008-05-24,https://www.fidal.it/atleta/ROMANO-Simone/f6iRmJqocGY%3D,https://www.fidal.it/societa/ALTO-LAZIO-A-S-D-/VT501
18.85,BARBUI Andrea,1992,AM,ATL. CAIRATESE,7 su- 1,Rovellasca,2008-07-09,https://www.fidal.it/atleta/BARBUI-Andrea/drKRkpOla2U%3D,https://www.fidal.it/societa/ATL--CAIRATESE/VA050
18.8,PUPPO Alessandro,1991,AM,ATL. ALESSANDRIA,11 su- 1,Majano,2008-06-07,https://www.fidal.it/atleta/PUPPO-Alessandro/dKmRk5ija2U%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
18.78,BARTOLOTTA Rodolfo,1992,AM,A.P.D. PARTENOPE ATL. LEGG.,8 fi- 1,Marano Di Napoli,2008-06-14,https://www.fidal.it/atleta/BARTOLOTTA-Rodolfo/gKiRlZKkaWM%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
18.74,FARRIS Giovanni,1992,AM,STUDIUM ET STADIUM,3 fi- 1,Sassari,2008-05-10,https://www.fidal.it/atleta/FARRIS-Giovanni/iKiSmJufbWY%3D,https://www.fidal.it/societa/STUDIUM-ET-STADIUM/SS026
18.74,BORTOLATO Nicola,1992,AM,G.S.ATL.DIL.LIB. PIOMBINO DESE,7 su- 1,Riccione,2008-06-14,https://www.fidal.it/atleta/BORTOLATO-Nicola/eKqRkpKmaWo%3D,https://www.fidal.it/societa/G-S-ATL-DIL-LIB--PIOMBINO-DESE/PD163
18.72,GALLO Raffaele,1992,AM,A.S.D. AGG. HINNA,11 fi- 1,Salerno,2008-04-26,https://www.fidal.it/atleta/GALLO-Raffaele/gKiRlJuob2g%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
18.71,VARRIALE Fabio,1992,AM,A.P.D. PARTENOPE ATL. LEGG.,10 fi- 1,Napoli,2008-05-03,https://www.fidal.it/atleta/VARRIALE-Fabio/gKyRkpKlcGU%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
