prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
26.72,RADICIONI Stefano,1990,JM,A.S.ATLETICA FALCONARA,3 su- 1,Fermo,2008-04-06,https://www.fidal.it/atleta/RADICIONI-Stefano/e6iRk5agaWs%3D,https://www.fidal.it/societa/A-S-ATLETICA-FALCONARA/AN003
26.66,CONTI Giuseppe,1992,AM,ASD U.S. ATERNO PESCARA,3 su- 1,Pescara,2008-02-10,https://www.fidal.it/atleta/CONTI-Giuseppe/gaiRk5mfamQ%3D,https://www.fidal.it/societa/ASD-U-S--ATERNO-PESCARA/PE001
26.60,VARINELLI Stefano,1990,JM,O.S.A. SARONNO LIB.,4 su- 1,Rovellasca,2008-07-09,https://www.fidal.it/atleta/VARINELLI-Stefano/drKRkpSobGo%3D,https://www.fidal.it/societa/O-S-A--SARONNO-LIB-/VA119
26.55,CORONA Nelson,1990,JM,A.S.D. USA S.CLUB AVEZZANO,1 su- 1,Lanciano,2008-05-11,https://www.fidal.it/atleta/CORONA-Nelson/gaiRk5imbGg%3D,https://www.fidal.it/societa/A-S-D--USA-S-CLUB-AVEZZANO/AQ005
26.40,PASSARELLI Valerio,1989,JM,ALTO LAZIO A.S.D.,4 su- 1,Rietii,2008-01-27,https://www.fidal.it/atleta/PASSARELLI-Valerio/f6iRmZajbGU%3D,https://www.fidal.it/societa/ALTO-LAZIO-A-S-D-/VT501
26.32,DAMI Tommaso,1990,JM,ATL.C.R.PISTOIA E PESCIA,1 su- 1,Pistoia,2008-10-18,https://www.fidal.it/atleta/DAMI-Tommaso/faiSk5OgbmY%3D,https://www.fidal.it/societa/ATL-C-R-PISTOIA-E-PESCIA/PT115
26.11,FUMAGALLI Alessandro,1991,AM,U.S. ATL. VEDANO,5 se- 1,Milano,2008-02-03,https://www.fidal.it/atleta/FUMAGALLI-Alessandro/dq2Rk5OoaWU%3D,https://www.fidal.it/societa/U-S--ATL--VEDANO/MI054
26.07,CANDIDO Rinaldo,1990,JM,NUOVA ATLETICA FIAMMA ARANCA,1 su- 1,Reggio Calabria,2008-04-27,https://www.fidal.it/atleta/CANDIDO-Rinaldo/hqiRk5mgbmY%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
26.02,DEBIANCHI Luca,1990,JM,MARATHON U.O.E.I. TRIESTE,3 su- 1,Udine,2008-05-11,https://www.fidal.it/atleta/DEBIANCHI-Luca/eauRkpmicWs%3D,https://www.fidal.it/societa/MARATHON-U-O-E-I--TRIESTE/TS044
25.96,ABRUZZESE Valerio,1991,AM,ATLETICA LEGGERA PRATO,11 su- 1,Lucca,2008-02-10,https://www.fidal.it/atleta/ABRUZZESE-Valerio/faiSkpSgb2g%3D,https://www.fidal.it/societa/ATLETICA-LEGGERA-PRATO/PO149
25.91,CORONA Nelson,1990,JM,A.S.D. USA S.CLUB AVEZZANO,12 su- 1,Latina,2008-05-31,https://www.fidal.it/atleta/CORONA-Nelson/gaiRk5imbGg%3D,https://www.fidal.it/societa/A-S-D--USA-S-CLUB-AVEZZANO/AQ005
25.91,PASSARELLI Valerio,1989,JM,ALTO LAZIO A.S.D.,5 fi- 1,Roma,2008-06-21,https://www.fidal.it/atleta/PASSARELLI-Valerio/f6iRmZajbGU%3D,https://www.fidal.it/societa/ALTO-LAZIO-A-S-D-/VT501
25.81,TILLOCA Gabriele,1990,JM,SS GYMNASIUM ATL ALGHERO,1 fi- 1,Sassari,2008-05-10,https://www.fidal.it/atleta/TILLOCA-Gabriele/iKyRkpKlcWY%3D,https://www.fidal.it/societa/SS-GYMNASIUM-ATL-ALGHERO/SS067
25.81,GABBIADINI Mattia,1990,JM,ATL.  CENTO TORRI PAVIA,11 su- 1,Busto Arsizio,2008-06-01,https://www.fidal.it/atleta/GABBIADINI-Mattia/dqmRl5Ohams%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
25.80,GIGLI Lorenzo,1990,JM,S.A.F. BOLZANO,13 su- 1,Latina,2008-05-31,https://www.fidal.it/atleta/GIGLI-Lorenzo/iaiRkpeobWg%3D,https://www.fidal.it/societa/S-A-F--BOLZANO/BZ018
25.77,NOVATI Alessandro,1990,JM,U.S. ALBATESE,4 su- 1,Besana Brianza,2008-04-12,https://www.fidal.it/atleta/NOVATI-Alessandro/dquRkpKlbGo%3D,https://www.fidal.it/societa/U-S--ALBATESE/CO546
25.74,LAZZARI Edoardo,1990,JM,A.S.ATHLON BASTIA,3 su- 1,Terni,2008-05-01,https://www.fidal.it/atleta/LAZZARI-Edoardo/fqiRk5WlcWs%3D,https://www.fidal.it/societa/A-S-ATHLON-BASTIA/PG003
25.67,ALBICINI Alessandro,1989,JM,A.A.A. GENOVA,2 su- 1,Cagliari,2008-10-19,https://www.fidal.it/atleta/ALBICINI-Alessandro/daiRk5KlaGg%3D,https://www.fidal.it/societa/A-A-A--GENOVA/GE001
25.55,ABRUZZESE Valerio,1991,AM,ATLETICA LEGGERA PRATO,7 su- 1,Livorno,2008-01-27,https://www.fidal.it/atleta/ABRUZZESE-Valerio/faiSkpSgb2g%3D,https://www.fidal.it/societa/ATLETICA-LEGGERA-PRATO/PO149
25.51,EZUNIN Emmanuel,1990,JM,JAGER ATLETICA VITTORIO V.TO,12 su- 1,Mestre,2008-02-10,https://www.fidal.it/atleta/EZUNIN-Emmanuel/eKyRkpWma2U%3D,https://www.fidal.it/societa/JAGER-ATLETICA-VITTORIO-V-TO/TV361
25.35,LINZA Giuseppe,1990,JM,ARCOBALENO CASTROVILLARI,2 fi- 1,Cosenza,2008-05-10,https://www.fidal.it/atleta/LINZA-Giuseppe/hqiRk5iocGY%3D,https://www.fidal.it/societa/ARCOBALENO-CASTROVILLARI/CS350
25.34,APARO Leonardo,1990,JM,A.S.D. LIBERTAS SOLARINO,1 se- 1,Siracusa,2008-04-11,https://www.fidal.it/atleta/APARO-Leonardo/h6iRlZefbGk%3D,https://www.fidal.it/societa/A-S-D--LIBERTAS-SOLARINO/SR140
25.15,PIUMATTI Federico,1992,AM,A.S.D.  C.U.S. GENOVA,3 su- 1,Savona,2008-02-02,https://www.fidal.it/atleta/PIUMATTI-Federico/daiUlpima2s%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
24.97,LEUZZI Alessio,1990,JM,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Asti,2008-10-18,https://www.fidal.it/atleta/LEUZZI-Alessio/dK6RkpKnbmk%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
24.82,MARTURANO Antonino,1988,PM,O.S.A. SARONNO LIB.,8 su- 1,Busto Arsizio,2008-06-11,https://www.fidal.it/atleta/MARTURANO-Antonino/drKRkpaobGQ%3D,https://www.fidal.it/societa/O-S-A--SARONNO-LIB-/VA119
24.81,APARO Leonardo,1990,JM,A.S.D. LIBERTAS SOLARINO,14 su- 1,Latina,2008-05-31,https://www.fidal.it/atleta/APARO-Leonardo/h6iRlZefbGk%3D,https://www.fidal.it/societa/A-S-D--LIBERTAS-SOLARINO/SR140
24.80,CADENAZZI Pietro,1989,JM,C.U.S. PARMA,3 su- 1,Alessandria,2008-06-27,https://www.fidal.it/atleta/CADENAZZI-Pietro/eq6RkpKfaGY%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
24.76,PELLICIARI Jonathan,1987,PM,CASA MODENA ATLETICA,7 su- 1,Modena,2008-05-27,https://www.fidal.it/atleta/PELLICIARI-Jonathan/eqiRlZKlbGs%3D,https://www.fidal.it/societa/CASA-MODENA-ATLETICA/MO435
24.69,MARCHETTI Matteo,1990,JM,ATLETICA RAVENNA,2 su- 1,Ravenna,2008-06-02,https://www.fidal.it/atleta/MARCHETTI-Matteo/eqiRlJmfbGs%3D,https://www.fidal.it/societa/ATLETICA-RAVENNA/RA095
24.68,CASTELLI Alfio,1990,JM,ASD POL.MARATHON C.BIANCAVILLA,15 su- 1,Latina,2008-05-31,https://www.fidal.it/atleta/CASTELLI-Alfio/h6iRlJuhbWo%3D,https://www.fidal.it/societa/ASD-POL-MARATHON-C-BIANCAVILLA/CT246
24.56,CASTELLI Alfio,1990,JM,ASD POL.MARATHON C.BIANCAVILLA,2 su- 1,Palermo,2008-04-20,https://www.fidal.it/atleta/CASTELLI-Alfio/h6iRlJuhbWo%3D,https://www.fidal.it/societa/ASD-POL-MARATHON-C-BIANCAVILLA/CT246
24.51,COSTANZO Stefano,1990,JM,ATL LIBERTAS RUNNERS LIVORNO,8 su- 1,Livorno,2008-01-27,https://www.fidal.it/atleta/COSTANZO-Stefano/fayRkpKgbGU%3D,https://www.fidal.it/societa/ATL-LIBERTAS-RUNNERS-LIVORNO/LI035
24.50,LINZA Giuseppe,1990,JM,ARCOBALENO CASTROVILLARI,2 fi- 1,Cs,2008-06-21,https://www.fidal.it/atleta/LINZA-Giuseppe/hqiRk5iocGY%3D,https://www.fidal.it/societa/ARCOBALENO-CASTROVILLARI/CS350
