prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4.80,MENZ Manfred,1982,SM,ATHLETIC CLUB 96 AE SPA,1 su- 1,Padova,2012-02-12,https://www.fidal.it/atleta/MENZ-Manfred/iaiRkpSgcWQ%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
4.80,SINNO Alessandro,1994,JM,FIAMME GIALLE G. SIMONI,1 su- 1,Ancona,2012-02-18,https://www.fidal.it/atleta/SINNO-Alessandro/f6iRmJOgbWw%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.80,BERNARDI Giacomo,1992,PM,PRO SESTO ATL.,10 su- 1,Ancona,2012-02-25,https://www.fidal.it/atleta/BERNARDI-Giacomo/dq2RkpmlbWk%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
4.80,BRESSAN Davide,1975,SM35,G.S. FIAMME ORO PADOVA,10 su- 1,Ancona,2012-02-25,https://www.fidal.it/atleta/BRESSAN-Davide/eaiRkpKmaWM%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
4.80,FALCHETTI Marco,1990,PM,ASD INTERFLUMINA E' PIU' POMI',8 su- 1,Ancona,2012-02-25,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/ASD-INTERFLUMINA-E-PIU-POMI-/PR484
4.80,PALAZZO Marcello,1991,PM,G.S. FIAMME ORO PADOVA,9 su- 1,Ancona,2012-02-25,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
4.70,BEFANI Giacomo,1970,SM40,2S ATLETICA SPOLETO,1 su- 1,Ancona,2012-01-22,https://www.fidal.it/atleta/BEFANI-Giacomo/h6iRkpKiamc%3D,https://www.fidal.it/societa/2S-ATLETICA-SPOLETO/PG034
4.70,BERNARDI Giacomo,1992,PM,PRO SESTO ATL.,6 se- 2,Modena,2012-01-22,https://www.fidal.it/atleta/BERNARDI-Giacomo/dq2RkpmlbWk%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
4.70,TRONCA Nicola,1978,SM,SILCA ULTRALITE VITTORIO V.TO,7 se- 2,Modena,2012-01-22,https://www.fidal.it/atleta/TRONCA-Nicola/eKiRkpafbmc%3D,https://www.fidal.it/societa/SILCA-ULTRALITE-VITTORIO-V-TO/TV348
4.70,MENZ Manfred,1982,SM,ATHLETIC CLUB 96 AE SPA,7 se- 2,Modena,2012-01-22,https://www.fidal.it/atleta/MENZ-Manfred/iaiRkpSgcWQ%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
